gene	iqtree_report	internal_branch_length_sum	treeness	above_0.06
1001705at2759	1001705at2759.faa.mafft.clipkit.iqtree	0.2287	0.068752	1
1003258at2759	1003258at2759.faa.mafft.clipkit.iqtree	0.1726	0.051929	0
100698at2759	100698at2759.faa.mafft.clipkit.iqtree	0.227	0.108794	1
1010730at2759	1010730at2759.faa.mafft.clipkit.iqtree	0.1144	0.050461	0
1014314at2759	1014314at2759.faa.mafft.clipkit.iqtree	0.2134	0.05599	0
1018517at2759	1018517at2759.faa.mafft.clipkit.iqtree	0.178	0.098525	1
1019762at2759	1019762at2759.faa.mafft.clipkit.iqtree	0.1421	0.029561	0
1025450at2759	1025450at2759.faa.mafft.clipkit.iqtree	0.2461	0.08039	1
1030907at2759	1030907at2759.faa.mafft.clipkit.iqtree	0.1842	0.04031	0
1032689at2759	1032689at2759.faa.mafft.clipkit.iqtree	0.1494	0.045893	0
1038775at2759	1038775at2759.faa.mafft.clipkit.iqtree	0	0	0
1041560at2759	1041560at2759.faa.mafft.clipkit.iqtree	0.1094	0.043689	0
1049599at2759	1049599at2759.faa.mafft.clipkit.iqtree	0	0	0
1051021at2759	1051021at2759.faa.mafft.clipkit.iqtree	0.4223	0.104843	1
1053181at2759	1053181at2759.faa.mafft.clipkit.iqtree	0	0	0
1057950at2759	1057950at2759.faa.mafft.clipkit.iqtree	0.398	0.093512	1
1065019at2759	1065019at2759.faa.mafft.clipkit.iqtree	0.1547	0.068653	1
1076134at2759	1076134at2759.faa.mafft.clipkit.iqtree	0.1096	0.053017	0
1079130at2759	1079130at2759.faa.mafft.clipkit.iqtree	0.1385	0.070667	1
1079827at2759	1079827at2759.faa.mafft.clipkit.iqtree	0.0914	0.080967	1
1085752at2759	1085752at2759.faa.mafft.clipkit.iqtree	0	0	0
1087488at2759	1087488at2759.faa.mafft.clipkit.iqtree	0.2633	0.072438	1
1090038at2759	1090038at2759.faa.mafft.clipkit.iqtree	0	0	0
1094121at2759	1094121at2759.faa.mafft.clipkit.iqtree	0.2696	0.06449	1
1096688at2759	1096688at2759.faa.mafft.clipkit.iqtree	0.1607	0.084182	1
1106766at2759	1106766at2759.faa.mafft.clipkit.iqtree	0	0	0
1107630at2759	1107630at2759.faa.mafft.clipkit.iqtree	0.2448	0.075285	1
1108845at2759	1108845at2759.faa.mafft.clipkit.iqtree	0	0	0
1111142at2759	1111142at2759.faa.mafft.clipkit.iqtree	0	0	0
1112002at2759	1112002at2759.faa.mafft.clipkit.iqtree	0.0871	0.032235	0
1115196at2759	1115196at2759.faa.mafft.clipkit.iqtree	0.2512	0.080973	1
1128607at2759	1128607at2759.faa.mafft.clipkit.iqtree	0.092	0.051813	0
1129824at2759	1129824at2759.faa.mafft.clipkit.iqtree	0.3021	0.084819	1
1138059at2759	1138059at2759.faa.mafft.clipkit.iqtree	0.1593	0.081433	1
1157302at2759	1157302at2759.faa.mafft.clipkit.iqtree	0.053	0.075923	1
1161199at2759	1161199at2759.faa.mafft.clipkit.iqtree	0.3852	0.085917	1
1173229at2759	1173229at2759.faa.mafft.clipkit.iqtree	0	0	0
1178688at2759	1178688at2759.faa.mafft.clipkit.iqtree	0.2056	0.060381	1
1182451at2759	1182451at2759.faa.mafft.clipkit.iqtree	0.2504	0.064629	1
1193442at2759	1193442at2759.faa.mafft.clipkit.iqtree	0.1281	0.044578	0
1194691at2759	1194691at2759.faa.mafft.clipkit.iqtree	0.1254	0.045061	0
1194797at2759	1194797at2759.faa.mafft.clipkit.iqtree	0.1227	0.043053	0
1197019at2759	1197019at2759.faa.mafft.clipkit.iqtree	0.1385	0.065284	1
1200489at2759	1200489at2759.faa.mafft.clipkit.iqtree	0.1058	0.037708	0
1217666at2759	1217666at2759.faa.mafft.clipkit.iqtree	0.1855	0.082186	1
1220881at2759	1220881at2759.faa.mafft.clipkit.iqtree	0.1194	0.042118	0
1222562at2759	1222562at2759.faa.mafft.clipkit.iqtree	0.3408	0.117656	1
1223488at2759	1223488at2759.faa.mafft.clipkit.iqtree	0.3379	0.088784	1
1228942at2759	1228942at2759.faa.mafft.clipkit.iqtree	0.176	0.075972	1
1233814at2759	1233814at2759.faa.mafft.clipkit.iqtree	0.0497	0.020245	0
1236198at2759	1236198at2759.faa.mafft.clipkit.iqtree	0.0307	0.017497	0
1247641at2759	1247641at2759.faa.mafft.clipkit.iqtree	0.2196	0.046318	0
1248958at2759	1248958at2759.faa.mafft.clipkit.iqtree	0.1342	0.039612	0
1249159at2759	1249159at2759.faa.mafft.clipkit.iqtree	0.3723	0.105407	1
1251252at2759	1251252at2759.faa.mafft.clipkit.iqtree	0.2147	0.058915	0
1257440at2759	1257440at2759.faa.mafft.clipkit.iqtree	0.126	0.052344	0
1258856at2759	1258856at2759.faa.mafft.clipkit.iqtree	0.3343	0.072813	1
1259741at2759	1259741at2759.faa.mafft.clipkit.iqtree	0.2174	0.064975	1
1260807at2759	1260807at2759.faa.mafft.clipkit.iqtree	0.1296	0.051791	0
1264469at2759	1264469at2759.faa.mafft.clipkit.iqtree	0.1902	0.05566	0
1266231at2759	1266231at2759.faa.mafft.clipkit.iqtree	0	0	0
1269244at2759	1269244at2759.faa.mafft.clipkit.iqtree	0.4776	0.091067	1
1269649at2759	1269649at2759.faa.mafft.clipkit.iqtree	0.1288	0.070996	1
1275837at2759	1275837at2759.faa.mafft.clipkit.iqtree	0.1859	0.109058	1
1284731at2759	1284731at2759.faa.mafft.clipkit.iqtree	0.1884	0.061384	1
1287094at2759	1287094at2759.faa.mafft.clipkit.iqtree	0.223	0.062547	1
1287401at2759	1287401at2759.faa.mafft.clipkit.iqtree	0	0	0
1291729at2759	1291729at2759.faa.mafft.clipkit.iqtree	0.151	0.053122	0
