sample_id	chip_somatic_variant_count	input_variant_rows	file
184	4	650	230209_Exome_GRCh38_CHIP_184-PM.xlsx
185	3	643	230209_Exome_GRCh38_CHIP_185-PF.xlsx
285	1	650	230209_Exome_GRCh38_CHIP_285-PF.xlsx
287	6	650	230209_Exome_GRCh38_CHIP_287-PM.xlsx
353	2	647	230209_Exome_GRCh38_CHIP_353-PF.xlsx
354	2	651	230209_Exome_GRCh38_CHIP_354-PM.xlsx
381	1	705	230209_Exome_GRCh38_CHIP_381-PM.xlsx
396	0	650	230209_Exome_GRCh38_CHIP_396-PF.xlsx
397	3	650	230209_Exome_GRCh38_CHIP_397-PM.xlsx
489	3	641	230209_Exome_GRCh38_CHIP_489-PF.xlsx
490	4	650	230209_Exome_GRCh38_CHIP_490-PM.xlsx
499	2	646	230209_Exome_GRCh38_CHIP_499-PF.xlsx
500	1	652	230209_Exome_GRCh38_CHIP_500-PM.xlsx
503	2	641	230209_Exome_GRCh38_CHIP_503-PF.xlsx
504	1	636	230209_Exome_GRCh38_CHIP_504-PM.xlsx
556	1	649	230209_Exome_GRCh38_CHIP_556-PF.xlsx
557	5	643	230209_Exome_GRCh38_CHIP_557-PM.xlsx
613	5	645	230209_Exome_GRCh38_CHIP_613-PF.xlsx
614	1	644	230209_Exome_GRCh38_CHIP_614-PM.xlsx
