**Analysis summary:**

- **DE results**: `res_GluFevsGluFePlus.rds` — Glucose FeMinus vs FePlus (5828 genes)
- **Upregulated genes** (log2FC > 1.5, padj < 0.05): **133 genes**
- **KEGG enrichment**: Used KEGG organism `pau` (*Pseudomonas aeruginosa* UCBPP-PA14), 137 pathways, Fisher's exact test with Benjamini-Hochberg FDR correction
- **ABC transporters** (pau02010): 202 pathway genes in universe, **11 overlapping** with the foreground, Fisher p = 6.17×10⁻³, adjusted p = 0.105

The 11 genes contributing to the ABC transporters enrichment:

| Gene | log2FC | padj |
|------|--------|------|
| PA14_10160 | 1.944 | 4.86×10⁻⁸ |
| PA14_10180 | 1.563 | 2.43×10⁻⁵ |
| PA14_20030 | 6.701 | 4.34×10⁻¹⁵¹ |
| PA14_33540 | 5.121 | 9.51×10⁻¹⁸⁸ |
| PA14_33550 | 5.227 | 1.72×10⁻¹⁵³ |
| PA14_33560 | 4.584 | 2.80×10⁻¹²⁵ |
| PA14_33690 | 2.821 | 1.77×10⁻²⁹ |
| PA14_33760 | 2.941 | 3.93×10⁻⁹¹ |
| PA14_48115 | 2.259 | 6.69×10⁻¹⁰ |
| PA14_54980 | 2.174 | 3.22×10⁻¹⁸ |
| PA14_62000 | 1.668 | 1.08×10⁻¹³ |
