pathway_id	pathway_name	foreground_hits	pathway_genes_in_universe	foreground_genes_in_universe	universe_genes	p_value	adjusted_p_value	foreground_hit_genes
pau00405	Phenazine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	10	24	98	2041	4.62661607695e-08	6.33846402542e-06	PA14_09420,PA14_09440,PA14_09450,PA14_09470,PA14_09480,PA14_39890,PA14_39910,PA14_39925,PA14_39960,PA14_39970
pau01053	Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa UCBPP-PA14	6	9	98	2041	7.88042471961e-07	5.39809093293e-05	PA14_09210,PA14_09220,PA14_09240,PA14_09270,PA14_09280,PA14_09290
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	13	57	98	2041	1.37922632213e-06	6.29846687104e-05	PA14_06740,PA14_10500,PA14_29850,PA14_29860,PA14_29880,PA14_29890,PA14_29900,PA14_29920,PA14_29930,PA14_44360,PA14_57540,PA14_57560,PA14_57570
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	15	111	98	2041	0.000170354262174	0.00583463347944	PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09520,PA14_09530,PA14_33750,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970
pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	35	444	98	2041	0.000825865481568	0.022628714195	PA14_06650,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_09150,PA14_09210,PA14_09220,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_31820,PA14_33500,PA14_33510,PA14_35270,PA14_35520,PA14_35530,PA14_36310,PA14_36320,PA14_36330,PA14_38200,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_55580,PA14_56300,PA14_58030,PA14_61040
pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	8	52	98	2041	0.00276268954123	0.0630814111914	PA14_06650,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_18670,PA14_55580
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	62	1049	98	2041	0.0102374733457	0.200361978337	PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_03050,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_06740,PA14_09150,PA14_09210,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_10500,PA14_29850,PA14_29860,PA14_29880,PA14_29890,PA14_29900,PA14_29920,PA14_29930,PA14_31820,PA14_33500,PA14_33510,PA14_35270,PA14_35290,PA14_35300,PA14_35320,PA14_35520,PA14_35530,PA14_36310,PA14_36320,PA14_36330,PA14_38200,PA14_38510,PA14_38640,PA14_38660,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_44360,PA14_49250,PA14_49260,PA14_53070,PA14_56300,PA14_57540,PA14_57560,PA14_57570,PA14_58030,PA14_61040,PA14_63570,PA14_63580,PA14_63940
pau00460	Cyanoamino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	3	11	98	2041	0.0133701440351	0.203523303646	PA14_36310,PA14_36320,PA14_36330
pau00643	Styrene degradation - Pseudomonas aeruginosa UCBPP-PA14	3	11	98	2041	0.0133701440351	0.203523303646	PA14_02760,PA14_02770,PA14_38510
pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	3	14	98	2041	0.0265637812169	0.363923802672	PA14_09150,PA14_58000,PA14_61040
