rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PA14_22910	22914.9009962831	-4.6160604537506	0.11532492968623	-40.0265620478567	0	0
PA14_22980	13858.6940585217	-4.68390193201481	0.0931074416025873	-50.3064185997852	0	0
PA14_33710	8137.27475815123	6.64034462963187	0.185943671960903	35.7115924387472	2.61241321025899e-279	5.07504806312979e-276
PA14_23090	9688.81331057301	-3.67689006924254	0.103055993432827	-35.6785660568027	8.50009641377752e-279	1.23846404748738e-275
PA14_33530	2230.88220293651	4.77079055696545	0.135286871796868	35.2642536086483	2.07485302771984e-272	2.41844868911025e-269
PA14_72990	7695.18682473858	-3.38976762964014	0.0988871223058801	-34.2791614377738	1.60437818906824e-257	1.55838601431495e-254
PA14_72980	4014.2464467411	-3.048281026312	0.0918392325629399	-33.1914906216462	1.42831013400421e-241	1.18917020871093e-238
PA14_35340	5733.61153775997	-5.75760771097555	0.174290246512775	-33.0345950285493	2.58918179031812e-239	1.88621893424675e-236
PA14_35360	6101.18741798377	-6.11598482812654	0.193394273901761	-31.6244359501217	1.70393777756953e-219	1.10339437418614e-216
PA14_20020	237851.875604748	7.96367417512223	0.256114387421675	31.0942085499108	2.88432955167767e-212	1.68098726271775e-209
PA14_23080	8138.09229113461	-4.76106313796949	0.153235932086973	-31.0701483204815	6.09768576461861e-212	3.23066478510884e-209
PA14_23070	22729.9771383358	-4.46611407159225	0.144419564107378	-30.9245779766488	5.58297865184291e-210	2.71146663191171e-207
PA14_33820	13159.1209835039	6.30186923909212	0.20488816095331	30.7576055628133	9.67520514776473e-208	4.33746889239791e-205
PA14_33610	200243.428202272	6.47932574451842	0.213903696544408	30.2908544788671	1.51277702731684e-201	6.29747465371612e-199
PA14_40390	4802.85472943637	-3.93516765847496	0.131042681306306	-30.0296637648667	4.02454797379929e-198	1.56367103942015e-195
PA14_33540	1766.29104729276	5.07499291550532	0.169454352083955	29.9490267030201	4.53018648544488e-197	1.6501204273233e-194
PA14_33720	8642.32553716854	6.57970039696486	0.220365239756277	29.8581591372668	6.87902299956118e-196	2.35829094361427e-193
PA14_22890	19885.6364453693	-4.11993234956373	0.139047907608421	-29.6295889699115	6.214908502612e-193	2.01224926406793e-190
PA14_33740	6938.03110823266	5.89918875301228	0.199962106864659	29.5015332930306	2.75148332578141e-191	8.43981306455477e-189
PA14_33580	3755.01537960701	5.31211813273547	0.180173223770918	29.4833939336601	4.7007788049779e-191	1.36980694377056e-188
PA14_35320	5143.63763466354	-5.71454184030653	0.193902720247128	-29.4711793265375	6.74091113213395e-191	1.87076333705127e-188
PA14_33280	205380.276322447	7.04927284817707	0.241004006724464	29.2496085189006	4.54203536189128e-188	1.20322645859556e-185
PA14_33750	2690.12182526344	3.64429689021041	0.124753249154621	29.2120398859802	1.3637448613862e-187	3.45561089224296e-185
PA14_22930	7318.34678320921	-3.46451087983541	0.118738612115278	-29.1776265371189	3.72885967081496e-187	9.05491423396233e-185
PA14_20040	4320.73114065056	6.2745798941384	0.216598232272178	28.9687493213414	1.62944815019658e-184	3.79856952773826e-182
PA14_40380	7348.13523006663	-4.71529797443681	0.16338148310547	-28.8606633065809	3.72348811107464e-183	8.346341812055e-181
PA14_33810	33105.5140255763	7.17887879364936	0.250365645925294	28.6735776672469	8.14898751650651e-181	1.75897404615555e-178
PA14_33650	120430.952389762	5.68805961104718	0.202951963937527	28.0266300492568	7.69837743710978e-173	1.60236227512414e-170
PA14_63110	15217.6077262417	-4.48779362313267	0.162851401323622	-27.557599054456	3.58836096926977e-167	7.21136818238076e-165
PA14_34640	3528.78571567258	-3.40521943363461	0.124400060145558	-27.3731333381209	5.72958123494203e-165	1.11306664790807e-162
PA14_33630	104304.588585825	5.79427045615809	0.212461938883927	27.2720398137929	9.10554964264533e-164	1.71184333281732e-161
PA14_63150	8306.82112529586	-3.5125919344402	0.128956914393726	-27.2384924139523	2.2747493335985e-163	4.14288722381627e-161
PA14_73000	7364.94243078399	-4.64953630911322	0.170960870319709	-27.1964941475687	7.14559669453951e-163	1.26195568290231e-160
PA14_63130	14057.5494971731	-3.96347944792287	0.146021749911102	-27.1430759481778	3.05638553533857e-162	5.23900438233918e-160
PA14_33730	5042.70543317929	6.03941680176715	0.225404682982378	26.793661612786	3.83032074191478e-158	6.37803122396553e-156
PA14_35330	2240.26220227473	-4.89300330355725	0.183990287283107	-26.5938130529051	8.00406237444373e-156	1.29576876439606e-153
PA14_63220	3954.13474765031	-3.10322329656232	0.116831449365539	-26.5615406931488	1.88947557680451e-155	2.9761793680045e-153
PA14_33550	2584.08029872621	5.07549835636866	0.19127884228583	26.5345518391642	3.87216739985921e-155	5.9386820016788e-153
PA14_63160	6195.78772994488	-3.38337832136391	0.128004596502927	-26.4316939687907	5.92452101143432e-154	8.85336114221519e-152
PA14_20030	6172.05694316455	6.47873458598095	0.24719301542883	26.2092137787213	2.08663498457499e-151	3.04022717252576e-149
PA14_33570	2029.82189527885	4.89042889509589	0.186979238380139	26.1549300203768	8.6614425974613e-151	1.2311923770245e-148
PA14_33270	3444.98790245479	6.86747983954387	0.26802302314255	25.6227235967388	8.51703145348679e-145	1.17251990887047e-142
PA14_33770	3724.1390391996	3.43262484820609	0.133971174050169	25.6221151493429	8.65105629399966e-145	1.17251990887047e-142
PA14_33700	5855.90743920318	4.40827080470665	0.173032939886788	25.4764833076921	3.59299263344103e-143	4.75908206083962e-141
PA14_33520	7019.95159777239	6.67710524168855	0.262389509983345	25.4473025316918	7.56192509582648e-143	9.79353321299483e-141
PA14_33510	5983.93099693765	6.80949068752029	0.269348767292274	25.2813137256026	5.1277699698596e-141	6.49666160529168e-139
PA14_40410	1796.45095336571	-2.68004655948972	0.10641172904365	-25.185631166564	5.75615122734518e-140	7.13762752190802e-138
PA14_34660	5929.1979735718	-1.88154164896645	0.074910760334123	-25.1171078837572	3.23443501941543e-139	3.92714318607357e-137
PA14_23010	5069.82290706888	-3.91677192490386	0.156813719119433	-24.9772274192461	1.08097191628149e-137	1.28569476083439e-135
PA14_33760	4013.77620982893	3.43432617276161	0.139605776370336	24.6001724430891	1.2578259407947e-133	1.4661219165903e-131
PA14_73010	26134.6478161878	-4.87488911257546	0.199788398548827	-24.4002612162891	1.69929873170168e-131	1.94186529575635e-129
PA14_09950	4582.17940803215	-3.64238303884663	0.15032521181505	-24.2300209982605	1.07405192474053e-129	1.20376434949766e-127
PA14_32905	6984.57066761595	5.39174756284593	0.22270461692299	24.2103088716403	1.73269919519117e-129	1.90531526595738e-127
PA14_18330	3867.72581333806	-2.26251222021807	0.0940118607573551	-24.0662423016775	5.64382477793925e-128	6.09115014922777e-126
PA14_60850	428.514050733319	2.72287236865238	0.113976315460445	23.8898086646548	3.90889545382084e-126	4.06804334015498e-124
PA14_18360	5327.65032880889	-2.47178304651309	0.103586940918202	-23.8619175796007	7.61669598940735e-126	7.78773758355545e-124
PA14_38440	2043.07037155961	2.24550976115419	0.0941933339519209	23.8393702286869	1.30534644985811e-125	1.31164812237467e-123
PA14_33590	3589.99005834834	5.04311370232328	0.212406874445021	23.7427047288369	1.30696126893359e-124	1.29101191107542e-122
PA14_18350	12975.5880160375	-2.40902803166296	0.101862734241546	-23.6497483559636	1.18737378805444e-123	1.15333573946355e-121
PA14_33560	3002.77522345842	4.36161328536714	0.185574485647893	23.5033025695289	3.77360608016825e-122	3.6053403664296e-120
PA14_54000	5939.0143848203	1.97698040696495	0.0842944553386403	23.4532674660834	1.22422482913795e-121	1.15077133938968e-119
PA14_63120	34099.9868547502	-4.51250275568845	0.193076479972901	-23.3715818535836	8.31650814821457e-121	7.6934300774277e-119
PA14_43910	486.401231887642	-1.67886454534909	0.0719444627972017	-23.3355630172888	1.93162690670162e-120	1.75898775191516e-118
PA14_33830	5869.46895607452	6.08991503031505	0.262675649094304	23.1841628689711	6.57851781521523e-119	5.89840028108837e-117
PA14_51530	27633.3006689457	3.43395428694369	0.149805297946523	22.9227826653336	2.75404691630761e-116	2.43190688306678e-114
PA14_40420	4350.46422371209	-1.77301620484916	0.078404715034503	-22.6136426115307	3.18167777252587e-113	2.76758478481803e-111
PA14_49720	1148.83397524828	4.20792895273477	0.191167418273761	22.0117475599781	2.22257985117681e-107	1.90488167244977e-105
PA14_18340	3631.20692988622	-2.49659701812898	0.113573427091252	-21.982228432035	4.26028897045979e-107	3.59840059707821e-105
PA14_11280	2529.04060028049	-2.24553524283554	0.102216601749188	-21.9684004790678	5.7767270968141e-107	4.80953793146179e-105
PA14_22940	2606.72054597675	-2.89634339375569	0.132068676426551	-21.9305854508694	1.32709005977868e-106	1.08933533357608e-104
PA14_31820	1067.27848589034	3.40863802489023	0.155570984896029	21.9104997449768	2.06306081629815e-106	1.66993311630356e-104
PA14_51520	4250.75672957529	2.96257875151074	0.135383437742767	21.8828743080061	3.78237711514744e-106	3.01968408590127e-104
PA14_73070	9377.37748769551	-2.8408781923699	0.129914372634358	-21.8673125595234	5.32001343632856e-106	4.18987004147606e-104
PA14_18370	9022.51105663231	-2.5513652541586	0.116767644563436	-21.8499333757865	7.78464055128519e-106	6.04918468438534e-104
PA14_54190	6166.28683198203	-2.46152850933559	0.114431262583447	-21.5109792006408	1.22882940384686e-102	9.42318127055195e-101
PA14_20050	3666.48336432458	3.98199722899537	0.186533733420167	21.3473303513737	4.12859563619433e-101	3.1248643334728e-99
PA14_41470	23491.6130247484	-1.77724749601082	0.0834490685876448	-21.2973916436732	1.20020846309282e-100	8.96771143962176e-99
PA14_55160	931.020152654931	3.78513974833913	0.181832337350496	20.816647926837	3.05846923777971e-96	2.22809483972252e-94
PA14_33600	5275.04203862622	4.20215355188211	0.203148545735702	20.6851274109003	4.71526862278337e-95	3.39266488068907e-93
PA14_44311	30743.6510501991	-3.64109050603486	0.176031939398817	-20.6842605862884	4.80077614251397e-95	3.41206382421603e-93
PA14_17690	2681.02194413866	-2.84956516994746	0.138088879333401	-20.6357324623331	1.31143426267119e-94	9.2084805817442e-93
PA14_11310	4171.56764330617	-2.64732809933808	0.129505166512092	-20.4418724799748	7.09636545589598e-93	4.92352593773354e-91
PA14_18320	702.797496615236	-2.22281044754772	0.108791843992421	-20.4317747174371	8.72716605212495e-93	5.98375573550402e-91
PA14_63550	652.6464228183	-1.53985714373582	0.0755826595101273	-20.3731537592891	2.89425342606168e-92	1.93881712265373e-90
PA14_23000	1730.07166225804	-2.79765710434218	0.137723599705921	-20.3135636181161	9.75622987674033e-92	6.46128496836849e-90
PA14_42400	1587.09263169305	2.55595923776038	0.126427092515151	20.2168632285368	6.95682904824696e-91	4.55555052732396e-89
PA14_42430	5027.27639344626	2.71499146958912	0.134340392490044	20.2097925967451	8.02846122844522e-91	5.19887467104208e-89
PA14_49520	6546.51895449128	2.94884505610135	0.147614588880064	19.9766505361964	8.79289617593149e-89	5.57010857753573e-87
PA14_18300	9354.99834697872	-2.33955840297317	0.117436988147633	-19.9218188398365	2.63252733701563e-88	1.64971713119646e-86
PA14_69190	12075.3198191159	-2.14234587283701	0.107874838043309	-19.8595512326694	9.11211253444453e-88	5.64950977135561e-86
PA14_11290	9498.44662612636	-2.6792312357119	0.135567717278812	-19.7630474975228	6.19492565408229e-87	3.76083611583245e-85
PA14_34630	3515.85757880055	-3.50954479411887	0.177732799928279	-19.7461852597556	8.65110291598811e-87	5.19779667983286e-85
PA14_19680	3123.62487202382	-5.3059551089352	0.269045635756431	-19.721394454206	1.41279238798656e-86	8.40178983386291e-85
