pathway_id	pathway_name	foreground_hits	pathway_genes_in_universe	foreground_genes_in_universe	universe_genes	p_value	adjusted_p_value	foreground_hit_genes
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	29	58	151	2055	4.72395618268e-19	3.92088363162e-17	PA14_01730,PA14_06740,PA14_10500,PA14_13030,PA14_29850,PA14_29860,PA14_29880,PA14_29890,PA14_29900,PA14_29920,PA14_29930,PA14_29940,PA14_29980,PA14_29990,PA14_30010,PA14_30020,PA14_44050,PA14_44060,PA14_44340,PA14_44350,PA14_44360,PA14_44370,PA14_47160,PA14_47180,PA14_47190,PA14_47210,PA14_57540,PA14_57560,PA14_57570
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	120	1053	151	2055	9.71256724797e-14	4.03071540791e-12	PA14_00280,PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_04630,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_06740,PA14_06750,PA14_06920,PA14_07910,PA14_09150,PA14_09420,PA14_09440,PA14_09450,PA14_10500,PA14_11550,PA14_13030,PA14_13290,PA14_13300,PA14_13320,PA14_14680,PA14_18300,PA14_18340,PA14_18350,PA14_18360,PA14_18370,PA14_20950,PA14_22890,PA14_22910,PA14_22930,PA14_23070,PA14_23080,PA14_23090,PA14_23500,PA14_25640,PA14_25920,PA14_25930,PA14_27330,PA14_29850,PA14_29860,PA14_29880,PA14_29890,PA14_29900,PA14_29920,PA14_29930,PA14_29940,PA14_29980,PA14_29990,PA14_30010,PA14_30020,PA14_30180,PA14_32985,PA14_33000,PA14_33010,PA14_34600,PA14_34640,PA14_35270,PA14_35290,PA14_35300,PA14_35320,PA14_35340,PA14_38510,PA14_38660,PA14_39590,PA14_39640,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40310,PA14_40670,PA14_41470,PA14_41563,PA14_41920,PA14_43790,PA14_44050,PA14_44060,PA14_44290,PA14_44340,PA14_44350,PA14_44360,PA14_44370,PA14_44500,PA14_47100,PA14_47160,PA14_47180,PA14_47190,PA14_47210,PA14_49250,PA14_49260,PA14_52800,PA14_53070,PA14_53290,PA14_56300,PA14_57540,PA14_57560,PA14_57570,PA14_57780,PA14_60710,PA14_60890,PA14_61040,PA14_61770,PA14_63110,PA14_63120,PA14_63570,PA14_63580,PA14_63920,PA14_63940,PA14_67580,PA14_71630,PA14_73050,PA14_73070
pau00030	Pentose phosphate pathway - Pseudomonas aeruginosa UCBPP-PA14	14	29	151	2055	2.20498369119e-09	6.10045487896e-08	PA14_07910,PA14_22910,PA14_23070,PA14_23080,PA14_23090,PA14_34600,PA14_34640,PA14_35270,PA14_35290,PA14_35300,PA14_35320,PA14_35340,PA14_53290,PA14_61770
pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	58	444	151	2055	7.55590476098e-07	1.32524422841e-05	PA14_00280,PA14_04630,PA14_06650,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_06920,PA14_07910,PA14_09150,PA14_09420,PA14_09440,PA14_09450,PA14_11550,PA14_13290,PA14_13300,PA14_13320,PA14_14680,PA14_22890,PA14_22930,PA14_23070,PA14_23080,PA14_23500,PA14_25640,PA14_27330,PA14_30180,PA14_32985,PA14_33000,PA14_33010,PA14_34640,PA14_35270,PA14_39590,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40310,PA14_40670,PA14_41470,PA14_41563,PA14_41920,PA14_44050,PA14_44060,PA14_44290,PA14_47100,PA14_52800,PA14_56300,PA14_57780,PA14_60890,PA14_61040,PA14_61770,PA14_63110,PA14_63120,PA14_71630
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	26	129	151	2055	7.98339896632e-07	1.32524422841e-05	PA14_07910,PA14_09150,PA14_22890,PA14_22910,PA14_22930,PA14_23070,PA14_23080,PA14_23090,PA14_30180,PA14_32985,PA14_33000,PA14_33010,PA14_34600,PA14_34640,PA14_41470,PA14_44050,PA14_44060,PA14_44290,PA14_47100,PA14_52800,PA14_56300,PA14_60890,PA14_61040,PA14_61770,PA14_63570,PA14_63580
pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	14	52	151	2055	1.13019421303e-05	0.000156343532803	PA14_00280,PA14_06650,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_09160,PA14_18670,PA14_25920,PA14_25930,PA14_39640,PA14_41563,PA14_64520
pau00405	Phenazine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	9	24	151	2055	2.4811006271e-05	0.000294187645784	PA14_09420,PA14_09440,PA14_09450,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39960,PA14_39970
pau01120	Microbial metabolism in diverse environments - Pseudomonas aeruginosa UCBPP-PA14	41	324	151	2055	0.000139826268315	0.00145069753377	PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_06660,PA14_06750,PA14_06920,PA14_07910,PA14_18300,PA14_22890,PA14_22910,PA14_22930,PA14_23070,PA14_23080,PA14_23090,PA14_30180,PA14_33010,PA14_34600,PA14_34640,PA14_35270,PA14_35290,PA14_35300,PA14_35320,PA14_35340,PA14_38510,PA14_41470,PA14_41563,PA14_43790,PA14_44050,PA14_44060,PA14_44290,PA14_49250,PA14_49260,PA14_52800,PA14_56300,PA14_60710,PA14_60890,PA14_61770,PA14_63570,PA14_63580,PA14_71630
pau01503	Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas aeruginosa UCBPP-PA14	8	31	151	2055	0.00129838204064	0.0119739677082	PA14_18310,PA14_18320,PA14_18330,PA14_18340,PA14_18350,PA14_18360,PA14_18370,PA14_73040
pau00630	Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa UCBPP-PA14	12	63	151	2055	0.00159786921485	0.0132623144833	PA14_09150,PA14_23090,PA14_32985,PA14_33000,PA14_33010,PA14_41470,PA14_44290,PA14_52800,PA14_60890,PA14_61040,PA14_63570,PA14_63580
pau04981	Folate transport and metabolism - Pseudomonas aeruginosa UCBPP-PA14	3	7	151	2055	0.0109252247863	0.0812246708774	PA14_33010,PA14_40670,PA14_60890
pau00720	Other carbon fixation pathways - Pseudomonas aeruginosa UCBPP-PA14	7	35	151	2055	0.01174332591	0.0812246708774	PA14_30180,PA14_41470,PA14_44050,PA14_44060,PA14_44290,PA14_52800,PA14_56300
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	15	111	151	2055	0.0135189019331	0.0863129892653	PA14_09420,PA14_09440,PA14_09450,PA14_20610,PA14_27330,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_41920,PA14_63150,PA14_63160
pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	4	14	151	2055	0.0156743055025	0.0909240212969	PA14_09150,PA14_30180,PA14_56780,PA14_61040
pau00020	Citrate cycle (TCA cycle) - Pseudomonas aeruginosa UCBPP-PA14	6	29	151	2055	0.0164320520416	0.0909240212969	PA14_30180,PA14_41470,PA14_44050,PA14_44060,PA14_44290,PA14_56300
pau01230	Biosynthesis of amino acids - Pseudomonas aeruginosa UCBPP-PA14	18	146	151	2055	0.0175965800657	0.0912822590909	PA14_04630,PA14_06920,PA14_07910,PA14_22890,PA14_23500,PA14_27330,PA14_30180,PA14_33010,PA14_39590,PA14_39945,PA14_40670,PA14_41470,PA14_41920,PA14_44290,PA14_47100,PA14_57780,PA14_60890,PA14_61770
pau00680	Methane metabolism - Pseudomonas aeruginosa UCBPP-PA14	5	26	151	2055	0.037408347194	0.179944547556	PA14_33010,PA14_52800,PA14_60890,PA14_63570,PA14_63580
pau00010	Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa UCBPP-PA14	6	35	151	2055	0.0390241187471	0.179944547556	PA14_22890,PA14_22930,PA14_34600,PA14_35270,PA14_52800,PA14_71630
