pathway_id	pathway_name	iron_depleted_padj	innate_media_padj	iron_depleted_significant	innate_media_significant	iron_depleted_hits	innate_media_hits	kegg_organism_code	iron_universe_mapped	innate_universe_mapped
map00010	KEGG pathway 00010	0.89843370053009064	0.54263732625276073	0	0	1	7	pau	2041	2041
map00020	KEGG pathway 00020	0.64024905175765245	0.1678782418540487	0	0	2	8	pau	2041	2041
map00030	KEGG pathway 00030	0.19658322879030235	8.5851048935956268e-05	0	1	4	14	pau	2041	2041
map00040	KEGG pathway 00040	1	0.67283969461504967	0	0	0	2	pau	2041	2041
map00052	KEGG pathway 00052	1	0.81756104821843523	0	0	0	1	pau	2041	2041
map00053	KEGG pathway 00053	1	0.95963172570044786	0	0	0	1	pau	2041	2041
map00061	KEGG pathway 00061	1	0.99999956459992401	0	0	0	2	pau	2041	2041
map00071	KEGG pathway 00071	1	0.99999956459992401	0	0	0	2	pau	2041	2041
map00130	KEGG pathway 00130	0.55672374863183893	0.46341310407928221	0	0	2	5	pau	2041	2041
map00190	KEGG pathway 00190	2.298710536874241e-05	7.4907785762676158e-14	1	1	13	32	pau	2041	2041
map00220	KEGG pathway 00220	1	0.99999956459992401	0	0	0	2	pau	2041	2041
map00230	KEGG pathway 00230	1	0.99999956459992401	0	0	0	2	pau	2041	2041
map00240	KEGG pathway 00240	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map00250	KEGG pathway 00250	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map00260	KEGG pathway 00260	0.9388456983231418	0.95963172570044786	0	0	1	7	pau	2041	2041
map00261	KEGG pathway 00261	0.59729309969205346	0.99999956459992401	0	0	1	1	pau	2041	2041
map00270	KEGG pathway 00270	1	0.99776656546356179	0	0	0	5	pau	2041	2041
map00280	KEGG pathway 00280	0.49098686455972546	0.59416190701753524	0	0	4	8	pau	2041	2041
map00290	KEGG pathway 00290	0.78922717804496623	0.78017592503070377	0	0	1	3	pau	2041	2041
map00300	KEGG pathway 00300	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map00310	KEGG pathway 00310	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map00330	KEGG pathway 00330	1	0.99999956459992401	0	0	0	2	pau	2041	2041
map00340	KEGG pathway 00340	0.8829674958830831	0.99999956459992401	0	0	1	2	pau	2041	2041
map00350	KEGG pathway 00350	0.45605445140471779	0.23104565199910912	0	0	3	7	pau	2041	2041
map00360	KEGG pathway 00360	0.55672374863183893	0.89222553437744279	0	0	2	3	pau	2041	2041
map00362	KEGG pathway 00362	0.55424828679038218	0.99999956459992401	0	0	3	2	pau	2041	2041
map00380	KEGG pathway 00380	0.59729309969205346	0.99999956459992401	0	0	2	3	pau	2041	2041
map00400	KEGG pathway 00400	0.51663866749954224	0.7807914798991662	0	0	3	5	pau	2041	2041
map00401	KEGG pathway 00401	0.55672374863183893	0.5931765538373982	0	0	1	2	pau	2041	2041
map00405	KEGG pathway 00405	2.3133080384771558e-06	0.01902226380975678	1	1	10	9	pau	2041	2041
map00450	KEGG pathway 00450	1	0.72036678384445019	0	0	0	2	pau	2041	2041
map00460	KEGG pathway 00460	0.074278577973245677	0.81756104821843523	0	0	3	2	pau	2041	2041
map00470	KEGG pathway 00470	0.87122824778805374	0.99999956459992401	0	0	1	2	pau	2041	2041
map00480	KEGG pathway 00480	0.89843370053009064	0.99999956459992401	0	0	1	4	pau	2041	2041
map00500	KEGG pathway 00500	1	0.99999956459992401	0	0	0	1	pau	2041	2041
map00520	KEGG pathway 00520	1	0.99999956459992401	0	0	0	2	pau	2041	2041
map00521	KEGG pathway 00521	1	0.67283969461504967	0	0	0	2	pau	2041	2041
map00540	KEGG pathway 00540	1	0.99999956459992401	0	0	0	1	pau	2041	2041
