mirna	n_patient	n_control	mean_patient_ct	mean_control_ct	difference_patient_minus_control	statistic_t	df	p_raw	p_bonferroni	p_benjamini_yekutieli	significant_bonferroni	significant_benjamini_yekutieli
hsa-let-7a	10	10	28.4230071	29.3248133	-0.901806199999989	-1.98220052658135	15.0266077052483	0.0660510700148134	1	0.897357172022713	FALSE	FALSE
hsa-let-7b	10	10	25.226087	25.8286492	-0.602562200000001	-2.19819262702665	17.562479340667	0.0416025494776501	1	0.721122676518273	FALSE	FALSE
hsa-let-7b*	10	10	31.5712409	33.0887771	-1.5175362	-1.75793241488318	13.3120790293146	0.101715382121869	1	1	FALSE	FALSE
hsa-let-7c	10	10	30.5741933	31.3344097	-0.760216400000001	-1.88216989067515	14.4732660276504	0.0800761229769024	1	0.988819563145073	FALSE	FALSE
hsa-let-7d	10	10	29.4189537	30.7600169	-1.34106319999999	-2.8395541530967	17.9961044167627	0.0108749326559905	1	0.341659733938976	FALSE	FALSE
hsa-let-7d*	10	10	27.5208496	28.2039155	-0.683065899999999	-2.13272003331744	12.0514625561603	0.0541963826251382	1	0.813228701607221	FALSE	FALSE
hsa-let-7e	10	10	30.5517024	31.4564101	-0.90470770000001	-3.04519983668124	12.2636062949421	0.00995186075776381	1	0.333503377599659	FALSE	FALSE
hsa-let-7f	10	10	28.0017577	28.8204381	-0.818680399999991	-1.75061992730109	15.6148380011217	0.0996288594618474	1	1	FALSE	FALSE
hsa-let-7g	10	10	26.3274871	27.4611531	-1.133666	-2.87285445594148	13.8889065037196	0.0123643122128435	1	0.355155969755687	FALSE	FALSE
hsa-let-7i	10	10	27.5503841	28.5401876	-0.989803500000001	-2.98986932119395	15.299687960271	0.00900194449805661	1	0.312072524006969	FALSE	FALSE
hsa-let-7i*	10	10	31.9721099	32.7315408	-0.759430900000002	-1.63333208814011	13.459521778231	0.125563057765306	1	1	FALSE	FALSE
hsa-miR-1	10	10	29.660688	31.0828352	-1.4221472	-1.12836253813433	16.8948683797646	0.274935807561811	1	1	FALSE	FALSE
hsa-miR-101	10	10	26.107469	26.8733568	-0.76588779999998	-1.66479711885744	17.5299258465326	0.113723966572786	1	1	FALSE	FALSE
hsa-miR-103	10	10	25.3196519	26.87829875	-1.55864685	-3.36902400208978	14.2231555187781	0.00449861354921257	0.787257371112199	0.240847545799728	FALSE	FALSE
hsa-miR-103-2*	10	10	31.2364086	31.6697452	-0.433336600000001	-0.705201453993586	11.5962345060223	0.494606703798868	1	1	FALSE	FALSE
hsa-miR-106a	10	10	25.1553631	26.4979861	-1.34262300000002	-3.43571614419039	14.3888584495976	0.00387779746604439	0.678614556557768	0.240847545799728	FALSE	FALSE
hsa-miR-106b	10	10	28.9312592	29.5246506	-0.593391400000012	-1.43116218046523	17.3577534754671	0.170142335675942	1	1	FALSE	FALSE
hsa-miR-106b*	10	9	31.4456691	32.7758393555555	-1.33017025555555	-3.77253269550192	15.9776415114728	0.00167019727393111	0.292284522937945	0.202375263235428	FALSE	FALSE
hsa-miR-107	10	10	26.2249485	27.7445637	-1.5196152	-3.53625877757965	15.2530218778058	0.00292561447268394	0.51198253271969	0.240847545799728	FALSE	FALSE
hsa-miR-10a	10	9	34.5257041	33.6997492907407	0.825954809259258	2.13093018581104	16.9756677782956	0.0480130223123482	1	0.779508336353024	FALSE	FALSE
hsa-miR-10b	10	10	32.8934566	33.3072755	-0.413818900000003	-0.825139699792001	17.9287180929872	0.420136193849309	1	1	FALSE	FALSE
hsa-miR-122	10	10	25.7276944	25.9965685	-0.268874099999987	-0.563414278579126	15.5929846615847	0.581165303351477	1	1	FALSE	FALSE
hsa-miR-125a-5p	10	10	29.4319339	29.9510851	-0.51915120000001	-1.92688107380659	17.9907418777357	0.0699394883377235	1	0.925179623081227	FALSE	FALSE
hsa-miR-125b	10	10	29.7508695	30.7198905	-0.969021000000001	-2.64244932215001	17.8456134083536	0.0166321589707881	1	0.398122330267661	FALSE	FALSE
hsa-miR-126	10	10	24.6013193	25.3816941	-0.780374799999979	-2.2954274132763	16.619066830802	0.035017609540513	1	0.664244285271901	FALSE	FALSE
hsa-miR-127-3p	10	10	31.3660343	32.2475435	-0.8815092	-1.83028085996267	17.9675216617123	0.0838481197636788	1	1	FALSE	FALSE
hsa-miR-128	10	10	30.1309428	31.3765924	-1.24564960000001	-3.34516918909399	11.877556876035	0.00590959275443427	1	0.247550331517746	FALSE	FALSE
hsa-miR-130a	10	10	28.4421423	30.5188783	-2.07673599999999	-3.85480638058162	14.7268260708088	0.00160722558962776	0.281264478184857	0.202375263235428	FALSE	FALSE
hsa-miR-132	10	10	27.8748485	29.0220916	-1.1472431	-1.43152774789805	17.9689474227651	0.169443218891333	1	1	FALSE	FALSE
hsa-miR-133a	10	10	29.0239169	30.5312846	-1.50736770000001	-1.21096668311604	16.0237541857739	0.243466654574362	1	1	FALSE	FALSE
hsa-miR-133b	10	10	29.0501574	29.9527444	-0.902587000000011	-0.937215874832656	17.4383810047934	0.361447213737299	1	1	FALSE	FALSE
hsa-miR-136	9	10	31.3440264759259	30.0400402	1.30398627592592	1.2482034196969	11.8552469041336	0.236046003126455	1	1	FALSE	FALSE
hsa-miR-139-5p	10	10	30.799699	31.1690986	-0.369399600000012	-1.3123556211756	15.771101828355	0.208179893588242	1	1	FALSE	FALSE
hsa-miR-140-3p	10	10	26.8918644	27.7806336	-0.888769199999992	-2.71121419012634	16.7665869152718	0.0149544242446582	1	0.379650107616689	FALSE	FALSE
hsa-miR-140-5p	10	10	29.4822874	29.9607928	-0.4785054	-1.08666128357761	17.9035399361214	0.291600880274775	1	1	FALSE	FALSE
hsa-miR-142-3p	10	10	25.0588486	25.274205	-0.215356400000008	-0.427761521360149	16.7302378180469	0.674280123469104	1	1	FALSE	FALSE
hsa-miR-142-5p	10	10	27.5147459	28.9906625	-1.4759166	-2.69901179708389	10.5503585369821	0.0213946935298966	1	0.488844342914623	FALSE	FALSE
hsa-miR-143	10	10	27.9240357	28.4642467	-0.540210999999978	-1.37420080125402	15.3629439328005	0.189096716684106	1	1	FALSE	FALSE
hsa-miR-144	10	10	25.1004027	25.8085649	-0.7081622	-0.976398976314399	17.8617096355481	0.341906388796688	1	1	FALSE	FALSE
hsa-miR-144*	10	10	30.2004461	30.3807551	-0.180309000000001	-0.494746453357489	17.5646308029593	0.626910540881644	1	1	FALSE	FALSE
hsa-miR-145	10	10	28.8414165	29.8063992	-0.9649827	-1.94895116022898	12.4784818241261	0.074141637652668	1	0.955618991949854	FALSE	FALSE
hsa-miR-146a	10	10	27.6840699	28.4065274	-0.722457500000001	-1.9735261113648	16.7508014803784	0.0651665675163594	1	0.897357172022713	FALSE	FALSE
hsa-miR-148a	10	10	27.9229699	28.6326162	-0.70964630000001	-2.03140938780362	17.3170099485305	0.0578516446045922	1	0.819170985161145	FALSE	FALSE
hsa-miR-148b	10	10	27.7416941	28.5226042	-0.780910099999989	-1.90015829505485	17.4703976337774	0.074045662211035	1	0.955618991949854	FALSE	FALSE
hsa-miR-150	10	10	26.8979555	26.7436392	0.154316299999998	0.361913152986409	15.7654252560477	0.722222098714736	1	1	FALSE	FALSE
hsa-miR-151-3p	10	10	28.969854	29.2305435	-0.260689500000009	-0.496844913179408	13.8981099287763	0.627065000980714	1	1	FALSE	FALSE
hsa-miR-151-5p	10	10	27.4841213	28.3317011	-0.847579799999998	-2.26015780051332	16.241088820247	0.0378859448179618	1	0.70286147417076	FALSE	FALSE
hsa-miR-152	10	10	30.3928604	30.8449455	-0.452085100000001	-1.23179529351223	17.6724387015385	0.234165043245797	1	1	FALSE	FALSE
hsa-miR-154	10	9	32.2531463	32.8016583092593	-0.548512009259262	-0.83358489550055	16.6407657688597	0.416320228677193	1	1	FALSE	FALSE
hsa-miR-155	10	10	31.8475406	32.5341181	-0.686577500000002	-1.37246716491011	16.3461524888896	0.18845804394124	1	1	FALSE	FALSE
hsa-miR-15a	10	10	23.8396506	24.8290786	-0.989427999999997	-2.92789509910731	14.934519082129	0.0104277115068005	1	0.338177348013236	FALSE	FALSE
hsa-miR-15b	10	10	26.1035615	26.6645021	-0.560940600000009	-1.66389626423782	13.8906012697829	0.118520164275333	1	1	FALSE	FALSE
hsa-miR-15b*	10	10	30.5093997	31.5792407	-1.069841	-2.83167583986734	15.5458904943168	0.012288637637511	1	0.355155969755687	FALSE	FALSE
hsa-miR-16	10	10	21.5455173	22.82977985	-1.28426255	-3.08511244429292	16.2130601211289	0.0070114458868259	1	0.251748421228245	FALSE	FALSE
hsa-miR-16-2*	10	10	29.6819705	30.4567515	-0.774780999999997	-1.95052582115076	17.8845387268047	0.0669631826851018	1	0.897618973733414	FALSE	FALSE
hsa-miR-17	10	10	28.7821611	30.2525503	-1.4703892	-3.23998547881191	13.1870953200565	0.00634607045127492	1	0.251748421228245	FALSE	FALSE
hsa-miR-181a	10	10	27.9586718	28.495659	-0.536987199999988	-1.86612347437126	17.7665984050578	0.0786210378870105	1	0.988020569366386	FALSE	FALSE
hsa-miR-182	10	9	33.7064609	33.8040618	-0.0976009000000104	-0.168372404919928	14.7410442905666	0.868578723082985	1	1	FALSE	FALSE
hsa-miR-185	10	10	25.4080005	25.8060417	-0.398041199999991	-1.19374978788209	17.6451057401092	0.248378725380588	1	1	FALSE	FALSE
hsa-miR-186	10	10	28.1136453	28.5317591	-0.418113800000004	-1.16028733477689	17.877986516335	0.261192363842462	1	1	FALSE	FALSE
hsa-miR-18a	10	10	29.2371339	30.0330912	-0.795957299999991	-2.05191059778364	17.9937711492291	0.0550215865361834	1	0.813469729461235	FALSE	FALSE
hsa-miR-18a*	10	9	32.2687766	33.4638719759259	-1.19509537592592	-2.69986314787513	16.6183677385999	0.0153977559086391	1	0.379650107616689	FALSE	FALSE
hsa-miR-18b	10	10	28.9818645	29.620296	-0.638431499999999	-1.54397240236961	17.0760870052541	0.140924340907884	1	1	FALSE	FALSE
hsa-miR-191	10	10	28.4325054	28.76447925	-0.331973850000001	-0.648025779690649	16.7131728555069	0.525771584720312	1	1	FALSE	FALSE
hsa-miR-192	10	10	28.8161638	29.3194246	-0.5032608	-1.22132286321849	17.5751635476756	0.238094684766787	1	1	FALSE	FALSE
hsa-miR-193b	10	10	31.5100794	32.1059284	-0.595849000000001	-1.18508959568052	14.2887485609873	0.255318431015299	1	1	FALSE	FALSE
hsa-miR-194	10	10	30.1212981	30.7291323	-0.607834199999989	-1.57002773940267	17.8090717022935	0.134005237742045	1	1	FALSE	FALSE
hsa-miR-195	10	10	32.1810724	32.5473647	-0.366292299999991	-0.703911808787907	17.0843108080543	0.490971498615539	1	1	FALSE	FALSE
hsa-miR-197	10	10	28.9417444	29.6483933	-0.706648900000001	-2.07973603284574	13.2986508091713	0.0574302463911885	1	0.819170985161145	FALSE	FALSE
hsa-miR-1974	10	10	24.2479707	25.9211977	-1.673227	-4.00607023378888	16.2783975448098	0.00098803067024472	0.172905367292826	0.202375263235428	FALSE	FALSE
hsa-miR-199a-3p	10	10	27.8810388	29.0895581	-1.20851929999999	-2.95548176339501	12.1972375664835	0.0118365689235552	1	0.355155969755687	FALSE	FALSE
hsa-miR-199a-5p	10	10	28.5449033	29.8979528	-1.35304949999999	-2.44587432885989	13.1171436398856	0.0292929317099957	1	0.588992866934457	FALSE	FALSE
hsa-miR-19a	10	10	28.0372602	28.5820808	-0.544820599999991	-1.19599658437254	17.8303655931242	0.247361115447323	1	1	FALSE	FALSE
hsa-miR-19b	10	10	23.5751747	23.1545785	0.420596199999991	0.541587249157629	12.4973464047611	0.597626131829893	1	1	FALSE	FALSE
hsa-miR-200c	10	10	33.2555471	33.4235435	-0.167996400000014	-0.375125498398859	15.1240114595034	0.7127756134687	1	1	FALSE	FALSE
hsa-miR-205	10	10	32.7183562	32.6016209	0.116735299999988	0.174793131083515	17.9452090761326	0.863199164526634	1	1	FALSE	FALSE
hsa-miR-20a	10	10	24.5720383	25.8949452	-1.32290689999999	-3.1639953523073	14.7590102799214	0.0065275473119098	1	0.251748421228245	FALSE	FALSE
hsa-miR-20a*	9	8	33.187595587037	34.2142888520833	-1.0266932650463	-1.82991484440699	14.8173625136078	0.0874525339060506	1	1	FALSE	FALSE
hsa-miR-20b	10	10	30.937504	32.6194199	-1.68191590000001	-4.43039062394747	15.212889479648	0.000470954811750958	0.0824170920564177	0.202375263235428	FALSE	FALSE
hsa-miR-21	10	10	24.7170778	24.2069079	0.510169900000001	1.35803759764522	15.3896599912643	0.194029676340892	1	1	FALSE	FALSE
hsa-miR-210	10	10	29.4090144	29.7769715	-0.367957100000009	-0.807083887643272	15.835252542516	0.431574316578661	1	1	FALSE	FALSE
hsa-miR-2110	10	10	30.434404	31.2338141	-0.79941010000001	-1.60107065605219	16.9480780807309	0.127834822450355	1	1	FALSE	FALSE
hsa-miR-215	10	10	29.7839512	30.2630465	-0.479095300000001	-1.11387389003035	17.9905258689436	0.279994190546699	1	1	FALSE	FALSE
hsa-miR-22	10	10	26.3210809	26.6164749	-0.295394000000002	-0.909927326039534	17.747451828218	0.375053595641513	1	1	FALSE	FALSE
hsa-miR-22*	10	10	29.2067184	30.0793923	-0.872673900000002	-2.77710622894274	14.7382699394962	0.0142777092706393	1	0.379650107616689	FALSE	FALSE
hsa-miR-221	10	10	26.0645504	27.8106785	-1.7461281	-3.38327286867122	12.0481303757867	0.00540653978779189	0.946144462863581	0.247066534167612	FALSE	FALSE
hsa-miR-222	10	10	28.1065492	29.6337419	-1.52719270000001	-4.01143902592296	13.3718581521203	0.00140278786719431	0.245487876759004	0.202375263235428	FALSE	FALSE
hsa-miR-223	10	10	21.7855058	22.2389387	-0.453432899999992	-1.31298623787617	11.4112669241554	0.214978380588497	1	1	FALSE	FALSE
hsa-miR-223*	10	10	30.7963451	30.3884039	0.4079412	0.340861772626702	9.20100672591643	0.740861948200933	1	1	FALSE	FALSE
hsa-miR-23a	10	10	24.4921307	25.0725362	-0.580405499999991	-1.94392457333267	11.7113490822483	0.0763196744978112	1	0.971240130403101	FALSE	FALSE
hsa-miR-23b	10	10	26.5716433	27.3030243	-0.73138100000001	-2.3626845712709	14.5529973991665	0.0325379286864587	1	0.641411773380887	FALSE	FALSE
hsa-miR-24	10	10	24.6168924	25.2980373	-0.68114490000001	-2.28542357472292	13.145383966871	0.0395126548610159	1	0.709357858590024	FALSE	FALSE
hsa-miR-25	10	10	25.6390976	26.3798827	-0.7407851	-2.23803768210168	17.5413671375516	0.0384516719171716	1	0.70286147417076	FALSE	FALSE
