Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AJAP1	11.152945	1.317074	0.192216	7.283560	0.000000	0.000000
AL021920.2	10.587082	-0.627061	0.160089	-4.428597	0.000009	0.000856
EIF1AXP1	29.163820	-0.683043	0.051246	-13.602038	0.000000	0.000000
IFI6	293.690951	-0.506338	0.090572	-6.001367	0.000000	0.000000
IFI44L	600.110493	-0.865822	0.093373	-9.546662	0.000000	0.000000
F3	11.178732	1.425089	0.280677	1.862839	0.062485	0.352422
AC245297.1	16.898047	0.650996	0.131300	5.436228	0.000000	0.000009
LAMB3	26.596728	0.721062	0.159975	2.426187	0.015258	0.162374
NRIR	24.615770	-0.561646	0.091269	-6.524374	0.000000	0.000000
OTOF	33.740939	-0.810516	0.181458	-0.782613	0.433855	0.787914
IL1R2	36.785987	2.011098	0.238082	3.592501	0.000328	0.013763
IL1R1	47.103647	1.258509	0.186765	2.981574	0.002868	0.059695
IL1B	2202.274476	0.590831	0.238580	0.073658	0.941283	0.981908
CDCP1	15.187776	0.940496	0.175097	3.358238	0.000784	0.025139
PTX3	48.445315	0.533482	0.175234	0.682467	0.494944	0.823119
CXCL1	35.003424	1.052057	0.262549	2.297742	0.021576	0.198443
CXCL3	80.412101	1.138771	0.276684	1.802454	0.071474	0.375300
CXCL2	240.735249	0.662298	0.244514	0.798468	0.424599	0.782254
RPS4XP6	38.017690	-0.529553	0.053689	-10.154661	0.000000	0.000000
LUCAT1	126.502781	0.877192	0.212852	1.833648	0.066706	0.363238
RPS4XP7	15.428523	-0.586122	0.072193	-8.475741	0.000000	0.000000
DDX43	18.530434	0.583697	0.071524	8.491275	0.000000	0.000000
IL6	77.874165	0.902821	0.221161	0.616333	0.537675	0.844682
PRKX	1081.390765	-0.527198	0.019422	-27.253647	0.000000	0.000000
BX890604.1	1082.028090	-0.727545	0.083675	-8.920392	0.000000	0.000000
BX842570.1	15.535313	-0.811711	0.079109	-10.552812	0.000000	0.000000
PUDP	140.119815	-0.617805	0.041347	-15.106439	0.000000	0.000000
MAP7D2	11.727347	-3.270878	0.073834	-44.389417	0.000000	0.000000
EIF1AX	474.857711	-0.693397	0.027804	-24.983767	0.000000	0.000000
ZFX	685.070587	-0.624759	0.019441	-32.182849	0.000000	0.000000
KDM6A	866.823229	-0.709617	0.025378	-28.072486	0.000000	0.000000
KDM5C	2136.938271	-0.510918	0.018771	-27.316845	0.000000	0.000000
ERCC6L	12.393611	-2.432593	0.081855	-30.038632	0.000000	0.000000
XIST	6164.872301	-11.579683	0.215501	-59.911524	0.000000	0.000000
JPX	331.653086	-0.641182	0.032702	-19.681883	0.000000	0.000000
AC067904.2	23.997455	-0.520411	0.083800	-6.610636	0.000000	0.000000
ASPH	215.039816	0.593142	0.070979	6.770167	0.000000	0.000000
SDC2	11.583539	1.657243	0.305404	4.606445	0.000004	0.000432
MAILR	79.715429	0.521356	0.104205	-0.196990	0.843835	0.954547
BMS1P10	19.349942	-0.527949	0.102721	-5.623347	0.000000	0.000004
COL27A1	13.955939	0.622462	0.124203	5.468873	0.000000	0.000008
HBB	401.281996	3.478409	0.347142	11.626567	0.000000	0.000000
NRIP3	29.775066	0.531809	0.179775	1.762006	0.078068	0.388288
ZC3H12C	30.028555	0.673899	0.170480	1.270347	0.203961	0.594152
ZBTB16	249.159677	0.550076	0.103635	5.801561	0.000000	0.000001
RPS4XP11	30.904112	-0.516322	0.051471	-10.297402	0.000000	0.000000
IFIT1	96.508296	-0.506962	0.114676	-4.955280	0.000001	0.000093
RPS4XP14	19.303766	-0.583956	0.061166	-9.832159	0.000000	0.000000
EIF2S3B	50.930194	-0.595923	0.052221	-11.732134	0.000000	0.000000
PHLDA1	134.009790	0.588699	0.140865	1.857714	0.063210	0.354097
FLT3	49.991925	0.594680	0.160831	4.283642	0.000018	0.001467
IFI27	17.415005	-1.594826	0.132102	-7.723975	0.000000	0.000000
AL163932.1	12.176498	-0.720220	0.191464	-4.378410	0.000012	0.001046
THBS1	2776.554989	0.827929	0.218210	3.836328	0.000125	0.006753
AC037198.1	16.146387	0.707330	0.276321	2.830865	0.004642	0.080419
HBA2	378.934925	3.335338	0.284707	12.158911	0.000000	0.000000
HBA1	429.670444	3.255291	0.285255	11.215680	0.000000	0.000000
TNFRSF12A	22.929465	0.851704	0.155260	3.913799	0.000091	0.005288
