rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PA14_01780	1190.01893314651	-4.06661024736793	0.0975554223994348	-41.6851277699095	0	0
PA14_13390	1059.93070925268	-5.64781374865426	0.152625968149604	-37.0042779556245	9.77355772679441e-300	2.84801472158789e-296
PA14_10700	9065.20248454122	-2.16052339569034	0.06810137346636	-31.7251075230895	7.00196635183144e-221	1.36024866328245e-217
PA14_13360	1076.62347713786	-4.42369327114944	0.152306967168821	-29.0445890518331	1.80103253990003e-185	2.62410441063434e-182
PA14_18630	2145.07003588414	-2.86031726863366	0.105558108197795	-27.0970872580815	1.06561928539218e-161	1.24208583905313e-158
PA14_45940	4020.30193230948	-5.19288793219	0.200019042163112	-25.9619678008221	1.33216509629601e-148	1.29397636353552e-145
PA14_13350	1677.63803681285	-3.42756204740697	0.135222334640716	-25.3476029423243	9.55027372894647e-142	6.95737441153751e-139
PA14_13370	484.400787178686	-5.06276438883685	0.203584360289943	-24.8681400753305	1.64606550015388e-136	1.06591885943298e-133
PA14_26020	10847.0039632877	-4.45154141386278	0.183039409194479	-24.3201255590429	1.20084958421902e-130	6.99855137682848e-128
PA14_00300	1955.09721585357	-1.63396496296322	0.0722099826271511	-22.6279650474372	2.29973280317567e-113	1.21844025244617e-110
PA14_59180	1618.54802713153	-1.99909504191987	0.0886054310880348	-22.5617664444705	1.02929575962764e-112	4.99894640592492e-110
PA14_13380	650.149349467758	-5.0359019517044	0.224725244462628	-22.4091510668792	3.20488835715625e-111	1.43677610350051e-108
PA14_00310	1383.87776259423	-1.57429154853906	0.0788425574459154	-19.9675352948691	1.05534068100829e-88	4.39323249208309e-86
PA14_10380	28005.210317489	-4.96652461791137	0.273828930757878	-18.137326118776	1.61709598484226e-73	5.23579744425593e-71
PA14_00320	590.920990846362	-1.67349623551555	0.0940735849472275	-17.7892257051152	8.56553224229856e-71	2.62736431095347e-68
PA14_49310	413.282304608232	-4.4673368317584	0.253243828378263	-17.6404568686494	1.20482912059689e-69	3.51087205741935e-67
PA14_01770	538.310730166168	-1.64040954312567	0.0934529659288841	-17.5533170811721	5.61054167124717e-69	1.5570588980966e-66
PA14_28290	1120.96476666161	-2.64517666492999	0.161636811282099	-16.364939669055	3.40364895277084e-60	8.26519420697852e-58
PA14_32590	609.145426277473	-1.54809845396119	0.0947432461193088	-16.3399346905603	5.13078319747276e-60	1.19608817899485e-57
PA14_60790	976.003351677884	-1.56111548827498	0.0997789964404904	-15.645732508505	3.55257770394751e-55	7.13945615814003e-53
PA14_09900	16628.2290398442	-4.16223545584445	0.271573849348196	-15.3263484898646	5.09853522886926e-53	9.28570728557815e-51
