tree_name	mean_patristic_distance
1001705at2759	ERROR:<Node object at 0x14a01caa0910: 'None' (<Taxon 0x14a01ca32510 'Fungi Ncra'>)>
1003258at2759	ERROR:<Node object at 0x14a01ca51f20: 'None' (<Taxon 0x14a01ca86060 'Fungi Ncra'>)>
100698at2759	ERROR:<Node object at 0x14a01ca1f770: 'None' (<Taxon 0x14a01c9fbb50 'Fungi Ncra'>)>
1010730at2759	ERROR:<Node object at 0x14a01ca9fd90: 'None' (<Taxon 0x14a01ca1f930 'Fungi Ncra'>)>
1014314at2759	ERROR:<Node object at 0x14a01ca7d010: 'None' (<Taxon 0x14a01cb7bd10 'Fungi Ncra'>)>
1018517at2759	ERROR:<Node object at 0x14a01ca7d760: 'None' (<Taxon 0x14a01c7f8050 'Fungi Ncra'>)>
1019762at2759	ERROR:<Node object at 0x14a01ca7db50: 'None' (<Taxon 0x14a01ca95e10 'Fungi Ncra'>)>
1025450at2759	ERROR:<Node object at 0x14a01ca7df40: 'None' (<Taxon 0x14a01c7f0a70 'Fungi Ncra'>)>
1030907at2759	ERROR:<Node object at 0x14a01ca7e330: 'None' (<Taxon 0x14a01c7f0d70 'Fungi Ncra'>)>
1032689at2759	ERROR:<Node object at 0x14a01ca7e720: 'None' (<Taxon 0x14a01c7f0ef0 'Fungi Ncra'>)>
1038775at2759	ERROR:<Node object at 0x14a01ca7eb10: 'None' (<Taxon 0x14a01c7f1070 'Fungi Ncra'>)>
1041560at2759	ERROR:<Node object at 0x14a01ca7ede0: 'None' (<Taxon 0x14a01c7f1190 'Fungi Ncra'>)>
1049599at2759	ERROR:<Node object at 0x14a01ca7f1d0: 'None' (<Taxon 0x14a01c7f1310 'Fungi Ncra'>)>
1051021at2759	ERROR:<Node object at 0x14a01ca7f4a0: 'None' (<Taxon 0x14a01c7f1430 'Fungi Ncra'>)>
1053181at2759	ERROR:<Node object at 0x14a01ca7f890: 'None' (<Taxon 0x14a01c7f15b0 'Fungi Ncra'>)>
1057950at2759	ERROR:<Node object at 0x14a01ca7fb60: 'None' (<Taxon 0x14a01c7f16d0 'Fungi Ncra'>)>
1065019at2759	ERROR:<Node object at 0x14a01ca7ff50: 'None' (<Taxon 0x14a01c7f1850 'Fungi Ncra'>)>
