group	file_id	file_name	metric	value	status
Fungi	1108845at2759	1108845at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5802	ok
Fungi	160593at2759	160593at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.0213	ok
Fungi	751335at2759	751335at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.2077	ok
Fungi	1428854at2759	1428854at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8842	ok
Fungi	345441at2759	345441at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5258	ok
Fungi	1128607at2759	1128607at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.4438	ok
Fungi	956854at2759	956854at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.7964	ok
Fungi	543764at2759	543764at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.9385	ok
Fungi	911863at2759	911863at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.9981	ok
Fungi	777920at2759	777920at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6123	ok
Fungi	261328at2759	261328at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8828	ok
Fungi	1038775at2759	1038775at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5568	ok
Fungi	1233814at2759	1233814at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6143	ok
Fungi	1454155at2759	1454155at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.0404	ok
Fungi	1459797at2759	1459797at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8682	ok
Fungi	1079130at2759	1079130at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.4901	ok
Fungi	858842at2759	858842at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.928	ok
Fungi	1322642at2759	1322642at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5766	ok
Fungi	761109at2759	761109at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8488	ok
Fungi	1076134at2759	1076134at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.517	ok
Fungi	1407446at2759	1407446at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.275	ok
Fungi	39650at2759	39650at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.7272	ok
Fungi	1096688at2759	1096688at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.4772	ok
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6439	ok
Fungi	1379600at2759	1379600at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.2473	ok
Fungi	1364586at2759	1364586at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8411	ok
Fungi	1257440at2759	1257440at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6019	ok
Fungi	817008at2759	817008at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.3596	ok
Fungi	674160at2759	674160at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.1287	ok
Fungi	1442062at2759	1442062at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.9351	ok
Fungi	1112002at2759	1112002at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6757	ok
Fungi	450058at2759	450058at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.5224	ok
Fungi	1358374at2759	1358374at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5104	ok
Fungi	774318at2759	774318at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.1029	ok
