key	value
pydeseq2_version	0.5.4
python_version	3.14.2
total_count_samples	30
total_input_genes	63677
prefilter_rule	count>10 in at least one of all 30 samples
genes_after_prefilter	20130
fit_design	~condition
fit_groups	DMSO|DMSO_Serum_starvation|Cisplatin_IC50_CBD_IC50|Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
fit_samples	12
contrast	Cisplatin_IC50_CBD_IC50_vs_DMSO
results_alpha	0.05
padj_threshold	0.05
absolute_lfc_threshold	0.5
baseMean_threshold	10
de_ensg_count	679
mapped_unique_gene_symbol_count	656
