rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Reactome_2022	TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312	8/49	3.73797077670193e-05	0.0324829660495397	7.334622823984526	74.77195110269429	BTG2;CDKN1A;PCNA;RGCC;CCNE2;CCNE1;PLK2;BAX
2	Reactome_2022	TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008	7/44	0.00013619076911797526	0.0591748891817602	7.099342585829072	63.19447103920733	TP53I3;IGFBP3;FASN;TP53INP1;TNFRSF10C;BAX;TRIAP1
3	Reactome_2022	Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787	4/17	0.0008510072828880626	0.2333105560233871	11.493872729957182	81.25121929841126	CDKN1C;CDKN1A;CCNE2;CCNE1
4	Reactome_2022	Transcriptional Regulation By TP53 R-HSA-3700989	20/354	0.0011626173804716	0.2333105560233871	2.2696389399418986	15.336135186431571	BTG2;CDKN1A;TIGAR;PCNA;PRKAA2;PLK2;IGFBP3;TNFRSF10C;FOS;TRIAP1;DDB2;RGCC;TP53I3;CCNE2;RRM2B;CCNE1;FASN;TP53INP1;BAX;TAF9B
5	Reactome_2022	CHL1 Interactions R-HSA-447041	3/9	0.0013424082625051	0.2333105560233871	18.64846743295019	123.32772444368284	NRP1;ITGA2;ANK1
6	Reactome_2022	TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211	3/12	0.0033151868955587	0.4801495687067625	12.430395913154534	70.96812945153629	FASN;IGFBP3;TNFRSF10C
7	Reactome_2022	G0 And Early G1 R-HSA-1538133	4/27	0.0051001429791049	0.5580631461510132	6.49319869815572	34.274262998061886	PCNA;CCNE2;CCNE1;CDC25A
8	Reactome_2022	TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116	3/14	0.0052751030480442	0.5580631461510132	10.169278996865204	53.33539786106886	CDKN1A;CCNE2;CCNE1
9	Reactome_2022	Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943	4/28	0.0058286906763656	0.5580631461510132	6.222328854766475	32.01365103256604	RRM2B;AK4;GLRX;CTPS1
10	Reactome_2022	Cyclin D Associated Events In G1 R-HSA-69231	5/47	0.0075672770181405	0.5580631461510132	4.448946886446887	21.72830950092109	CDKN1C;CDKN1A;CDKN2B;CCNE2;CCNE1
