group	file_id	file_name	metric	value	status
archive	1260807at2759	1260807at2759.faa.mafft	relative_composition_variability	0.6017	ok
archive	1454155at2759	1454155at2759.faa.mafft	relative_composition_variability	0.2398	ok
archive	1065019at2759	1065019at2759.faa.mafft	relative_composition_variability	0.1466	ok
archive	1593937at2759	1593937at2759.faa.mafft	relative_composition_variability	0.1826	ok
archive	160593at2759	160593at2759.faa.mafft	relative_composition_variability	0.1192	ok
archive	1287094at2759	1287094at2759.faa.mafft	relative_composition_variability	0.2121	ok
archive	1504863at2759	1504863at2759.faa.mafft	relative_composition_variability	0.2628	ok
archive	1041560at2759	1041560at2759.faa.mafft	relative_composition_variability	0.1773	ok
archive	369837at2759	369837at2759.faa.mafft	relative_composition_variability	0.1437	ok
archive	290630at2759	290630at2759.faa.mafft	relative_composition_variability	0.1082	ok
archive	261419at2759	261419at2759.faa.mafft	relative_composition_variability	0.1908	ok
archive	1430056at2759	1430056at2759.faa.mafft	relative_composition_variability	0.2084	ok
archive	1161199at2759	1161199at2759.faa.mafft	relative_composition_variability	0.2356	ok
archive	722805at2759	722805at2759.faa.mafft	relative_composition_variability	0.2528	ok
archive	891751at2759	891751at2759.faa.mafft	relative_composition_variability	0.2512	ok
archive	865202at2759	865202at2759.faa.mafft	relative_composition_variability	0.1624	ok
archive	1626636at2759	1626636at2759.faa.mafft	relative_composition_variability	0.2658	ok
archive	1248958at2759	1248958at2759.faa.mafft	relative_composition_variability	0.1212	ok
archive	1107630at2759	1107630at2759.faa.mafft	relative_composition_variability	0.2391	ok
archive	855834at2759	855834at2759.faa.mafft	relative_composition_variability	0.1931	ok
archive	768809at2759	768809at2759.faa.mafft	relative_composition_variability	0.151	ok
archive	142542at2759	142542at2759.faa.mafft	relative_composition_variability	0.2243	ok
archive	1314980at2759	1314980at2759.faa.mafft	relative_composition_variability	0.195	ok
archive	1111142at2759	1111142at2759.faa.mafft	relative_composition_variability	0.2478	ok
archive	1079130at2759	1079130at2759.faa.mafft	relative_composition_variability	0.1358	ok
archive	1563319at2759	1563319at2759.faa.mafft	relative_composition_variability	0.1512	ok
archive	736068at2759	736068at2759.faa.mafft	relative_composition_variability	0.1648	ok
archive	1355894at2759	1355894at2759.faa.mafft	relative_composition_variability	0.2007	ok
archive	166920at2759	166920at2759.faa.mafft	relative_composition_variability	0.154	ok
archive	878143at2759	878143at2759.faa.mafft	relative_composition_variability	0.1395	ok
archive	1434266at2759	1434266at2759.faa.mafft	relative_composition_variability	0.2759	ok
archive	1490022at2759	1490022at2759.faa.mafft	relative_composition_variability	0.1935	ok
archive	296129at2759	296129at2759.faa.mafft	relative_composition_variability	0.1103	ok
archive	1405073at2759	1405073at2759.faa.mafft	relative_composition_variability	0.129	ok
archive	944899at2759	944899at2759.faa.mafft	relative_composition_variability	0.0992	ok
archive	1382842at2759	1382842at2759.faa.mafft	relative_composition_variability	0.3181	ok
archive	543764at2759	543764at2759.faa.mafft	relative_composition_variability	0.1882	ok
archive	621827at2759	621827at2759.faa.mafft	relative_composition_variability	0.1364	ok
archive	1049599at2759	1049599at2759.faa.mafft	relative_composition_variability	0.1747	ok
archive	1223488at2759	1223488at2759.faa.mafft	relative_composition_variability	0.2578	ok
archive	1405146at2759	1405146at2759.faa.mafft	relative_composition_variability	0.1832	ok
archive	976469at2759	976469at2759.faa.mafft	relative_composition_variability	0.1822	ok
archive	844748at2759	844748at2759.faa.mafft	relative_composition_variability	0.2083	ok
archive	777920at2759	777920at2759.faa.mafft	relative_composition_variability	0.133	ok
archive	981902at2759	981902at2759.faa.mafft	relative_composition_variability	0.2183	ok
archive	1001705at2759	1001705at2759.faa.mafft	relative_composition_variability	0.1903	ok
archive	1432328at2759	1432328at2759.faa.mafft	relative_composition_variability	0.2157	ok
archive	1236198at2759	1236198at2759.faa.mafft	relative_composition_variability	0.164	ok
archive	513979at2759	513979at2759.faa.mafft	relative_composition_variability	0.1859	ok
archive	905026at2759	905026at2759.faa.mafft	relative_composition_variability	0.2432	ok
archive	1645187at2759	1645187at2759.faa.mafft	relative_composition_variability	0.268	ok
archive	1440961at2759	1440961at2759.faa.mafft	relative_composition_variability	0.2508	ok
archive	1112002at2759	1112002at2759.faa.mafft	relative_composition_variability	0.1814	ok
archive	918816at2759	918816at2759.faa.mafft	relative_composition_variability	0.2709	ok
archive	1194797at2759	1194797at2759.faa.mafft	relative_composition_variability	0.1001	ok
archive	834694at2759	834694at2759.faa.mafft	relative_composition_variability	0.1969	ok
archive	1157302at2759	1157302at2759.faa.mafft	relative_composition_variability	0.0825	ok
archive	306227at2759	306227at2759.faa.mafft	relative_composition_variability	0.1861	ok
archive	1128607at2759	1128607at2759.faa.mafft	relative_composition_variability	0.1358	ok
archive	156083at2759	156083at2759.faa.mafft	relative_composition_variability	0.0471	ok
archive	1258856at2759	1258856at2759.faa.mafft	relative_composition_variability	0.1791	ok
archive	1338131at2759	1338131at2759.faa.mafft	relative_composition_variability	0.1443	ok
archive	1194691at2759	1194691at2759.faa.mafft	relative_composition_variability	0.168	ok
archive	1129824at2759	1129824at2759.faa.mafft	relative_composition_variability	0.3094	ok
archive	1287401at2759	1287401at2759.faa.mafft	relative_composition_variability	0.1805	ok
archive	331411at2759	331411at2759.faa.mafft	relative_composition_variability	0.2758	ok
archive	1057950at2759	1057950at2759.faa.mafft	relative_composition_variability	0.1724	ok
archive	1370304at2759	1370304at2759.faa.mafft	relative_composition_variability	0.2198	ok
archive	1032689at2759	1032689at2759.faa.mafft	relative_composition_variability	0.2058	ok
archive	1459797at2759	1459797at2759.faa.mafft	relative_composition_variability	0.2051	ok
archive	761109at2759	761109at2759.faa.mafft	relative_composition_variability	0.166	ok
archive	1269649at2759	1269649at2759.faa.mafft	relative_composition_variability	0.1646	ok
archive	1051021at2759	1051021at2759.faa.mafft	relative_composition_variability	0.2556	ok
archive	692986at2759	692986at2759.faa.mafft	relative_composition_variability	0.2105	ok
archive	1428854at2759	1428854at2759.faa.mafft	relative_composition_variability	0.1321	ok
archive	293315at2759	293315at2759.faa.mafft	relative_composition_variability	0.1266	ok
archive	1530008at2759	1530008at2759.faa.mafft	relative_composition_variability	0.149	ok
archive	1138059at2759	1138059at2759.faa.mafft	relative_composition_variability	0.129	ok
archive	1249159at2759	1249159at2759.faa.mafft	relative_composition_variability	0.2044	ok
archive	1247641at2759	1247641at2759.faa.mafft	relative_composition_variability	0.176	ok
archive	257318at2759	257318at2759.faa.mafft	relative_composition_variability	0.1773	ok
archive	1488235at2759	1488235at2759.faa.mafft	relative_composition_variability	0.1932	ok
archive	1094121at2759	1094121at2759.faa.mafft	relative_composition_variability	0.288	ok
