rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	WikiPathways_2019_Mouse	Glutathione metabolism WP164	10/20	4.352189842095826e-07	6.876459950511406e-05	12.61963190184049	184.8450048022905	GGT5;GSTM2;GCLC;GPX4;IDH1;GSS;G6PDX;GSTA1;GSTT1;GCLM
2	WikiPathways_2019_Mouse	Cytokines and Inflammatory Response WP222	11/27	1.4798535348094677e-06	0.00011690842924994794	8.679101296043656	116.5045015491264	IL10;IL1A;CSF3;H2-EB1;IL6;IFNB1;IL1B;PDGFA;CXCL1;IL12A;CXCL3
3	WikiPathways_2019_Mouse	Spinal Cord Injury WP2432	22/99	2.479313791902858e-06	0.00013057719304021716	3.622189494354443	46.75351497434638	EPHA4;EGR1;NOS2;GADD45A;XYLT1;CXCL1;CXCL2;RTN4;RHOB;EFNB2;MMP12;CXCL10;NR4A1;IL1A;IL6;CCND1;MYC;IL1B;CCL2;FCGR2B;TLR4;MAPK3
4	WikiPathways_2019_Mouse	Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346	14/49	7.79333687532509e-06	0.00030783680657534105	5.054818865345181	59.45599990993602	ABCA1;HMGCS1;ELOVL2;NR1H3;MSMO1;HMGCR;HSD17B7;CYP51;CH25H;SQLE;SCD2;SC5D;FADS1;FDFT1
5	WikiPathways_2019_Mouse	Oxidative Stress WP412	10/28	1.787554174132742e-05	0.0005648671190259465	7.0078769976520485	76.6106520845964	NQO1;GCLC;NFIX;MAOA;TXNRD1;CAT;MGST1;MT1;MAPK14;SOD1
6	WikiPathways_2019_Mouse	Microglia Pathogen Phagocytosis Pathway WP3626	12/41	2.6475195356940965e-05	0.0006971801443994454	5.22367894551018	55.05393146001326	C1QB;FCGR1;C1QA;ITGAM;NCF2;PIK3R1;TREM3;TREM1;PIK3CG;LAT;SIGLECE;C1QC
7	WikiPathways_2019_Mouse	Cholesterol Biosynthesis WP103	7/15	4.478295165773806e-05	0.0010108151945603	11.020833333333334	110.3591317740947	SQLE;HMGCS1;SC5D;MSMO1;HMGCR;CYP51;FDFT1
8	WikiPathways_2019_Mouse	Chemokine signaling pathway WP2292	30/190	6.185287056791061e-05	0.0012215941937162	2.3794488597097443	23.05864891137568	GSK3B;SHC2;CXCL9;CCL12;ADCY4;CXCL1;PIK3R1;CXCL2;CXCL5;PIK3CG;ADCY6;PIK3R5;CCL8;CCL7;CCL4;CCL3;CCL2;CSK;CCR5;JAK3;MAPK3;CCR1;PRKCB;STAT3;PPBP;GNG11;CXCL10;ADCY9;RAF1;PF4
9	WikiPathways_2019_Mouse	Eicosanoid Synthesis WP318	7/18	0.00018179123216089345	0.0031914460757134	8.013852813852814	69.02052230204191	ALOX5;ALOX5AP;ALOX12;PTGS2;LTC4S;PTGS1;PTGES
10	WikiPathways_2019_Mouse	Focal Adhesion WP85	28/185	0.00022331024371221052	0.0035283018506529	2.2605003230868643	19.003909859096694	GSK3B;ITGAM;ITGB3;PDGFB;PDGFA;LAMC2;PIK3R1;LAMC1;ITGAL;ACTB;PIK3CG;THBS4;PIK3R5;CCND2;CCND1;SPP1;ITGB8;JUN;ITGA4;STYK1;PGF;RHOB;ITGAD;BCL2;ZYX;ITGA5;RAF1;MET
