Here's a summary of the analysis:

**Differential Expression Analysis:**
- Used pydeseq2 (Python DESeq2 implementation) with count data: 6 samples (KL1-3 vs WL1-3)
- Pre-filtered: genes with total count ≥ 10 across samples (13,538 genes retained)
- Applied DESeq2 dispersion estimation, Wald test, and MAP LFC shrinkage
- Filtered for: `baseMean > 10`, `padj < 0.05`, `|shrunken LFC| > 1`
- Result: **1,416 significantly differentially expressed genes**

**Pathway Enrichment:**
- Converted ENSMUSG IDs → gene symbols using mygene (1,412/1,416 mapped)
- Ran Enrichr ORA against `WikiPathways_2019_Mouse` library
- **157 enriched pathways** found

**Top 20 Pathways (by P-value):**

| Rank | Pathway |
|------|---------|
| 1 | Glutathione metabolism WP164 |
| 2 | Cytokines and Inflammatory Response WP222 |
| 3 | Spinal Cord Injury WP2432 |
| 4 | Cholesterol metabolism WP4346 |
| **5** | **Oxidative Stress WP412** ✓ |
| 6 | Microglia Pathogen Phagocytosis Pathway WP3626 |
| 7 | Cholesterol Biosynthesis WP103 |
| 8 | Chemokine signaling pathway WP2292 |
| 9 | Focal Adhesion WP85 |
| 10 | TYROBP Causal Network WP3625 |
| 11 | Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841 |
| **12** | **Oxidative Damage WP1496** ✓ |
| 13 | Insulin Signaling WP65 |
| 14 | IL-5 Signaling Pathway WP151 |
| 15 | Lung fibrosis WP3632 |
| 16 | Eicosanoid Synthesis WP318 |
| 17 | IL-6 signaling Pathway WP387 |
| 18 | MicroRNAs in Cardiomyocyte Hypertrophy WP1560 |
| 19 | Keap1-Nrf2 WP1245 |
| 20 | Osteoclast WP454 |

**Fraction:** 2/20 = **0.1** (10.0%)
