0	index	n_cells
1	TNFRSF4	155
2	CPSF3L	202
3	ATAD3C	9
4	C1orf86	501
5	RER1	608
6	TNFRSF25	170
7	TNFRSF9	11
8	CTNNBIP1	169
9	SRM	355
10	UBIAD1	111
11	DRAXIN	7
12	TNFRSF1B	379
13	PRDM2	177
14	EFHD2	523
15	DDI2	37
16	SPEN	74
17	SDHB	581
18	CAPZB	1500
19	CAMK2N1	7
20	CDA	393
21	C1QA	36
22	C1QC	5
23	C1QB	17
24	ZNF436	6
25	MDS2	53
26	PITHD1	365
27	HMGCL	137
28	TMEM50A	716
29	LDLRAP1	338
30	RP11-70P17.1	27
31	STMN1	196
32	PDIK1L	30
33	ZNF593	167
34	TMEM222	167
35	PPP1R8	159
36	PTAFR	77
37	PHACTR4	100
38	SNHG12	140
39	TAF12	380
40	YTHDF2	337
41	PUM1	89
42	SPOCD1	3
43	TMEM234	51
44	HDAC1	421
45	MARCKSL1	493
46	SMIM12	317
47	AGO4	30
48	TRAPPC3	441
49	EVA1B	23
50	RRAGC	158
51	PPIE	325
52	TRIT1	36
53	PPT1	516
54	SMAP2	434
55	ZFP69	26
56	CITED4	87
57	C1orf50	149
58	EBNA1BP2	228
59	ST3GAL3	26
60	DMAP1	168
61	ERI3	175
62	PRDX1	822
63	FAAH	68
64	ATPAF1	158
65	EFCAB14	148
66	PDZK1IP1	6
67	TAL1	3
68	SPATA6	18
69	ZCCHC11	161
70	SCP2	735
71	HSPB11	190
72	SSBP3	85
73	ACOT11	8
74	PARS2	7
75	ATG4C	87
76	PGM1	97
77	LRRIQ3	9
78	ACADM	213
79	USP33	122
80	IFI44	295
81	RP5-887A10.1	36
82	PRKACB	126
83	SH3GLB1	379
84	PKN2	89
85	GTF2B	265
86	GBP1	287
87	GBP4	150
88	LRRC8C	76
89	TMED5	244
90	RP11-421L21.3	53
91	HENMT1	122
92	TMEM167B	166
93	SARS	377
94	LAMTOR5	752
95	DRAM2	435
96	CEPT1	153
97	DENND2D	433
98	CHI3L2	108
99	C1orf162	1034
100	ST7L	78
101	LRIG2	29
102	AP4B1-AS1	7
103	RP5-1073O3.7	66
104	CD2	856
105	WARS2	33
106	FCGR1B	61
107	LIX1L	139
108	CD160	79
109	FCGR1A	119
110	BOLA1	102
111	CTSS	1396
112	FAM63A	32
113	PRUNE	32
114	MLLT11	85
115	PI4KB	137
116	C2CD4D	5
117	THEM4	151
118	S100A11	1421
119	S100A12	149
120	S100A8	743
121	S100A6	2109
122	SNAPIN	313
123	CRTC2	86
124	SLC39A1	169
125	UBE2Q1	58
126	CKS1B	187
127	SLC50A1	163
128	RIT1	89
129	PMF1	365
130	BGLAP	6
131	GPATCH4	106
132	ISG20L2	147
133	HDGF	148
134	FCRL2	47
135	CD1C	71
136	AIM2	61
137	FCER1A	55
138	FCRL6	95
139	DCAF8	139
140	PEX19	112
141	CD48	1873
142	F11R	21
143	PFDN2	525
144	NIT1	126
145	DEDD	82
146	FCER1G	964
147	FCGR2A	226
148	FCGR3A	497
149	FCGR2B	77
150	FCGR3B	13
151	FCRLA	117
152	TMCO1	469
153	CD247	721
154	MPC2	427
155	XCL2	138
156	XCL1	86
157	BLZF1	53
158	F5	18
159	SELL	1264
160	FMO4	11
161	KIAA0040	167
162	QSOX1	97
163	DHX9	179
164	NCF2	468
165	COLGALT2	6
166	RGS18	89
167	ZBTB41	12
168	CSRP1	188
169	IPO9-AS1	6
170	PTPN7	252
171	RABIF	156
172	SOX13	3
173	IL24	13
174	CR1	45
