metric	value
shape	5350 cells x 1000 genes
total_median_mad	9775.000;252.042
detected_median_mad	899.000;10.378
qc_keep_3MAD	5000;350 dropped
qc_keep_3.5MAD	5014;336 dropped
qc_keep_4MAD	5039;311 dropped
qc_keep_5MAD	5197;153 dropped
qc_keep_6MAD	5341;9 dropped
detected_hist_5	850-854:0,855-859:0,860-864:1,865-869:6,870-874:30,875-879:80,880-884:245,885-889:567,890-894:892,895-899:1066,900-904:1016,905-909:667,910-914:304,915-919:96,920-924:25,925-929:5,930-934:9,935-939:25,940-944:41,945-949:108,950-954:94,955-959:53,960-964:18,965-969:2,970-974:0,975-979:0
total_hist_100	9200-9299:0,9300-9399:22,9400-9499:171,9500-9599:631,9600-9699:1171,9700-9799:885,9800-9899:567,9900-9999:225,10000-10099:371,10100-10199:679,10200-10299:485,10300-10399:117,10400-10499:25,10500-10599:1,10600-10699:0
pca_variance_first10	0.34353,0.19813,0.00378,0.00138,0.00136,0.00134,0.00134,0.00133,0.00132,0.00131
cluster_all_k2	sil=0.5821;ARI=1.0000;sizes=2712(50.7%,det898,umi9653),2638(49.3%,det899,umi10098)
cluster_all_k3	sil=0.7370;ARI=1.0000;sizes=2503(46.8%,det897,umi9643),1847(34.5%,det902,umi10158),1000(18.7%,det893,umi9800)
cluster_all_k4	sil=0.6892;ARI=1.0000;sizes=2503(46.8%,det897,umi9643),1849(34.6%,det902,umi10158),798(14.9%,det890,umi9786),200(3.7%,det950,umi9844)
cluster_all_k5	sil=0.6618;ARI=0.9935;sizes=2500(46.7%,det897,umi9643),1750(32.7%,det901,umi10165),750(14.0%,det890,umi9782),200(3.7%,det950,umi9844),150(2.8%,det948,umi9830)
cluster_all_k6	sil=0.6514;ARI=1.0000;sizes=2500(46.7%,det897,umi9643),1750(32.7%,det901,umi10165),750(14.0%,det890,umi9782),200(3.7%,det950,umi9844),100(1.9%,det950,umi9827),50(0.9%,det944,umi9838)
cluster_all_k7	sil=0.3599;ARI=0.7000;sizes=1750(32.7%,det901,umi10165),1314(24.6%,det898,umi9642),1186(22.2%,det897,umi9645),750(14.0%,det890,umi9782),200(3.7%,det950,umi9844),100(1.9%,det950,umi9827),50(0.9%,det944,umi9838)
cluster_all_k8	sil=0.3580;ARI=0.4818;sizes=1750(32.7%,det901,umi10165),901(16.8%,det897,umi9644),863(16.1%,det898,umi9641),750(14.0%,det890,umi9782),736(13.8%,det897,umi9645),200(3.7%,det950,umi9844),100(1.9%,det950,umi9827),50(0.9%,det944,umi9838)
cluster_qc4_k2	sil=0.6309;ARI=1.0000;sizes=2522(50.0%,det898,umi10108),2517(50.0%,det898,umi9644)
cluster_qc4_k3	sil=0.7971;ARI=1.0000;sizes=2500(49.6%,det897,umi9643),1755(34.8%,det901,umi10165),784(15.6%,det890,umi9785)
cluster_qc4_k4	sil=0.7206;ARI=0.9955;sizes=2500(49.6%,det897,umi9643),1755(34.8%,det901,umi10165),767(15.2%,det890,umi9784),17(0.3%,det937,umi9846)
cluster_qc4_k5	sil=0.4838;ARI=0.5605;sizes=2500(49.6%,det897,umi9643),904(17.9%,det900,umi10166),851(16.9%,det902,umi10163),750(14.9%,det890,umi9782),34(0.7%,det937,umi9840)
cluster_qc4_k6	sil=0.3753;ARI=0.4596;sizes=1755(34.8%,det901,umi10165),865(17.2%,det898,umi9645),824(16.4%,det897,umi9641),811(16.1%,det898,umi9645),750(14.9%,det890,umi9782),34(0.7%,det937,umi9840)
cluster_qc4_k7	sil=0.1237;ARI=0.4657;sizes=1318(26.2%,det897,umi9644),1182(23.5%,det898,umi9642),904(17.9%,det901,umi10167),851(16.9%,det902,umi10161),750(14.9%,det890,umi9782),17(0.3%,det935,umi9836),17(0.3%,det937,umi9846)
cluster_qc4_k8	sil=0.1223;ARI=0.4065;sizes=889(17.6%,det901,umi10165),888(17.6%,det898,umi9645),866(17.2%,det901,umi10165),851(16.9%,det897,umi9642),761(15.1%,det897,umi9643),750(14.9%,det890,umi9782),17(0.3%,det935,umi9836),17(0.3%,det937,umi9846)
cluster_qc5_k2	sil=0.6060;ARI=1.0000;sizes=2615(50.3%,det898,umi9649),2582(49.7%,det899,umi10102)
cluster_qc5_k3	sil=0.7639;ARI=1.0000;sizes=2507(48.2%,det897,umi9644),1794(34.5%,det901,umi10162),896(17.2%,det892,umi9791)
cluster_qc5_k4	sil=0.7042;ARI=0.9776;sizes=2500(48.1%,det897,umi9643),1750(33.7%,det901,umi10165),750(14.4%,det890,umi9782),197(3.8%,det946,umi9835)
cluster_qc5_k5	sil=0.6665;ARI=0.9846;sizes=2500(48.1%,det897,umi9643),1750(33.7%,det901,umi10165),750(14.4%,det890,umi9782),103(2.0%,det947,umi9840),94(1.8%,det945,umi9829)
cluster_qc5_k6	sil=0.6518;ARI=1.0000;sizes=2500(48.1%,det897,umi9643),1750(33.7%,det901,umi10165),750(14.4%,det890,umi9782),103(2.0%,det947,umi9840),51(1.0%,det947,umi9826),43(0.8%,det943,umi9836)
cluster_qc5_k7	sil=0.3508;ARI=0.6934;sizes=1750(33.7%,det901,umi10165),1259(24.2%,det898,umi9643),1241(23.9%,det897,umi9644),750(14.4%,det890,umi9782),103(2.0%,det947,umi9840),51(1.0%,det947,umi9826),43(0.8%,det943,umi9836)
cluster_qc5_k8	sil=0.1405;ARI=0.4955;sizes=1256(24.2%,det897,umi9644),1244(23.9%,det898,umi9643),906(17.4%,det901,umi10164),844(16.2%,det901,umi10166),750(14.4%,det890,umi9782),103(2.0%,det947,umi9840),51(1.0%,det947,umi9826),43(0.8%,det943,umi9836)
