rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Tabula_Muris	Leukocyte Trachea CL:0000738	6/85	8.225870835594328e-06	0.0005593592168204143	14.19321710054932	166.17739901919023	CD53;SRGN;LYN;DOK2;GPR171;VAV1
2	Tabula_Muris	Leukocyte Pancreas CL:0000738	5/69	4.252619120290804e-05	0.0014458905008988	14.47429906542056	145.68947097920432	NCF1;CYBB;PMAIP1;IKZF1;VAV1
3	Tabula_Muris	Leukocyte Heart CL:0000738	5/77	7.215305649335063e-05	0.0016354692805159	12.860851505711318	122.65035148265764	CD53;DOK2;NCF1;CYBB;VAV1
4	Tabula_Muris	Macrophage Muscle CL:0000235	4/74	0.0007930605494340886	0.0099363302001382	10.485714285714286	74.86392089300311	DOK2;NCF1;GPR35;CYBB
5	Tabula_Muris	Monocyte Marrow CL:0000576	4/74	0.0007930605494340886	0.0099363302001382	10.485714285714286	74.86392089300311	OLFM1;GPR35;TGFBI;TMEM106A
6	Tabula_Muris	B Cell Muscle CL:0000236	4/76	0.0008767350176592593	0.0099363302001382	10.193415637860085	71.75456938907739	CD53;LYN;GPR171;IL21R
7	Tabula_Muris	T Cell Spleen CL:0000084	4/83	0.0012186750706797	0.0118385578294603	9.286919831223628	62.31514865249062	DOK2;ID2;FYN;CST7
8	Tabula_Muris	Myeloid Cell Spleen CL:0000763	3/65	0.0058035026259025	0.0358301622597489	8.801124593074874	45.31957491561595	IFITM1;GPR35;TGFBI
9	Tabula_Muris	Neutrophil Fat CL:0000775	3/65	0.0058035026259025	0.0358301622597489	8.801124593074874	45.31957491561595	GPR35;RNF149;CYBB
10	Tabula_Muris	Kupffer Cell Liver CL:0000091	3/67	0.0063137088998999	0.0358301622597489	8.525229357798166	43.180559451910696	SDC3;CYBB;C1QC
11	Tabula_Muris	Macrophage Brain Microglia CL:0000235	3/67	0.0063137088998999	0.0358301622597489	8.525229357798166	43.180559451910696	OLFM1;IFITM2;CYBB
12	Tabula_Muris	Leukocyte Lung CL:0000738	3/68	0.0065785300110829	0.0358301622597489	8.393648553281581	42.16921996147552	IFITM1;NCF1;LMNB1
13	Tabula_Muris	Natural Killer Cell Lung CL:0000623	3/69	0.0068498839614225	0.0358301622597489	8.26605504587156	41.19408012548262	DOK2;GPR171;CST7
14	Tabula_Muris	Mesenchymal Stem Cell Thymus CL:0000134	3/73	0.0080013895469352	0.038863892085114	7.792136304062909	37.62152543497727	LYN;SDC3;CYBB
15	Tabula_Muris	B Cell Spleen CL:0000236	3/79	0.0099306953871887	0.0450191524219221	7.174794785127958	33.09104878012383	LYN;CD38;CYBB
16	Tabula_Muris	Endothelial Cell Heart CL:0000115	3/81	0.0106286512392837	0.045171767766956	6.990119971771348	31.764516996268416	SRGN;TSPAN13;CD38
17	Tabula_Muris	B Cell Marrow CL:0000236	3/86	0.0124954751816793	0.0451908638788079	6.567370399027302	28.780769731315043	CD38;KLF2;FOXP1
18	Tabula_Muris	T Cell Muscle CL:0000084	3/87	0.0128899173039819	0.0451908638788079	6.4888597640891215	28.23503958564057	IL21R;IKZF1;CST7
19	Tabula_Muris	Endothelial Cell Kidney CL:0000115	3/87	0.0128899173039819	0.0451908638788079	6.4888597640891215	28.23503958564057	SOCS3;KLF2;HSPA1A
20	Tabula_Muris	Basal Cell Of Epidermis Tongue CL:0002187	3/88	0.0132914305525905	0.0451908638788079	6.412196438208311	27.704765300136064	CASP6;MYADM;TSPO
21	Tabula_Muris	T Cell Thymus CL:0000084	3/91	0.0145385660683967	0.0470772615548085	6.192660550458716	26.20083982822115	CCND3;DOK2;IL21R
22	Tabula_Muris	Dendritic Cell Lung CL:0000451	2/66	0.0528694542595504	0.1580524132292638	5.631818181818182	16.55714858649368	CYBB;IKZF1
23	Tabula_Muris	Natural Killer Cell Marrow CL:0000623	2/68	0.0557481068944516	0.1580524132292638	5.460606060606061	15.76428821495794	ID2;CST7
24	Tabula_Muris	Natural Killer Cell Fat CL:0000623	2/69	0.0572077574139159	0.1580524132292638	5.3788331071913165	15.389195289117769	DOK2;CST7
25	Tabula_Muris	Granulocyte Fat CL:0000094	2/72	0.0616656913531529	0.1580524132292638	5.147532467532468	14.341167313291562	NINJ1;C1QC
26	Tabula_Muris	Myeloid Cell Fat CL:0000763	2/73	0.0631773638174065	0.1580524132292638	5.074775928297055	14.015562894578204	GPR35;PMAIP1
27	Tabula_Muris	B Cell Liver CL:0000236	2/74	0.0647015712367954	0.1580524132292638	5.004040404040404	13.700911468273173	CD53;GPR171
28	Tabula_Muris	B Cell Lung CL:0000236	2/76	0.0677868530570091	0.1580524132292638	4.868304668304669	13.102491947685085	CD53;GPR171
29	Tabula_Muris	Unknown Brain Non-Microglia	2/76	0.0677868530570091	0.1580524132292638	4.868304668304669	13.102491947685085	DOK2;IL21R
30	Tabula_Muris	B Cell Fat CL:0000236	2/78	0.0709200774119903	0.1580524132292638	4.739712918660287	12.542236412432873	CD53;GPR171
