rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Disease_Perturbations_from_GEO_up	Acute Lung Injury C0242488 mouse GSE1871 sample 152	28/372	6.023210484432436e-24	4.8667540714214084e-21	18.93798449612403	1012.5462673318774	IFITM1;IFITM2;NCF1;CLEC4N;MS4A6D;SOCS3;ZFP36;LDHA;PSMB5;CFL1;TSPO;WFDC17;LYN;SRGN;CD53;EIF5A;PTPN1;XBP1;CYBB;MT1;MANF;FABP5;RNF149;NINJ1;BCL3;TGFBI;CALR;LGMN
2	Disease_Perturbations_from_GEO_up	polycystic ovary syndrome DOID-11612 human GSE34526 sample 797	23/382	1.475087960045234e-17	5.959355358582746e-15	14.057995054927858	544.8208170576011	LYN;SRGN;CD53;IFITM1;DDX5;BTG2;IFITM2;FOS;NEAT1;CST7;ZFP36;MAFB;FABP5;RNF149;ID2;CFL1;MYADM;TXNIP;TSPO;TGFBI;PABPC1;LGMN;HSPA1A
3	Disease_Perturbations_from_GEO_up	Asthma, allergic C0155877 mouse GSE3184 sample 436	20/296	2.5646344935728297e-16	5.749358096785899e-14	15.4473850031506	554.5541010402812	SRGN;CD53;EIF5A;PTPN1;IFITM1;XBP1;IL4RA;MT1;MS4A6D;PSMB8;MANF;SOCS3;ZFP36;FABP5;RNF149;CFL1;TGFBI;PABPC1;LGMN;C1QC
4	Disease_Perturbations_from_GEO_up	Smoldering multiple myeloma C1531608 human GSE5900 sample 404	22/388	2.846216879596979e-16	5.749358096785899e-14	13.038372799028537	466.7133887883904	SRGN;CD53;IFITM1;DDX5;BTG2;IFITM2;MRPS24;CD180;FOS;NEAT1;PDIA6;PSMB8;KLF2;ZFP36;LDHA;MAFB;CDK2AP2;TXNIP;PABPC1;IER5;FKBP5;HSPA1A
5	Disease_Perturbations_from_GEO_up	Asthma, allergic C0155877 human GSE3004 sample 360	20/383	3.5082767219534425e-14	5.669375182676763e-12	11.693017127799736	362.2621394377277	LYN;SRGN;IFITM1;XBP1;BTG2;SSR2;MVP;FOS;MANF;EPS8;ZFP36;LDHA;SPINT1;EIF6;DAD1;CFL1;BCL3;CDK2AP2;EIF4G1;HSPA1A
6	Disease_Perturbations_from_GEO_up	Type 1 diabetes mellitus C0011854 mouse GSE1623 sample 53	16/229	1.854908265882513e-13	2.497943131388451e-11	15.395148669796557	451.3206523980561	SRGN;CD53;BTG2;H2-DMA;IL6RA;MT1;FOS;PSMB8;SOCS3;ZFP36;TXNIP;LY6A;CRELD2;FKBP5;LGMN;C1QC
7	Disease_Perturbations_from_GEO_up	Sepsis C0243026 mouse GSE4479 sample 150	17/284	3.852593925762793e-13	4.44699413145191e-11	13.150285826926869	375.8990732806204	SRGN;EIF5A;CDKN2D;PTPN1;IFITM1;IFITM2;MT1;SOCS3;LDHA;TSPAN13;DAD1;GPR171;LAMP2;BCL3;TXNIP;LY6A;FKBP5
8	Disease_Perturbations_from_GEO_up	acute myocarditis DOID-3951 mouse GSE35182 sample 802	21/513	8.537112477120975e-13	8.622483601892185e-11	9.097560975609756	252.81379022310324	CD53;NCF1;CLEC4N;H2-DMA;CD180;PRKCD;CYBB;IKZF1;SCIMP;VAV1;MS4A6D;PSMB8;LMNB1;ID2;GPR171;IL21R;LY6A;WFDC17;TMEM106A;LGMN;C1QC
9	Disease_Perturbations_from_GEO_up	Purpura, Idiopathic Thrombocytopenic C0043117 human GSE574 sample 358	21/531	1.6493379842281309e-12	1.4807389902848106e-10	8.768325791855204	237.89035298151583	SRGN;CD53;IFITM1;DDX5;XBP1;BTG2;SSR2;FOS;CST7;PSMB8;CCND3;ZFP36;DOK2;LDHA;DAD1;CFL1;CDK2AP2;TXNIP;TSPO;FYN;PABPC1
10	Disease_Perturbations_from_GEO_up	endometrial cancer DOID-1380 human GSE17025 sample 845	17/327	3.717333215631607e-12	2.8528999492358416e-10	11.301392190152802	297.4302044600709	IFITM1;IFITM2;MRPS24;SSR2;BZW2;NEAT1;PDIA6;LDHA;PSMB5;TSPAN13;FABP5;DAD1;RNF149;CFL1;TGFBI;PABPC1;CRELD2
