rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Microbe_Perturbations_from_GEO_down	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:192	15/232	3.4111813668003573e-12	9.483084199704992e-10	14.01800560596703	370.1308935422589	SRGN;CD53;IFITM1;DDX5;BTG2;H2-DMA;FOS;KLF2;FOXP1;NR4A1;ZFP36;COX7A2L;DNAJC7;TXNIP;IER5
2	Microbe_Perturbations_from_GEO_down	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:182	18/401	9.505077703327494e-12	1.3212058007625215e-09	9.75195822454308	247.4968490714732	SRGN;CDKN2D;IFITM1;BTG2;IFITM2;FOS;MRPL20;ZFP36;LDHA;RNF149;CFL1;CDK2AP2;TXNIP;FYN;TGFBI;PABPC1;LGMN;C1QC
3	Microbe_Perturbations_from_GEO_down	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:181	17/358	1.5627301759105947e-11	1.4481299630104842e-09	10.257724957555178	255.2327289967619	CDKN2D;IFITM1;XBP1;BTG2;FOS;KLF2;FOXP1;MANF;NR4A1;CCND3;ZFP36;COX7A2L;TSPAN13;DNAJC7;TXNIP;PABPC1;IER5
4	Microbe_Perturbations_from_GEO_down	influenza A mouse spleen, 10 days post-infection GSE57454 microbe:327	15/273	3.483450668771371e-11	2.4209982147961027e-09	11.765763605849916	283.32444275879755	LYN;CD53;DDX5;CD180;PRKCD;IL4RA;IKZF1;FOS;CBL;KLF2;FOXP1;ZFP36;DNAJC7;MYADM;CD38
5	Microbe_Perturbations_from_GEO_down	Yersinia enterocolitica mouse bone marrow-derived macrophages GDS1465 microbe:35	15/294	9.890986560512339e-11	5.499388527644861e-09	10.868528987917085	250.3762604125513	PTPN1;NCF1;H2-DMA;PRKCD;FOS;PSMB8;MAFB;CFL1;DNAJB11;BCL3;TXNIP;TSPO;LY6A;TGFBI;C1QC
6	Microbe_Perturbations_from_GEO_down	influenza A mouse spleen, 7 days post-infection GSE57454 microbe:324	14/264	2.622180952876486e-10	1.2149438414994385e-08	11.221714285714286	247.5717159727908	LYN;CD53;DDX5;BTG2;CD180;PRKCD;IKZF1;CBL;KLF2;FOXP1;ZFP36;DNAJC7;MYADM;TXNIP
7	Microbe_Perturbations_from_GEO_down	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:189	13/228	4.89444082788572e-10	1.9437922145031863e-08	12.01545689452666	257.58437178012326	SRGN;CD53;DDX5;BTG2;H2-DMA;FOS;KLF2;FOXP1;NR4A1;ZFP36;COX7A2L;TXNIP;IER5
8	Microbe_Perturbations_from_GEO_down	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:184	15/356	1.3989482151889961e-09	4.8613450477817616e-08	8.864316594612571	180.72165486338247	SRGN;IFITM1;DDX5;BTG2;IFITM2;FOS;NEAT1;KLF2;FOXP1;NR4A1;COX7A2L;TSPAN13;TXNIP;TGFBI;PABPC1
9	Microbe_Perturbations_from_GEO_down	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:191	13/252	1.6639803503744363e-09	5.1398504156010376e-08	10.795697561387938	218.224805952054	CD53;DDX5;BTG2;FOS;NEAT1;KLF2;FOXP1;NR4A1;ZFP36;COX7A2L;DNAJC7;TXNIP;IER5
10	Microbe_Perturbations_from_GEO_down	Leishmania major human dendritic cells GDS5086 microbe:152	12/213	2.709112880941953e-09	7.531333809018631e-08	11.753432835820895	231.85579245098413	NR4A2;SRGN;CD53;ZFP36;DDX5;LDHA;NR4A3;FABP5;ID2;CFL1;PMAIP1;HSPA1A
11	Microbe_Perturbations_from_GEO_down	Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:186	12/226	5.289033279567159e-09	1.3366829561087914e-07	11.03214953271028	210.24662778965688	CD53;NR4A1;IFITM1;ZFP36;DDX5;BTG2;TXNIP;FOS;NEAT1;IER5;KLF2;FOXP1
12	Microbe_Perturbations_from_GEO_down	influenza A mouse spleen, 3 days post-infection GSE57454 microbe:320	13/295	1.1073852813904906e-08	2.3869778638799266e-07	9.129522172075363	167.24078709582403	LYN;CD53;DDX5;CD180;PRKCD;IKZF1;CBL;KLF2;FOXP1;COX7A2L;DNAJC7;MYADM;CD38
13	Microbe_Perturbations_from_GEO_down	Trypanosoma cruzi  HeLa GSE7047 microbe:248	16/481	1.1162126701596781e-08	2.3869778638799266e-07	6.961648745519713	127.47293551052336	IFITM1;PRELID1;IFITM2;MRPS24;BZW2;PDIA6;ATP5G1;HSD17B10;COX7A2L;PSMB5;TSPAN13;DAD1;TSPO;PABPC1;CRELD2;HSPA1A
14	Microbe_Perturbations_from_GEO_down	Anaplasma phagocytophilum human promyelocytic leukemic cells GDS1237 microbe:219	14/373	2.22061566017513e-08	4.409508239490616e-07	7.771189812972543	136.95087190719877	SRGN;EIF5A;IFITM1;IFITM2;MRPS24;SSR2;BZW2;CST7;HSD17B10;LMNB1;COX7A2L;SMDT1;EIF6;DAD1
15	Microbe_Perturbations_from_GEO_down	influenza A mouse spleen, 6 days post-infection GSE57454 microbe:323	12/261	2.6345735268434844e-08	4.882742936416592e-07	9.464578313253012	165.17543669245248	CD53;COX7A2L;DDX5;BTG2;DNAJC7;CD180;PRKCD;MYADM;IKZF1;CBL;KLF2;FOXP1
