rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	LINCS_L1000_Ligand_Perturbations_down	FGF1-MCF7	7/148	1.9959114074992663e-05	0.0016518382773556	9.336643026004728	101.0395138626181	MAFB;ID2;MVP;PRKCD;NINJ1;TXNIP;NEAT1
2	LINCS_L1000_Ligand_Perturbations_down	MSP-SKBR3	7/163	3.711996128888992e-05	0.0016518382773556	8.432478632478633	86.02271390278437	EIF5A;OLFM1;TSPAN13;ID2;LAMP2;FYN;PSMB8
3	LINCS_L1000_Ligand_Perturbations_down	IFNA-MCF7	5/158	0.0019647416292464	0.0278104746983716	6.027426546942765	37.5653002332745	EIF5A;OLFM1;MAFB;TSPAN13;IER5
4	LINCS_L1000_Ligand_Perturbations_down	HRG-MCF7	5/161	0.0021327261648499	0.0278104746983716	5.910615863886892	36.35238126866117	EIF5A;ID2;MVP;PRKCD;TXNIP
5	LINCS_L1000_Ligand_Perturbations_down	IGF1-MCF7	5/164	0.0023109645103648	0.0278104746983716	5.798213131135015	35.195677311528776	IFITM1;BTG2;RNH1;MVP;TXNIP
6	LINCS_L1000_Ligand_Perturbations_down	HRG-MDAMB231	5/164	0.0023109645103648	0.0278104746983716	5.798213131135015	35.195677311528776	EIF5A;CALR;FKBP5;LGMN;EIF4G1
7	LINCS_L1000_Ligand_Perturbations_down	BTC-MCF7	5/166	0.0024356649990139	0.0278104746983716	5.725605154699019	34.454032045620984	MAFB;ID2;MVP;PRKCD;TXNIP
8	LINCS_L1000_Ligand_Perturbations_down	TNFA-BT20	5/167	0.0024998179504154	0.0278104746983716	5.6899734625591325	34.091688632917254	EIF5A;TSPAN13;PRKCD;TXNIP;HSPA1A
9	LINCS_L1000_Ligand_Perturbations_down	EPG-BT20	4/150	0.0101022994079687	0.0620036407454627	5.008117706747844	23.012261883781115	OLFM1;MAFB;TXNIP;NEAT1
10	LINCS_L1000_Ligand_Perturbations_down	IGF2-SKBR3	4/150	0.0101022994079687	0.0620036407454627	5.008117706747844	23.012261883781115	NR4A2;EIF5A;MAFB;KLF2
11	LINCS_L1000_Ligand_Perturbations_down	IL6-MCF7	4/154	0.0110470435841794	0.0620036407454627	4.87358024691358	21.95836629555839	IFITM1;ID2;TXNIP;CALR
12	LINCS_L1000_Ligand_Perturbations_down	PDGFBB-SKBR3	4/156	0.0115400747110129	0.0620036407454627	4.80896686159844	21.45727131507464	EPS8;EIF5A;IFITM1;HSPA1A
13	LINCS_L1000_Ligand_Perturbations_down	BNGF-BT20	4/156	0.0115400747110129	0.0620036407454627	4.80896686159844	21.45727131507464	TSPAN13;TXNIP;IER5;PSMB8
14	LINCS_L1000_Ligand_Perturbations_down	BFGF-MCF7	4/158	0.0120470660524996	0.0620036407454627	4.746031746031746	20.97240166371176	MVP;PRKCD;TXNIP;NEAT1
15	LINCS_L1000_Ligand_Perturbations_down	IFNA-SKBR3	4/159	0.0123058394538369	0.0620036407454627	4.715173237753883	20.73582953661495	EIF5A;OLFM1;PRKCD;CALR
16	LINCS_L1000_Ligand_Perturbations_down	AR-SKBR3	4/159	0.0123058394538369	0.0620036407454627	4.715173237753883	20.73582953661495	XBP1;TSPAN13;ID2;PSMB8
17	LINCS_L1000_Ligand_Perturbations_down	BTC-BT20	4/161	0.0128340249739576	0.0620036407454627	4.654635527246993	20.273988526305235	EIF5A;TSPAN13;TXNIP;NEAT1
18	LINCS_L1000_Ligand_Perturbations_down	FGF1-HS578T	4/162	0.0131034696975345	0.0620036407454627	4.624941397093296	20.048557737685226	IFITM2;MAFB;NEAT1;PSMB8
19	LINCS_L1000_Ligand_Perturbations_down	GDNF-MCF7	4/165	0.0139334024147107	0.0620036407454627	4.538072233724408	19.393298622272127	OLFM1;MAFB;ID2;NEAT1
20	LINCS_L1000_Ligand_Perturbations_down	EGF-HS578T	4/165	0.0139334024147107	0.0620036407454627	4.538072233724408	19.393298622272127	LYN;DNAJC7;TXNIP;NEAT1
21	LINCS_L1000_Ligand_Perturbations_down	HGF-MDAMB231	4/168	0.0147960555586121	0.0627070926055465	4.454381210478772	18.76806596148708	LYN;IFITM2;TSPAN13;CST7
22	LINCS_L1000_Ligand_Perturbations_down	EGF-MCF7	3/139	0.0432972263676827	0.1606224581622219	3.997301672962763	12.550194961245488	EIF5A;OLFM1;TGFBI
23	LINCS_L1000_Ligand_Perturbations_down	EPG-SKBR3	3/148	0.0505054695104699	0.1606224581622219	3.747484973109776	11.18876710585987	XBP1;CALR;PSMB8
24	LINCS_L1000_Ligand_Perturbations_down	BNGF-HS578T	3/154	0.0556149742508821	0.1606224581622219	3.597484658849262	10.394222472325122	SRGN;TGFBI;CST7
