rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	KEGG_2026	LIPID AND ATHEROSCLEROSIS	8/214	2.7629043255799983e-05	0.0042549955984174	7.349514563106796	77.14523093498022	LYN;XBP1;NCF1;CASP6;CYBB;FOS;VAV1;HSPA1A
2	KEGG_2026	PROTEIN PROCESSING IN ENDOPLASMIC RETICULUM	7/171	5.035497749606448e-05	0.0042549955984174	8.017886178861788	79.3483137007018	XBP1;DAD1;SSR2;DNAJB11;CALR;PDIA6;HSPA1A
3	KEGG_2026	PRION DISEASE	8/268	0.00013385757018580672	0.0075406431204671	5.807100591715976	51.79198683811239	COX7A2L;PSMB5;NCF1;PRKCD;CYBB;FYN;C1QC;HSPA1A
4	KEGG_2026	B CELL RECEPTOR SIGNALING PATHWAY	4/82	0.0011649190945085	0.0492178317429856	9.406457739791072	63.54159692838439	LYN;IFITM1;FOS;VAV1
5	KEGG_2026	RIBOSOME	5/160	0.002075609810874	0.063285126450106	5.949050346698824	36.75026020457615	NR4A2;MRPL52;MRPL20;MRPS24;MRPS7
6	KEGG_2026	FC GAMMA R-MEDIATED PHAGOCYTOSIS	4/98	0.0022468092230806	0.063285126450106	7.799054373522458	47.56053803899336	LYN;NCF1;PRKCD;VAV1
7	KEGG_2026	FC EPSILON RI SIGNALING PATHWAY	3/68	0.0065785300110829	0.1157900137709955	8.393648553281581	42.16921996147552	LYN;FYN;VAV1
8	KEGG_2026	OSTEOCLAST DIFFERENTIATION	4/134	0.0068520008582506	0.1157900137709955	5.6290598290598295	28.05081297395026	SOCS3;NCF1;FYN;FOS
9	KEGG_2026	ESTROGEN SIGNALING PATHWAY	4/135	0.0070313182840944	0.1157900137709955	5.585807181227029	27.690974770321823	PRKCD;FOS;FKBP5;HSPA1A
10	KEGG_2026	APOPTOSIS	4/136	0.0072137140720092	0.1157900137709955	5.54320987654321	27.337843558827828	CASP6;PMAIP1;FOS;LMNB1
11	KEGG_2026	HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	5/219	0.0078301159959383	0.1157900137709955	4.296008385011792	20.8346867592364	CCND3;ZFP36;TSPO;CALR;FOS
12	KEGG_2026	CHEMICAL CARCINOGENESIS - REACTIVE OXYGEN SPECIES	5/222	0.0082772878727223	0.1157900137709955	4.235970541366984	20.3082590517664	PTPN1;COX7A2L;NCF1;PRKCD;FOS
13	KEGG_2026	LEISHMANIASIS	3/76	0.0089354001757604	0.1157900137709955	7.47078044489129	35.24515748086507	NCF1;CYBB;FOS
14	KEGG_2026	ANTIGEN PROCESSING AND PRESENTATION	3/78	0.0095920721467096	0.1157900137709955	7.270825688073394	33.786206152355746	CALR;HSPA1A;LGMN
15	KEGG_2026	PHAGOSOME	4/151	0.0103333656518015	0.1164225863436309	4.973796926177879	22.742075839635067	NCF1;LAMP2;CYBB;CALR
