rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Disease_Signatures_from_GEO_down_2014	Thrombocytopenia GSE2527	9/300	4.852845475027346e-05	0.0052896015677798	5.884395956360724	58.45182480683819	LYN;CDKN2D;PTPN1;ZFP36;CYBB;TSPO;CST7;TMEM106A;MANF
2	Disease_Signatures_from_GEO_down_2014	CML - Chronic myeloid leukemia GSE11889	7/300	0.0015084266584627	0.08220925288622	4.458475540386803	28.96532507385945	SRGN;CD53;ZFP36;NR4A3;LAMP2;PDIA6;KLF2
3	Disease_Signatures_from_GEO_down_2014	Arrhythmogenic Right Ventricular Cardiomyopathy GSE4120	6/300	0.0068799429603948	0.149982756536607	3.772429726607624	18.783474300662288	EPS8;RNH1;MRPS24;RNF149;DDX54;TGFBI
4	Disease_Signatures_from_GEO_down_2014	Nephrolithiasis GSE10162	6/300	0.0068799429603948	0.149982756536607	3.772429726607624	18.783474300662288	FABP5;DNAJB11;TSPO;TMEM106A;MANF;GPR146
5	Disease_Signatures_from_GEO_down_2014	Streptococcal tonsillitis GSE11494	6/300	0.0068799429603948	0.149982756536607	3.772429726607624	18.783474300662288	EPS8;NR4A2;EIF5A;PSMB5;TSPAN13;DNAJB11
6	Disease_Signatures_from_GEO_down_2014	Actinic keratosis GSE2503	5/300	0.0268862968640612	0.2442171965152231	3.1035957547917	11.223032197975323	BTG2;LAMP2;RAB3IL1;ATP5G1;HSD17B10
7	Disease_Signatures_from_GEO_down_2014	Huntington's Disease GSE1751	5/300	0.0268862968640612	0.2442171965152231	3.1035957547917	11.223032197975323	CCND3;EIF6;CFL1;CALR;KLF2
8	Disease_Signatures_from_GEO_down_2014	Huntington's Disease GSE3621	5/300	0.0268862968640612	0.2442171965152231	3.1035957547917	11.223032197975323	OLFM1;LDHA;TSPAN13;CALR;SEPT3
9	Disease_Signatures_from_GEO_down_2014	Influenza GSE3203	5/300	0.0268862968640612	0.2442171965152231	3.1035957547917	11.223032197975323	CD53;COX7A2L;LMNB1;SEPT3;GPR146
10	Disease_Signatures_from_GEO_down_2014	Multiple benign melanocytic nevi GSE3189	5/300	0.0268862968640612	0.2442171965152231	3.1035957547917	11.223032197975323	NR4A2;LDHA;CFL1;DDX54;KLF2
