MODE	full
MACS3	macs3 3.0.4
FINAL_CANDIDATE	TF4
WIN_COUNTS
tf	closed_count_wins	closed_fraction_wins	closed_signal_wins	total_wins
TF1	0	0	0	0
TF2	0	0	0	0
TF3	0	0	0	0
TF4	24	24	24	72
TF5	0	0	0	0
TF6	0	0	0	0
LIBRARY_TOTALS
tf	rep1	rep2	control_for_rep1	control_for_rep2
TF1	30191795	34128746	36843392	44772042
TF2	9499030	18579374	26741226	26542856
TF3	15265068	17149104	23107844	13127937
TF4	26197761	19460461	28074467	23582552
TF5	16109471	14715235	16378371	16378371
TF6	8143679	5291122	16709615	16709615
METRICS
tf	dnase	qlog_cutoff	buffer_bp	total_peaks	closed_peaks	closed_fraction	closed_signal_sum	replicate_supported_peaks	supported_closed_peaks	supported_closed_fraction	supported_closed_signal_sum	median_min_log2fc
TF1	ENCODE2020_union	2.0	0	157456	133792	0.849710	565668.728	127133	107102	0.842441	493028.652	1.6479
TF1	ENCODE2020_union	2.0	250	157456	123502	0.784359	519890.595	127133	98689	0.776266	452175.901	1.6404
TF1	ENCODE2020_union	2.0	500	157456	119563	0.759342	504459.944	127133	95744	0.753101	439336.756	1.6467
TF1	ENCODE2020_union	2.0	1000	157456	113443	0.720474	479605.191	127133	90962	0.715487	418030.993	1.6492
TF1	ENCODE2020_union	3.0	0	143361	120980	0.843884	535693.964	122089	102492	0.839486	482071.087	1.6765
TF1	ENCODE2020_union	3.0	250	143361	111677	0.778991	492174.347	122089	94442	0.773550	442064.101	1.6692
TF1	ENCODE2020_union	3.0	500	143361	108277	0.755275	477983.252	122089	91677	0.750903	429645.580	1.6692
TF1	ENCODE2020_union	3.0	1000	143361	102797	0.717050	454603.539	122089	87106	0.713463	408833.985	1.6765
TF1	ENCODE2020_union	5.0	0	116445	97197	0.834703	471570.716	107514	89607	0.833445	446780.692	1.7575
TF1	ENCODE2020_union	5.0	250	116445	89566	0.769170	432460.463	107514	82456	0.766933	409182.264	1.7571
TF1	ENCODE2020_union	5.0	500	116445	87018	0.747288	420510.827	107514	80138	0.745373	397960.337	1.7571
TF1	ENCODE2020_union	5.0	1000	116445	82718	0.710361	400253.006	107514	76183	0.708587	378803.307	1.7575
TF1	ENCODE2018_union	2.0	0	157456	135431	0.860120	574338.072	127133	108596	0.854192	501334.143	1.6503
TF1	ENCODE2018_union	2.0	250	157456	121207	0.769783	510103.664	127133	96876	0.762005	443691.747	1.6404
TF1	ENCODE2018_union	2.0	500	157456	116706	0.741198	492195.376	127133	93452	0.735073	428584.376	1.6467
TF1	ENCODE2018_union	2.0	1000	157456	109970	0.698417	464956.333	127133	88258	0.694218	405444.980	1.6467
TF1	ENCODE2018_union	3.0	0	143361	122499	0.854479	544094.858	122089	103931	0.851272	490251.726	1.6828
TF1	ENCODE2018_union	3.0	250	143361	109562	0.764239	482799.876	122089	92678	0.759102	433696.385	1.6692
TF1	ENCODE2018_union	3.0	500	143361	105684	0.737188	466323.651	122089	89465	0.732785	419081.048	1.6692
TF1	ENCODE2018_union	3.0	1000	143361	99674	0.695266	440755.202	122089	84503	0.692143	396483.911	1.6760
TF1	ENCODE2018_union	5.0	0	116445	98563	0.846434	479582.414	107514	90918	0.845639	454631.888	1.7693
TF1	ENCODE2018_union	5.0	250	116445	87848	0.754416	424130.986	107514	80897	0.752432	401369.619	1.7561
TF1	ENCODE2018_union	5.0	500	116445	84897	0.729074	410100.372	107514	78184	0.727198	388094.345	1.7571
TF1	ENCODE2018_union	5.0	1000	116445	80198	0.688720	388005.836	107514	73898	0.687334	367316.770	1.7571
TF2	ENCODE2020_union	2.0	0	44682	26800	0.599794	115944.350	33658	19241	0.571662	88737.104	1.5306
TF2	ENCODE2020_union	2.0	250	44682	18622	0.416767	81227.880	33658	13599	0.404035	63163.932	1.5306
TF2	ENCODE2020_union	2.0	500	44682	16213	0.362853	71533.182	33658	12111	0.359825	56778.172	1.5318
TF2	ENCODE2020_union	2.0	1000	44682	13954	0.312296	62177.273	33658	10650	0.316418	50306.426	1.5335
TF2	ENCODE2020_union	3.0	0	36387	20864	0.573392	97399.725	29351	16242	0.553371	79332.574	1.6119
TF2	ENCODE2020_union	3.0	250	36387	14481	0.397972	68240.064	29351	11479	0.391094	56490.426	1.6215
TF2	ENCODE2020_union	3.0	500	36387	12737	0.350043	60615.158	29351	10300	0.350925	51070.418	1.6234
TF2	ENCODE2020_union	3.0	1000	36387	11027	0.303048	52969.646	29351	9082	0.309427	45353.773	1.6375
TF2	ENCODE2020_union	5.0	0	22086	11482	0.519877	63141.075	19829	10119	0.510313	56871.097	1.7745
TF2	ENCODE2020_union	5.0	250	22086	8070	0.365390	44760.910	19829	7199	0.363054	40737.171	1.7760
TF2	ENCODE2020_union	5.0	500	22086	7243	0.327945	40473.426	19829	6531	0.329366	37183.917	1.7915
TF2	ENCODE2020_union	5.0	1000	22086	6425	0.290908	36081.480	19829	5847	0.294871	33415.199	1.7915
TF2	ENCODE2018_union	2.0	0	44682	28768	0.643839	125541.052	33658	20926	0.621724	97357.594	1.5306
TF2	ENCODE2018_union	2.0	250	44682	17297	0.387113	75436.804	33658	12687	0.376939	58929.230	1.5306
TF2	ENCODE2018_union	2.0	500	44682	14567	0.326015	64414.643	33658	10994	0.326639	51637.665	1.5318
TF2	ENCODE2018_union	2.0	1000	44682	12259	0.274361	54946.007	33658	9497	0.282162	45064.823	1.5377
TF2	ENCODE2018_union	3.0	0	36387	22557	0.619919	106176.201	29351	17735	0.604238	87376.032	1.6215
TF2	ENCODE2018_union	3.0	250	36387	13403	0.368346	63232.855	29351	10696	0.364417	52667.217	1.6215
TF2	ENCODE2018_union	3.0	500	36387	11392	0.313079	54445.899	29351	9314	0.317332	46345.481	1.6339
TF2	ENCODE2018_union	3.0	1000	36387	9680	0.266029	46831.718	29351	8085	0.275459	40606.420	1.6432
TF2	ENCODE2018_union	5.0	0	22086	12667	0.573531	70101.440	19829	11244	0.567048	63588.596	1.7832
TF2	ENCODE2018_union	5.0	250	22086	7456	0.337589	41452.482	19829	6695	0.337637	37948.285	1.7832
TF2	ENCODE2018_union	5.0	500	22086	6502	0.294395	36521.399	19829	5918	0.298452	33837.318	1.7915
TF2	ENCODE2018_union	5.0	1000	22086	5702	0.258173	32223.988	19829	5244	0.264461	30121.020	1.8011
TF3	ENCODE2020_union	2.0	0	33235	13751	0.413751	73434.734	27023	10751	0.397846	62729.373	1.6085
TF3	ENCODE2020_union	2.0	250	33235	10091	0.303626	54128.081	27023	7878	0.291529	46057.771	1.6064
TF3	ENCODE2020_union	2.0	500	33235	9119	0.274379	49557.203	27023	7148	0.264515	42285.605	1.6098
TF3	ENCODE2020_union	2.0	1000	33235	8129	0.244592	44566.673	27023	6392	0.236539	38099.230	1.6102
TF3	ENCODE2020_union	3.0	0	31048	12178	0.392231	68764.341	25938	9925	0.382643	60226.908	1.6720
TF3	ENCODE2020_union	3.0	250	31048	8916	0.287168	50564.876	25938	7246	0.279358	44107.100	1.6720
