dnase_set	bin_size	tf	chip_fragments	control_fragments	enriched_bins	closed_enriched_bins	open_enriched_bins	total_enrichment_cpm	closed_enrichment_cpm	open_enrichment_cpm	closed_fraction_of_enrichment	closed_chip_reads	open_chip_reads	closed_control_reads	open_control_reads
all_grch38_peaks	200	TF1	64475291	82047466	1353095	1178307	174788	195514.795938	151999.119111	43515.676827	0.777430	58434432	6040859	77923040	4124426
narrowpeak_grch38	200	TF1	64475291	82047466	1353095	1248572	104523	195514.795938	167145.878042	28368.917896	0.854901	61030108	3445183	80100444	1947022
all_grch38_peaks	200	TF2	28141093	53588559	703123	512506	190617	132169.092847	82511.339792	49657.753055	0.624286	25150946	2990147	50785310	2803249
narrowpeak_grch38	200	TF2	28141093	53588559	703123	586847	116276	132169.092847	98779.206169	33389.886679	0.747370	26421948	1719145	52256080	1332479
all_grch38_peaks	200	TF3	32487802	36490846	667262	538502	128760	139007.836029	80488.663087	58519.172942	0.579022	28566958	3920844	34029398	2461448
narrowpeak_grch38	200	TF3	32487802	36490846	667262	581897	85365	139007.836029	92997.632274	46010.203755	0.669010	29921005	2566797	35276480	1214366
all_grch38_peaks	200	TF4	45707152	52032353	1506485	1302080	204405	382505.483160	318697.677189	63807.805970	0.833185	40558998	5148154	49413188	2619165
narrowpeak_grch38	200	TF4	45707152	52032353	1506485	1393842	112643	382505.483160	345897.777785	36607.705375	0.904295	42917296	2789856	50784912	1247441
all_grch38_peaks	200	TF5	30890348	16452140	586173	368632	217541	207836.557566	95655.092721	112181.464845	0.460242	25991989	4898359	15796029	656111
narrowpeak_grch38	200	TF5	30890348	16452140	586173	455296	130877	207836.557566	132438.380638	75398.176928	0.637224	27872813	3017535	16144198	307942
all_grch38_peaks	200	TF6	13458899	16833124	197804	114022	83782	147316.056257	59988.843183	87327.213074	0.407212	11387506	2071393	15621697	1211427
narrowpeak_grch38	200	TF6	13458899	16833124	197804	144365	53439	147316.056257	85146.024363	62170.031894	0.577982	12160068	1298831	16229900	603224
all_grch38_peaks	500	TF1	64475291	82047466	391309	306312	84997	142252.110835	96568.908577	45683.202258	0.678857	56471960	8003331	75785811	6261655
narrowpeak_grch38	500	TF1	64475291	82047466	391309	335478	55831	142252.110835	110724.825818	31527.285017	0.778370	59726133	4749158	78861949	3185517
all_grch38_peaks	500	TF2	28141093	53588559	488027	369819	118208	129666.772379	74923.118476	54743.653902	0.577813	24167085	3974008	49335382	4253177
narrowpeak_grch38	500	TF2	28141093	53588559	488027	411788	76239	129666.772379	90547.271915	39119.500464	0.698307	25757708	2383385	51409652	2178907
all_grch38_peaks	500	TF3	32487802	36490846	575505	508581	66924	148896.087792	92511.662458	56384.425334	0.621317	27599194	4888608	32830126	3660720
narrowpeak_grch38	500	TF3	32487802	36490846	575505	527906	47599	148896.087792	102174.928532	46721.159261	0.686216	29233912	3253890	34549899	1940947
all_grch38_peaks	500	TF4	45707152	52032353	647233	524397	122836	342012.036330	264063.539171	77948.497160	0.772088	38705183	7001969	48027561	4004792
narrowpeak_grch38	500	TF4	45707152	52032353	647233	575161	72072	342012.036330	294885.790496	47126.245834	0.862209	41710592	3996560	49980587	2051766
all_grch38_peaks	500	TF5	30890348	16452140	544826	392065	152761	239568.296623	111122.757515	128445.539109	0.463846	24932039	5958309	15426622	1025518
narrowpeak_grch38	500	TF5	30890348	16452140	544826	450898	93928	239568.296623	149369.553363	90198.743260	0.623495	27063529	3826819	15932991	519149
all_grch38_peaks	500	TF6	13458899	16833124	293511	222586	70925	199880.844584	97818.567080	102062.277504	0.489384	10859065	2599834	15043824	1789300
narrowpeak_grch38	500	TF6	13458899	16833124	293511	249548	43963	199880.844584	125316.803637	74564.040946	0.626958	11773302	1685597	15877081	956043
all_grch38_peaks	1000	TF1	64475291	82047466	149108	101162	47946	109422.498351	65870.251654	43552.246698	0.601981	54091440	10383851	72694361	9353105
narrowpeak_grch38	1000	TF1	64475291	82047466	149108	115896	33212	109422.498351	78324.320555	31098.177796	0.715797	58136331	6338960	76977994	5069472
all_grch38_peaks	1000	TF2	28141093	53588559	150496	89634	60862	78754.856502	29906.856270	48848.000232	0.379746	22991038	5150055	47261139	6327420
narrowpeak_grch38	1000	TF2	28141093	53588559	150496	106403	44093	78754.856502	40862.468533	37892.387969	0.518856	24946700	3194393	50135206	3453353
all_grch38_peaks	1000	TF3	32487802	36490846	243942	209034	34908	104803.000334	56173.392651	48629.607683	0.535990	26441535	6046267	31190830	5300016
narrowpeak_grch38	1000	TF3	32487802	36490846	243942	216540	27402	104803.000334	62514.440155	42288.560179	0.596495	28430073	4057729	33506219	2984627
all_grch38_peaks	1000	TF4	45707152	52032353	309071	227022	82049	283355.435699	196489.126629	86866.309070	0.693437	36454546	9252606	46027827	6004526
narrowpeak_grch38	1000	TF4	45707152	52032353	309071	258519	50552	283355.435699	228598.177895	54757.257804	0.806754	40212165	5494987	48762970	3269383
all_grch38_peaks	1000	TF5	30890348	16452140	290561	185559	105002	206309.625902	74920.258871	131389.367031	0.363145	23807798	7082550	14879205	1572935
narrowpeak_grch38	1000	TF5	30890348	16452140	290561	221165	69396	206309.625902	108272.286692	98037.339210	0.524805	26181632	4708716	15606054	846086
all_grch38_peaks	1000	TF6	13458899	16833124	254630	205735	48895	199576.576255	96917.364946	102659.211309	0.485615	10275915	3182984	14264158	2568966
narrowpeak_grch38	1000	TF6	13458899	16833124	254630	223110	31520	199576.576255	121384.699172	78191.877083	0.608211	11348101	2110798	15377077	1456047
