index	n_cells-0	n_counts-1	means-1	dispersions-1	dispersions_norm-1	highly_variable-1	highly_variable	means	dispersions	dispersions_norm
TNFRSF4	155	304.35815	0.19333184	1.7607244	2.7464256	True	False	1.3394580374853025	6.30287486106441	-0.021006387
SRM	355	1951.0789	0.86173284	1.5792639	0.8304463	True	False	2.4626006523104524	7.7902981268793114	0.08785385
TNFRSF1B	379	1449.6646	0.70105714	1.5734763	0.9237927	True	False	1.3175809522379407	5.854544813459002	-0.652019
EFHD2	523	1573.3677	0.7431605	1.385345	0.15898009	False	False	0.9426486298474784	4.134270259401968	-0.019112179
C1QA	36	3897.893	1.3168184	3.346717	3.6617038	True	True	1.7485637875624804	6.722775565717597	0.56999266
C1QB	17	1635.0765	0.76351905	3.3748822	8.24707	True	False	4.694826583555984	10.58694052259318	-0.021557797
STMN1	196	3088.7668	1.1520008	3.1312568	4.56089	True	False	2.7383853849744235	7.47362514230374	-0.41740507
MARCKSL1	493	1938.9277	0.8581294	1.6759479	1.2113675	True	False	2.9602847354955695	8.941880923426787	-0.7135158
SMAP2	434	1028.7045	0.5428391	1.292978	-0.21652035	False	False	1.5787795865027248	6.395778835204345	0.10975348
PRDX1	822	4306.452	1.3907433	1.5619731	-0.0042539905	False	False	0.9031768290674493	4.4741227362754055	0.33275923
SCP2	735	2500.6467	1.0124665	1.270636	-0.38550422	False	False	0.9169833619541221	4.242426514360855	0.09286904
DENND2D	433	806.9616	0.44820207	1.3905954	0.4719842	True	True	1.7740439245349315	6.6897868056977385	0.5235619
C1orf162	1034	6030.4453	1.6536388	1.7653878	0.2341166	False	False	0.8537854078927412	4.041505912705328	-0.11515716
CD2	856	2220.0552	0.93834585	1.7711706	1.5865315	True	False	1.3752627945917273	6.365384641868802	0.06697447
CD160	79	151.61888	0.100976	1.8312948	3.1298358	True	False	12.693138011863944	19.243783028969606	1.0
CTSS	1396	13518.608	2.3488436	2.9062674	2.372254	True	False	0.8614486673843371	3.475429769189021	-0.7012527
