index	n_cells-0	n_counts-1	means-1	dispersions-1	dispersions_norm-1	highly_variable-1	highly_variable	means	dispersions	dispersions_norm
TNFRSF4	155	304.35815	0.19333184	1.7607244	2.7464256	True	False	1.9650200534332087	7.415042873225273	-0.70119333
SRM	355	1951.0789	0.86173284	1.5792639	0.8304463	True	False	1.3546886745309241	6.626049206786659	-0.47477514
TNFRSF1B	379	1449.6646	0.70105714	1.5734763	0.9237927	True	True	1.820088763016268	8.809447868414887	0.9499584
EFHD2	523	1573.3677	0.7431605	1.385345	0.15898009	False	False	0.928480968703713	4.763250318596173	-0.5739566
C1QA	36	3897.893	1.3168184	3.346717	3.6617038	True	False	4.552089047884841	9.858249147849746	-1.2342649
C1QB	17	1635.0765	0.76351905	3.3748822	8.24707	True	False	4.614069283195934	9.856434481376024	-0.934818
STMN1	196	3088.7668	1.1520008	3.1312568	4.56089	True	False	2.0696343170712335	7.999076588104175	-0.10456061
MARCKSL1	493	1938.9277	0.8581294	1.6759479	1.2113675	True	True	1.0066179609104902	5.8796419386842596	0.5662068
SMAP2	434	1028.7045	0.5428391	1.292978	-0.21652035	False	True	1.3047954498784902	7.538011542711517	1.182271
PRDX1	822	4306.452	1.3907433	1.5619731	-0.0042539905	False	False	0.7336570602962826	3.8711127543298463	-0.0077821356
SCP2	735	2500.6467	1.0124665	1.270636	-0.38550422	False	True	0.8045469096709775	5.3757343717800365	1.5913669
DENND2D	433	806.9616	0.44820207	1.3905954	0.4719842	True	False	1.1240507774147068	6.36600201324783	0.17582078
C1orf162	1034	6030.4453	1.6536388	1.7653878	0.2341166	False	True	0.6122058823235328	2.744237363790479	0.5849759
CD2	856	2220.0552	0.93834585	1.7711706	1.5865315	True	False	0.6600906890722943	3.043865888092666	-0.8870005
CD160	79	151.61888	0.100976	1.8312948	3.1298358	True	False	3.456974169231985	9.503861315266276	1.0
CTSS	1396	13518.608	2.3488436	2.9062674	2.372254	True	False	0.5257983380148348	1.809148045533628	-0.75742257
S100A8	743	1111.1274	0.5758522	2.3670056	4.149737	True	False	0.720706602695569	2.433762399845221	-1.5354335
S100A6	2109	24801.092	2.9112575	2.3005092	0.33003017	True	False	0.4408633029724878	1.4066249086196074	-1.335278
FCER1A	55	8126.176	1.9012991	3.3484802	2.1751766	True	False	4.2482288718852645	9.57890117758613	1.0
FCER1G	964	20091.55	2.7133408	3.1542788	2.2521713	True	False	0.5775896405212961	1.9624683172777886	-0.5373186
FCGR3A	497	11019.047	2.1658292	3.373141	2.1200054	True	False	0.8255737406112997	2.9043481603871673	-1.0352834
FCRLA	117	405.00568	0.249837	1.7665929	2.7783089	True	False	2.786646651731827	9.429624381772616	0.46170446
CD247	721	1821.243	0.82254	1.922738	2.1836853	True	False	0.7448652377274142	3.615169965605205	-0.27980444
XCL2	138	150.58533	0.10032107	2.1934218	5.097281	True	False	2.1524080428719987	7.829896105676827	-0.27739072
XCL1	86	137.74208	0.092146665	1.5306689	1.4965283	True	False	2.728756934442207	7.864057578579039	-1.8329008
PTPN7	252	538.6131	0.32022977	1.2665317	-0.1979142	False	True	2.565878598969507	9.55851817608969	0.51213104
G0S2	185	571.9829	0.3370641	2.2472136	5.0974064	True	False	2.0181192522393703	7.05161355076105	-1.0724627
TRAF3IP3	1296	4741.1265	1.4638208	1.5699837	0.012200258	False	False	0.5445574137751503	2.452456415273481	0.16610007
COA6	234	622.00525	0.36178023	1.1823214	-0.65261865	False	True	1.9798189954444678	8.738301500452112	0.6506111
ID2	1040	5733.918	1.613064	2.0361483	0.68277955	True	False	0.6050695345362841	2.358293540344212	0.030921437
GNLY	484	11138.426	2.1753747	4.224763	3.3502407	True	False	1.0440298094021663	3.60435084880713	-1.7575331
MAL	355	622.9477	0.36223993	1.5285761	1.2170291	True	True	1.4229323269517393	7.568370511244375	0.6648612
IL1B	211	532.666	0.31719977	1.9746996	3.6259315	True	False	1.7722689989639187	6.865784047072528	-0.91294056
CCDC115	434	1552.9585	0.73633504	1.1700646	-0.716202	False	False	1.256447177159376	6.700775596966621	0.4633039
PPIG	457	1602.0422	0.7526723	1.2928348	-0.21710287	False	True	1.18054166013705	6.876920362052472	0.61456627
EIF1B	513	1369.3882	0.6727543	1.2223425	-0.50367594	False	False	0.9175041639188264	5.420030772816099	0.09680893
UQCRC1	499	2213.7583	0.9366173	1.1460615	-0.8763098	False	True	1.2009050852716907	6.743800445724068	0.500251
GPX1	1136	11545.776	2.2072792	2.181781	0.39899108	True	False	0.6321287324378134	2.5968743191099457	0.373424
GNAI2	618	2236.2505	0.9427761	1.30877	-0.23526174	False	True	0.8428136791981186	4.542083663268917	0.7053423
ARL6IP5	1222	4693.6333	1.456092	1.4780449	-0.176647	False	True	0.6136803552805316	3.4239267515460226	1.5607265
BBX	386	985.233	0.5249786	1.337145	0.1833714	False	True	1.277572641601253	7.077243443449081	0.7865915
CD47	669	2019.8915	0.88189816	1.4062986	0.14898753	False	True	0.8579829114168944	5.507503504972676	1.7314143
TIGIT	189	393.3444	0.24345134	2.1693523	4.9665103	True	True	2.56400223654945	9.650291571277114	0.5969321
EAF2	253	1155.3392	0.5931213	2.0038137	2.6732488	True	False	1.7227885607091193	7.772922786678845	-0.5522397
GATA2	4	55.81075	0.038365103	1.9853877	3.9670262	True	False	3.536915062032109	9.999911925032864	1.1288301
RAB7A	840	3072.1587	1.1483164	1.2760776	-0.4673998	False	True	0.7018429033001354	4.494276509775946	0.65453166
SIAH2	326	878.0571	0.47953096	1.2245265	-0.4247267	False	True	2.009648356906811	9.110129646571249	1.0304605
GPR171	135	139.21802	0.093089476	1.2976997	0.23080127	False	True	2.642838085448592	9.559672957617726	0.6523128
MFSD1	163	600.6454	0.3513009	1.2247571	-0.4234818	False	False	2.5720775251775874	8.710483603712973	-0.27147573
SPON2	216	555.28015	0.32867336	2.1815748	4.7429814	True	False	1.4812262348284475	4.890779069805938	-2.5733979
LYAR	499	1041.1713	0.5479032	1.4836733	0.5587156	True	False	1.0475737380642234	5.577046240097822	0.2571678
FGFBP2	296	1053.169	0.5527524	2.5312648	4.817502	True	False	1.1924746088020135	4.307702726828894	-1.5917209
MED28	458	900.5595	0.489246	1.23339	-0.37686732	False	True	1.0662032359398492	6.275058459393482	0.97004306
SMIM14	275	1023.40717	0.5406798	1.8145171	1.903699	True	True	1.8430400359677082	8.50359897978561	0.6568184
HOPX	403	1390.7035	0.68034804	2.3096242	3.9164639	True	False	1.0013391274505157	4.220531309291481	-1.128232
IGFBP7	228	1462.501	0.70550925	1.9666255	2.5220668	True	True	2.5673663599698067	9.641156640833685	0.5884912
IGJ	72	6423.996	1.7050666	5.037713	5.6565137	True	False	3.85799872330729	9.631163510741882	0.86800057
SNHG8	678	1896.3853	0.84540945	1.3708388	0.009280634	False	True	0.7616732781395135	4.440028492998842	0.59687555
FYB	990	2145.7073	0.9177493	1.5382669	0.6689238	True	False	0.6579310755108531	3.9542815224670287	0.08061168
EMB	278	689.5122	0.39419502	1.2748755	-0.15286067	False	False	2.0328930880774068	8.484006718216092	0.3908306
GZMK	319	1516.7869	0.7241224	2.7748103	5.807591	True	False	1.1168143792769123	3.9012823261813554	-1.9407299
GZMA	541	3234.192	1.1836972	2.8146453	3.7027445	True	False	0.7845256264302727	2.776582991492818	-1.1710753
NSA2	602	1381.2491	0.67698693	1.2689773	-0.31409097	False	False	0.9483683141081805	5.670184298292129	0.35228908
H2AFY	798	4746.726	1.4647276	1.5238638	-0.08253251	False	True	0.8333367558309319	4.934433567333176	1.1223415
MZB1	74	3920.0127	1.3209637	4.058572	5.123892	True	False	3.6277055644699274	9.320393291890078	-0.77490747
NDUFA2	695	2867.5972	1.101783	1.2439435	-0.55449647	False	True	0.9919459421052365	6.7408373796573775	1.44574
ATP6V0E1	1515	5912.5474	1.6377032	1.3447876	-0.46283773	False	True	0.5435079144253289	2.8178179767476976	0.69060695
LMAN2	698	3298.228	1.1973417	1.426922	-0.058550302	False	True	0.8377014782400499	4.762450249831025	0.9395534
SERPINB1	977	2754.4521	1.0750847	1.5829467	0.3643401	True	False	0.6831645569679438	4.335345847273748	0.48561627
LTB	1893	22596.195	2.823445	3.4467075	1.874518	True	False	0.433036455302009	1.2528401483096747	-1.5560489
LST1	959	22248.352	2.8088608	3.3310716	1.7187	True	False	0.619473713399646	2.2285888067945825	-0.15528049
AIF1	1008	25295.443	2.9299295	3.5010066	1.9476854	True	False	0.6007730150323389	2.1260425912861396	-0.3024941
HLA-DRB1	1235	56532.24	3.7041667	3.693616	1.6902301	True	False	0.5278871947450456	1.638447717737929	-1.002477
HLA-DQA1	586	22813.24	2.8324409	3.2569625	1.618839	True	False	0.7870965270727764	2.9120714702114534	-1.0270749
HLA-DQB1	645	14207.76	2.3939226	2.790436	2.134627	True	False	0.7730928651674767	2.7970437874766887	-1.1493292
HLA-DMB	482	4940.5557	1.4956416	1.9950151	0.8852372	True	False	0.9171177580493453	4.841694033879095	-0.49384257
HLA-DMA	708	7916.9814	1.8791587	2.2134886	0.67676544	True	False	0.7335262172182209	3.1836497169611384	-0.7384348
HLA-DPA1	1326	49766.992	3.5800474	3.6882424	1.6840813	True	False	0.52224380934735	1.6831882872678103	-0.9382483
HLA-DPB1	1388	52165.562	3.625836	3.8797753	1.9032505	True	False	0.5262098207237469	1.7465632515993847	-0.8472683
TAPBP	702	1533.0985	0.72964823	1.2835766	-0.25474015	False	False	0.7503519104725654	4.144259018352048	0.28252447
CNPY3	750	3740.6248	1.2868398	1.4445854	-0.24537441	False	False	0.7165707974710797	3.8609932128619135	-0.018537434
SAMD3	316	538.6123	0.32022947	1.3776957	0.40233028	True	False	1.4244547436818045	7.26394760278158	0.2966944
DYNLT1	515	966.5471	0.51720214	1.2874181	-0.08513523	False	True	1.0093190579610223	5.965836606779397	0.65423685
TCP1	458	1309.0547	0.65094286	1.2508525	-0.387774	False	False	1.0935610920688366	6.1457603761448425	-0.0133092785
STK17A	850	1678.7247	0.7776727	1.6279045	1.1450604	True	False	0.6941278123602502	3.4477308921445093	-0.45776284
CCT6A	443	1808.3689	0.81856835	1.2212903	-0.579919	False	True	1.076316875723829	6.375767247592179	1.0728964
LAT2	249	1128.759	0.5827747	1.3106613	-0.14463234	False	False	2.203947402935121	9.327466034833469	0.3267871
MRPS33	268	1037.0142	0.54621726	1.4382942	0.3742351	True	True	2.442929540484927	9.772104167560824	0.70949024
ZYX	403	1669.8091	0.77479786	1.3804896	0.1392414	False	True	1.363980086742954	7.598670147234028	0.70150536
GIMAP7	1444	6923.144	1.766705	2.0449758	0.69740707	True	True	0.5355935442805303	3.1393474722245607	1.1521893
PQBP1	430	1744.7242	0.798701	1.2182258	-0.5919927	False	True	1.9963471274291473	8.912530889603776	0.82859904
ITM2A	340	1187.4689	0.6054865	1.7994107	1.8422866	True	True	1.51823617522895	8.088226692172725	1.2935714
TCEAL8	341	884.6244	0.4823761	1.1817816	-0.65553325	False	True	2.382737120838228	9.836308278324164	0.81208867
MPP1	175	531.5916	0.31665134	1.3596625	0.30495793	True	True	2.899681580093942	8.729063470312216	0.70710677
PNOC	95	466.44556	0.28282377	2.0224068	3.8835328	True	False	2.4903452318428534	6.893834640132692	-1.9501082
LYPD2	18	1220.3335	0.6179785	3.0936282	7.103685	True	False	4.4935796054462545	9.91975004571006	-0.029424397
ARPC5L	504	1640.4025	0.76525694	1.427299	0.32953638	True	False	0.9222085099595407	5.314747059965925	-0.010716631
FCN1	793	7750.0815	1.8611344	2.9384065	1.633799	True	False	0.6507493458535051	2.2893913735967186	-0.06799335
EGFL7	10	88.32592	0.060056202	1.8335433	3.1420522	True	False	4.436005823827987	9.997212157813868	1.488106
PHPT1	440	2041.7037	0.88820624	1.320584	-0.18871579	False	True	1.0813016181475916	6.223682983526351	0.91757363
C9orf142	654	2327.4595	0.9673697	1.5782065	0.82628036	True	True	0.7920552818908463	4.6607735404759945	0.83148885
CLIC3	166	1442.4778	0.69855547	2.792476	5.879407	True	False	1.810598880769486	6.051597420584907	-1.6932954
AKR1C3	106	241.40353	0.15629284	1.6753117	2.282376	True	False	2.591368607779215	7.307802935625039	-1.5675904
SRGN	1612	12363.07	2.2683744	1.9034525	-0.0030766558	False	False	0.5096682019430672	2.1011786942630266	-0.3381883
PRF1	428	1175.6165	0.600943	2.324937	3.9787157	True	False	0.9895709356326864	3.552368172205455	-1.8106226
IFITM3	599	4752.9707	1.4657387	2.687757	2.3081656	True	False	0.7394561171272057	2.7253112815493474	-1.2255682
IRF7	439	1113.8943	0.5769417	1.398225	0.21134119	False	False	1.0696881428309237	5.740502833495334	0.42410493
TALDO1	987	5303.9214	1.5511377	1.417463	-0.34241125	False	False	0.7412578163837906	4.3266194714542126	0.47634163
CARS	168	441.85022	0.26974908	1.4728774	1.1825458	True	False	3.0599841320348258	9.808744554627355	1.0
CAT	378	2304.106	0.9611305	1.358531	-0.03921021	False	True	1.4207930124291348	7.722411003893285	0.8511566
CD82	188	659.2666	0.37980196	1.5000924	1.0632274	True	True	2.4947324829278834	9.714674600726912	0.65642375
MTCH2	223	1175.1503	0.6007638	1.0843083	-1.0648282	False	True	2.5038081951299187	9.70852018095529	0.6507369
MS4A1	423	1446.2582	0.6998722	2.5677142	4.9656806	True	False	0.9065156539201488	3.293975684196001	-2.0745173
OTUB1	437	1978.5756	0.8698393	1.1969967	-0.67563254	False	True	1.2050169550470713	6.891618904065096	0.62718844
CTSW	808	2873.8108	1.1032293	2.6562777	3.2735038	True	False	0.6786634404194295	2.6101422571588175	-1.3479728
PTPRCAP	1729	11326.01	2.190193	2.495438	0.85209364	True	False	0.4368003509038119	1.3872362376137126	-1.3631121
CORO1B	442	2960.1672	1.1231093	1.6129545	0.44567353	True	False	1.2600481897959368	6.300811967694994	0.11983956
GSTP1	1238	16431.174	2.526887	2.2669406	1.0606819	True	False	0.5561696096230935	1.9816741277906618	-0.509747
MRPL21	434	1196.9874	0.6091206	1.264673	-0.33158922	False	True	1.277518516915476	7.382746403827599	1.0489388
LAMTOR1	928	4689.2974	1.4553827	1.2978009	-0.5468776	False	False	0.6777659059637305	3.5849781380872328	-0.31189308
CWC15	453	1611.8469	0.75590384	1.3323694	-0.056382008	False	False	1.3403038313890425	6.786513713836063	-0.28071058
KLRG1	313	595.57837	0.3487987	1.7477024	2.40023	True	False	1.4638183087949819	7.181389348117119	0.19684906
KLRB1	152	373.40613	0.23243791	1.659024	2.1938848	True	True	2.6331666618179432	9.57368303642158	0.672847
KLRC1	51	203.05177	0.13303745	1.8761849	3.3737252	True	False	4.122570289645765	9.387046125216356	-0.68870556
RP11-291B21.2	98	243.25081	0.15739948	1.4805269	1.224106	True	False	2.512176490593346	7.078027188764752	-1.7799094
TMBIM6	1382	5769.3647	1.6180019	1.6738782	0.08248091	False	True	0.5306189601642569	2.755295687093672	0.600851
WIBG	226	970.44836	0.51883054	1.291631	-0.062387355	False	True	2.4657755809498827	9.746056345534294	0.68542135
TMBIM4-1	782	2414.7302	0.9903482	1.3161566	-0.20615925	False	True	0.8238460030061137	5.802854024405272	2.0453203
ATXN7L3B	109	322.51904	0.20376658	1.3173989	0.33782756	True	False	2.7709499419988792	9.429593043863422	0.46165854
HVCN1	331	1033.7485	0.5448911	1.7377965	1.5918058	True	False	1.4050729617175144	7.336800953628087	0.3848027
OAS1	526	2097.4856	0.90416	1.8291639	1.8150169	True	True	0.9603530495748605	5.83167952950865	0.5172231
TSC22D1	51	109.984085	0.07424778	1.4623351	1.1252694	True	False	4.0267720710990815	9.771861433112095	1.1470131
TNFSF13B	433	960.9108	0.5148443	1.4273821	0.6706187	True	False	1.1385253322546371	5.8325547380152525	-0.28227115
TINF2	364	736.64526	0.4162202	1.3098367	0.035917047	False	False	1.3187818295534721	7.289010935706087	0.3270058
GZMH	269	1789.1542	0.81261206	2.7501621	5.4436197	True	False	1.2044084983004706	4.086773345980991	-1.7814416
GZMB	326	2660.4343	1.052343	3.3934805	5.2716236	True	False	1.1419457019523223	3.91700131678697	-1.9272314
ARF6	944	3206.47	1.177732	1.3111099	-0.3724481	False	True	0.6418458896387561	3.5560672832961586	1.7504252
LGALS3	662	4306.797	1.3908033	1.8369461	0.5605551	True	False	0.8036903092961828	4.296246694070944	0.4440607
ERH	913	3289.9807	1.1955945	1.2767037	-0.46570286	False	False	0.6583365077003197	3.4144836295414644	-0.49309883
AHSA1	321	1093.5421	0.5688995	1.2419851	-0.42382267	False	True	1.7846590832837297	8.342568269185964	0.50247896
PLD4	126	1258.337	0.63223183	1.5283505	0.7403421	True	False	2.6765897635449156	8.433528344363626	-0.9982442
AL928768.3	19	2227.732	0.94044846	3.621308	8.875811	True	False	4.572148076555485	9.933061929500694	0.2313636
KIAA0125	93	385.30142	0.2390232	1.9583174	3.8199527	True	False	2.8997929609340973	8.57628715514303	-0.70710677
ZNF106	205	593.5155	0.34777832	1.2417988	-0.331463	False	True	2.5371726384093476	9.673259735619709	0.6181553
IL16	463	1521.4624	0.7257097	1.3120329	-0.13905627	False	True	1.0754475254191485	6.596699304201803	1.2985327
IDH2	493	2563.657	1.0283816	1.4494126	0.3188504	True	False	0.9661936936236248	5.0872367381929795	-0.24307142
POLR3K	293	794.30774	0.44252154	1.3355315	0.1746591	False	True	1.9864534806298653	8.987943142120203	0.90563816
C16orf13	484	2045.4418	0.88928354	1.2250888	-0.56495345	False	False	1.379612664341144	6.9471997280897515	-0.08637811
STUB1	629	2005.4369	0.8776957	1.1761236	-0.7578695	False	True	0.8605903931623915	4.687280303450463	0.85966086
NDUFB10	892	4517.404	1.4268755	1.3198286	-0.5016315	False	False	0.6821709021346548	3.7868825214487933	-0.097304106
