index	n_cells	index	n_counts	means	dispersions	dispersions_norm	highly_variable
TNFRSF4	155	TNFRSF4	304.35815	0.19333184	1.7607244	2.7464256	True
SRM	355	SRM	1951.0789	0.86173284	1.5792639	0.8304463	True
TNFRSF1B	379	TNFRSF1B	1449.6646	0.70105714	1.5734763	0.9237927	True
EFHD2	523	EFHD2	1573.3677	0.7431605	1.385345	0.15898009	False
C1QA	36	C1QA	3897.893	1.3168184	3.346717	3.6617038	True
C1QB	17	C1QB	1635.0765	0.76351905	3.3748822	8.24707	True
STMN1	196	STMN1	3088.7668	1.1520008	3.1312568	4.56089	True
MARCKSL1	493	MARCKSL1	1938.9277	0.8581294	1.6759479	1.2113675	True
SMAP2	434	SMAP2	1028.7045	0.5428391	1.292978	-0.21652035	False
PRDX1	822	PRDX1	4306.452	1.3907433	1.5619731	-0.0042539905	False
SCP2	735	SCP2	2500.6467	1.0124665	1.270636	-0.38550422	False
DENND2D	433	DENND2D	806.9616	0.44820207	1.3905954	0.4719842	True
C1orf162	1034	C1orf162	6030.4453	1.6536388	1.7653878	0.2341166	False
CD2	856	CD2	2220.0552	0.93834585	1.7711706	1.5865315	True
CD160	79	CD160	151.61888	0.100976	1.8312948	3.1298358	True
CTSS	1396	CTSS	13518.608	2.3488436	2.9062674	2.372254	True
S100A8	743	S100A8	1111.1274	0.5758522	2.3670056	4.149737	True
S100A6	2109	S100A6	24801.092	2.9112575	2.3005092	0.33003017	True
FCER1A	55	FCER1A	8126.176	1.9012991	3.3484802	2.1751766	True
FCER1G	964	FCER1G	20091.55	2.7133408	3.1542788	2.2521713	True
FCGR3A	497	FCGR3A	11019.047	2.1658292	3.373141	2.1200054	True
FCRLA	117	FCRLA	405.00568	0.249837	1.7665929	2.7783089	True
CD247	721	CD247	1821.243	0.82254	1.922738	2.1836853	True
XCL2	138	XCL2	150.58533	0.10032107	2.1934218	5.097281	True
XCL1	86	XCL1	137.74208	0.092146665	1.5306689	1.4965283	True
PTPN7	252	PTPN7	538.6131	0.32022977	1.2665317	-0.1979142	False
G0S2	185	G0S2	571.9829	0.3370641	2.2472136	5.0974064	True
TRAF3IP3	1296	TRAF3IP3	4741.1265	1.4638208	1.5699837	0.012200258	False
COA6	234	COA6	622.00525	0.36178023	1.1823214	-0.65261865	False
ID2	1040	ID2	5733.918	1.613064	2.0361483	0.68277955	True
GNLY	484	GNLY	11138.426	2.1753747	4.224763	3.3502407	True
MAL	355	MAL	622.9477	0.36223993	1.5285761	1.2170291	True
IL1B	211	IL1B	532.666	0.31719977	1.9746996	3.6259315	True
CCDC115	434	CCDC115	1552.9585	0.73633504	1.1700646	-0.716202	False
PPIG	457	PPIG	1602.0422	0.7526723	1.2928348	-0.21710287	False
EIF1B	513	EIF1B	1369.3882	0.6727543	1.2223425	-0.50367594	False
UQCRC1	499	UQCRC1	2213.7583	0.9366173	1.1460615	-0.8763098	False
GPX1	1136	GPX1	11545.776	2.2072792	2.181781	0.39899108	True
GNAI2	618	GNAI2	2236.2505	0.9427761	1.30877	-0.23526174	False
ARL6IP5	1222	ARL6IP5	4693.6333	1.456092	1.4780449	-0.176647	False
BBX	386	BBX	985.233	0.5249786	1.337145	0.1833714	False
CD47	669	CD47	2019.8915	0.88189816	1.4062986	0.14898753	False
TIGIT	189	TIGIT	393.3444	0.24345134	2.1693523	4.9665103	True
EAF2	253	EAF2	1155.3392	0.5931213	2.0038137	2.6732488	True
GATA2	4	GATA2	55.81075	0.038365103	1.9853877	3.9670262	True
RAB7A	840	RAB7A	3072.1587	1.1483164	1.2760776	-0.4673998	False
SIAH2	326	SIAH2	878.0571	0.47953096	1.2245265	-0.4247267	False
GPR171	135	GPR171	139.21802	0.093089476	1.2976997	0.23080127	False
MFSD1	163	MFSD1	600.6454	0.3513009	1.2247571	-0.4234818	False
SPON2	216	SPON2	555.28015	0.32867336	2.1815748	4.7429814	True
LYAR	499	LYAR	1041.1713	0.5479032	1.4836733	0.5587156	True
FGFBP2	296	FGFBP2	1053.169	0.5527524	2.5312648	4.817502	True
MED28	458	MED28	900.5595	0.489246	1.23339	-0.37686732	False
SMIM14	275	SMIM14	1023.40717	0.5406798	1.8145171	1.903699	True
HOPX	403	HOPX	1390.7035	0.68034804	2.3096242	3.9164639	True
IGFBP7	228	IGFBP7	1462.501	0.70550925	1.9666255	2.5220668	True
IGJ	72	IGJ	6423.996	1.7050666	5.037713	5.6565137	True
SNHG8	678	SNHG8	1896.3853	0.84540945	1.3708388	0.009280634	False
FYB	990	FYB	2145.7073	0.9177493	1.5382669	0.6689238	True
EMB	278	EMB	689.5122	0.39419502	1.2748755	-0.15286067	False
GZMK	319	GZMK	1516.7869	0.7241224	2.7748103	5.807591	True
GZMA	541	GZMA	3234.192	1.1836972	2.8146453	3.7027445	True
NSA2	602	NSA2	1381.2491	0.67698693	1.2689773	-0.31409097	False
H2AFY	798	H2AFY	4746.726	1.4647276	1.5238638	-0.08253251	False
MZB1	74	MZB1	3920.0127	1.3209637	4.058572	5.123892	True
NDUFA2	695	NDUFA2	2867.5972	1.101783	1.2439435	-0.55449647	False
ATP6V0E1	1515	ATP6V0E1	5912.5474	1.6377032	1.3447876	-0.46283773	False
LMAN2	698	LMAN2	3298.228	1.1973417	1.426922	-0.058550302	False
SERPINB1	977	SERPINB1	2754.4521	1.0750847	1.5829467	0.3643401	True
LTB	1893	LTB	22596.195	2.823445	3.4467075	1.874518	True
LST1	959	LST1	22248.352	2.8088608	3.3310716	1.7187	True
AIF1	1008	AIF1	25295.443	2.9299295	3.5010066	1.9476854	True
HLA-DRB1	1235	HLA-DRB1	56532.24	3.7041667	3.693616	1.6902301	True
HLA-DQA1	586	HLA-DQA1	22813.24	2.8324409	3.2569625	1.618839	True
HLA-DQB1	645	HLA-DQB1	14207.76	2.3939226	2.790436	2.134627	True
HLA-DMB	482	HLA-DMB	4940.5557	1.4956416	1.9950151	0.8852372	True
HLA-DMA	708	HLA-DMA	7916.9814	1.8791587	2.2134886	0.67676544	True
HLA-DPA1	1326	HLA-DPA1	49766.992	3.5800474	3.6882424	1.6840813	True
HLA-DPB1	1388	HLA-DPB1	52165.562	3.625836	3.8797753	1.9032505	True
TAPBP	702	TAPBP	1533.0985	0.72964823	1.2835766	-0.25474015	False
CNPY3	750	CNPY3	3740.6248	1.2868398	1.4445854	-0.24537441	False
SAMD3	316	SAMD3	538.6123	0.32022947	1.3776957	0.40233028	True
DYNLT1	515	DYNLT1	966.5471	0.51720214	1.2874181	-0.08513523	False
TCP1	458	TCP1	1309.0547	0.65094286	1.2508525	-0.387774	False
STK17A	850	STK17A	1678.7247	0.7776727	1.6279045	1.1450604	True
CCT6A	443	CCT6A	1808.3689	0.81856835	1.2212903	-0.579919	False
LAT2	249	LAT2	1128.759	0.5827747	1.3106613	-0.14463234	False
MRPS33	268	MRPS33	1037.0142	0.54621726	1.4382942	0.3742351	True
ZYX	403	ZYX	1669.8091	0.77479786	1.3804896	0.1392414	False
GIMAP7	1444	GIMAP7	6923.144	1.766705	2.0449758	0.69740707	True
PQBP1	430	PQBP1	1744.7242	0.798701	1.2182258	-0.5919927	False
ITM2A	340	ITM2A	1187.4689	0.6054865	1.7994107	1.8422866	True
TCEAL8	341	TCEAL8	884.6244	0.4823761	1.1817816	-0.65553325	False
MPP1	175	MPP1	531.5916	0.31665134	1.3596625	0.30495793	True
PNOC	95	PNOC	466.44556	0.28282377	2.0224068	3.8835328	True
LYPD2	18	LYPD2	1220.3335	0.6179785	3.0936282	7.103685	True
ARPC5L	504	ARPC5L	1640.4025	0.76525694	1.427299	0.32953638	True
FCN1	793	FCN1	7750.0815	1.8611344	2.9384065	1.633799	True
EGFL7	10	EGFL7	88.32592	0.060056202	1.8335433	3.1420522	True
PHPT1	440	PHPT1	2041.7037	0.88820624	1.320584	-0.18871579	False
C9orf142	654	C9orf142	2327.4595	0.9673697	1.5782065	0.82628036	True
CLIC3	166	CLIC3	1442.4778	0.69855547	2.792476	5.879407	True
AKR1C3	106	AKR1C3	241.40353	0.15629284	1.6753117	2.282376	True
SRGN	1612	SRGN	12363.07	2.2683744	1.9034525	-0.0030766558	False
PRF1	428	PRF1	1175.6165	0.600943	2.324937	3.9787157	True
IFITM3	599	IFITM3	4752.9707	1.4657387	2.687757	2.3081656	True
IRF7	439	IRF7	1113.8943	0.5769417	1.398225	0.21134119	False
TALDO1	987	TALDO1	5303.9214	1.5511377	1.417463	-0.34241125	False
CARS	168	CARS	441.85022	0.26974908	1.4728774	1.1825458	True
CAT	378	CAT	2304.106	0.9611305	1.358531	-0.03921021	False
CD82	188	CD82	659.2666	0.37980196	1.5000924	1.0632274	True
MTCH2	223	MTCH2	1175.1503	0.6007638	1.0843083	-1.0648282	False
MS4A1	423	MS4A1	1446.2582	0.6998722	2.5677142	4.9656806	True
OTUB1	437	OTUB1	1978.5756	0.8698393	1.1969967	-0.67563254	False
CTSW	808	CTSW	2873.8108	1.1032293	2.6562777	3.2735038	True
PTPRCAP	1729	PTPRCAP	11326.01	2.190193	2.495438	0.85209364	True
CORO1B	442	CORO1B	2960.1672	1.1231093	1.6129545	0.44567353	True
GSTP1	1238	GSTP1	16431.174	2.526887	2.2669406	1.0606819	True
MRPL21	434	MRPL21	1196.9874	0.6091206	1.264673	-0.33158922	False
LAMTOR1	928	LAMTOR1	4689.2974	1.4553827	1.2978009	-0.5468776	False
CWC15	453	CWC15	1611.8469	0.75590384	1.3323694	-0.056382008	False
KLRG1	313	KLRG1	595.57837	0.3487987	1.7477024	2.40023	True
KLRB1	152	KLRB1	373.40613	0.23243791	1.659024	2.1938848	True
KLRC1	51	KLRC1	203.05177	0.13303745	1.8761849	3.3737252	True
RP11-291B21.2	98	RP11-291B21.2	243.25081	0.15739948	1.4805269	1.224106	True
TMBIM6	1382	TMBIM6	5769.3647	1.6180019	1.6738782	0.08248091	False
WIBG	226	WIBG	970.44836	0.51883054	1.291631	-0.062387355	False
TMBIM4-1	782	TMBIM4-1	2414.7302	0.9903482	1.3161566	-0.20615925	False
ATXN7L3B	109	ATXN7L3B	322.51904	0.20376658	1.3173989	0.33782756	True
HVCN1	331	HVCN1	1033.7485	0.5448911	1.7377965	1.5918058	True
OAS1	526	OAS1	2097.4856	0.90416	1.8291639	1.8150169	True
TSC22D1	51	TSC22D1	109.984085	0.07424778	1.4623351	1.1252694	True
TNFSF13B	433	TNFSF13B	960.9108	0.5148443	1.4273821	0.6706187	True
TINF2	364	TINF2	736.64526	0.4162202	1.3098367	0.035917047	False
GZMH	269	GZMH	1789.1542	0.81261206	2.7501621	5.4436197	True
GZMB	326	GZMB	2660.4343	1.052343	3.3934805	5.2716236	True
ARF6	944	ARF6	3206.47	1.177732	1.3111099	-0.3724481	False
LGALS3	662	LGALS3	4306.797	1.3908033	1.8369461	0.5605551	True
ERH	913	ERH	3289.9807	1.1955945	1.2767037	-0.46570286	False
AHSA1	321	AHSA1	1093.5421	0.5688995	1.2419851	-0.42382267	False
PLD4	126	PLD4	1258.337	0.63223183	1.5283505	0.7403421	True
AL928768.3	19	AL928768.3	2227.732	0.94044846	3.621308	8.875811	True
KIAA0125	93	KIAA0125	385.30142	0.2390232	1.9583174	3.8199527	True
ZNF106	205	ZNF106	593.5155	0.34777832	1.2417988	-0.331463	False
IL16	463	IL16	1521.4624	0.7257097	1.3120329	-0.13905627	False
IDH2	493	IDH2	2563.657	1.0283816	1.4494126	0.3188504	True
POLR3K	293	POLR3K	794.30774	0.44252154	1.3355315	0.1746591	False
C16orf13	484	C16orf13	2045.4418	0.88928354	1.2250888	-0.56495345	False
STUB1	629	STUB1	2005.4369	0.8776957	1.1761236	-0.7578695	False
NDUFB10	892	NDUFB10	4517.404	1.4268755	1.3198286	-0.5016315	False
IL32	1496	IL32	11203.903	2.1805727	3.4367077	2.2118325	True
CORO7	173	CORO7	527.6861	0.31465524	1.2369882	-0.3574383	False
TNFRSF17	23	TNFRSF17	888.03326	0.48384964	2.794835	8.05436	True
TMEM208	343	TMEM208	1416.9857	0.68963236	1.3684019	0.09010111	False
