201850	Homo sapiens (taxid 9606)
9386	cellular organisms (taxid 131567)
2864	unclassified (taxid 0)
573	Human gammaherpesvirus 4 (taxid 10376)
387	root (taxid 1)
116	other sequences (taxid 28384)
100	Proteus phage VB_PmiS-Isfahan (taxid 1969841)
93	Bacillus cereus (taxid 1396)
48	Staphylococcus (taxid 1279)
28	Ralstonia solanacearum (taxid 305)
26	Staphylococcus cohnii (taxid 29382)
24	Bacteria (taxid 2)
23	Proteobacteria (taxid 1224)
16	Priestia megaterium (taxid 1404)
15	Staphylococcus haemolyticus (taxid 1283)
4	Papiine gammaherpesvirus 1 (taxid 106332)
3	Lymphocryptovirus (taxid 10375)
2	Staphylococcus aureus (taxid 1280)
2	Pseudolysobacter antarcticus (taxid 2511995)
1	Vibrio anguillarum (taxid 55601)
1	Stenotrophomonas (taxid 40323)
1	Ralstonia solanacearum Rs-10-244 (taxid 1457195)
1	Ralstonia pickettii (taxid 329)
1	Pseudomonas (taxid 286)
1	Pepper chlorotic spot virus (taxid 1414655)
1	Pasteurella multocida subsp. multocida (taxid 44283)
1	Hyphomicrobiales (taxid 356)
1	Hymenobacter (taxid 89966)
1	Human herpesvirus 4 type 2 (taxid 12509)
1	Halomonas sp. JS92-SW72 (taxid 2306583)
1	Gordonia polyisoprenivorans VH2 (taxid 1112204)
1	Eubacteriales (taxid 186802)
1	Enterobacteriaceae (taxid 543)
1	Clostridium intestinale (taxid 36845)
1	Chlorobaculum parvum NCIB 8327 (taxid 517417)
1	Candidatus Prometheoarchaeum syntrophicum (taxid 2594042)
1	Bradyrhizobium genosp. L (taxid 83637)
1	Barnesiella viscericola DSM 18177 (taxid 880074)
1	Bacillus thuringiensis serovar huazhongensis BGSC 4BD1 (taxid 527030)
1	Archaea (taxid 2157)
