173859	Homo sapiens (taxid 9606)
30263	unclassified (taxid 0)
10186	cellular organisms (taxid 131567)
510	Human gammaherpesvirus 4 (taxid 10376)
488	root (taxid 1)
78	other sequences (taxid 28384)
58	Staphylococcus (taxid 1279)
44	Bacteria (taxid 2)
35	Proteus phage VB_PmiS-Isfahan (taxid 1969841)
22	Bacillus cereus (taxid 1396)
10	Proteobacteria (taxid 1224)
6	Staphylococcus cohnii (taxid 29382)
5	Staphylococcus haemolyticus (taxid 1283)
5	Lymphocryptovirus (taxid 10375)
3	Ralstonia solanacearum (taxid 305)
2	Priestia megaterium (taxid 1404)
2	Papiine gammaherpesvirus 1 (taxid 106332)
1	Stenotrophomonas (taxid 40323)
1	Ralstonia pickettii (taxid 329)
1	Gordonia polyisoprenivorans VH2 (taxid 1112204)
1	Enterobacteriaceae (taxid 543)
1	Bradyrhizobium (taxid 374)
