# Unsupervised two-cluster diagnostics on the terminal donor score table
# Columns: donor,cells,IFN mean/median/p90/detection fraction,INFLAM mean/median/p90/detection fraction
METRIC	IFN_MEAN	LOW_CLUSTER_SIZE	28	LOW_CENTER	0.382718	HIGH_CLUSTER_SIZE	5	HIGH_CENTER	0.959368	HIGH_DONORS	donor3,donor14,donor18,donor26,donor33
METRIC	IFN_MEDIAN	LOW_CLUSTER_SIZE	27	LOW_CENTER	0.348469	HIGH_CLUSTER_SIZE	6	HIGH_CENTER	0.858441	HIGH_DONORS	donor3,donor14,donor18,donor26,donor30,donor33
METRIC	IFN_P90	LOW_CLUSTER_SIZE	28	LOW_CENTER	0.608146	HIGH_CLUSTER_SIZE	5	HIGH_CENTER	1.529213	HIGH_DONORS	donor3,donor14,donor18,donor26,donor33
METRIC	INFLAM_MEAN	LOW_CLUSTER_SIZE	29	LOW_CENTER	0.969833	HIGH_CLUSTER_SIZE	4	HIGH_CENTER	1.195787	HIGH_DONORS	donor3,donor8,donor13,donor30
RANKED_BY_IFN_MEAN	DONOR	IFN_MEAN	INFLAM_MEAN
RANK	donor33	1.259738	1.026785
RANK	donor14	1.018906	1.022617
RANK	donor3	0.924121	1.323023
RANK	donor18	0.833695	1.051836
RANK	donor26	0.760379	0.992355
RANK	donor30	0.642530	1.093216
RANK	donor31	0.578389	1.006858
RANK	donor13	0.525541	1.103244
RANK	donor8	0.465167	1.263663
RANK	donor19	0.457187	0.975590
RANK	donor22	0.435885	0.987204
RANK	donor4	0.435720	0.987973
RANK	donor20	0.429401	0.974958
RANK	donor17	0.388040	0.835614
RANK	donor28	0.387460	0.989033
RANK	donor15	0.387211	1.033733
RANK	donor7	0.378557	1.061988
RANK	donor25	0.345901	1.054829
RANK	donor29	0.344984	0.832480
RANK	donor21	0.343984	0.930766
RANK	donor12	0.340515	0.905974
RANK	donor24	0.340338	0.854520
RANK	donor32	0.335752	0.976567
RANK	donor27	0.328242	1.031436
RANK	donor16	0.327460	0.918389
RANK	donor11	0.326330	0.868005
RANK	donor23	0.325556	0.973818
RANK	donor10	0.323180	0.949340
RANK	donor5	0.322446	0.902217
RANK	donor6	0.312752	0.893910
RANK	donor1	0.301706	1.051119
RANK	donor9	0.293954	0.963759
RANK	donor2	0.291922	1.071486
