gene	logcpm_difference	ifn_gene	inflammatory_gene
IFI27	2.680459	yes	no
IGHV1-24	2.272587	no	no
RNASE1	2.231359	no	no
CLU	2.136097	no	no
SOCS3	1.894680	no	yes
IGLV6-57	1.872732	no	no
IGLV3-10	1.837781	no	no
IGKV3-15	1.837609	no	no
RNASE2	1.826432	no	no
ADM	1.804807	no	no
IGHV1-46	1.792071	no	no
IGHV3-33	1.771643	no	no
IGHV2-70	1.751412	no	no
HP	1.746758	no	no
IGHV4-34	1.740500	no	no
ID1	1.732692	no	no
RRM2	1.729827	no	no
S100A8	1.720661	no	yes
IGKV1D-13	1.708193	no	no
IGHV4-39	1.666105	no	no
IGLV3-27	1.648760	no	no
S100A12	1.641115	no	no
IGKV3D-11	1.632674	no	no
AREG	1.629970	no	no
C1QC	1.626872	no	no
UBE2C	1.621951	no	no
IGHV3-49	1.584565	no	no
FAM20A	1.581655	no	no
S100A9	1.567910	no	yes
BIRC5	1.553126	no	no
TYMS	1.551081	no	no
TMT1B	1.514385	no	no
FCGR1A	1.511573	no	no
CCNA2	1.505934	no	no
C1QB	1.501047	no	no
MT1G	1.492257	no	no
CDC20	1.485907	no	no
PLK1	1.463957	no	no
IGKV3-20	1.461784	no	no
IGLV3-25	1.449332	no	no
MCEMP1	1.448399	no	no
CCNB2	1.440134	no	no
NFIL3	1.426962	no	no
TK1	1.419587	no	no
MKI67	1.409424	no	no
IGHV3-13	1.395299	no	no
PKMYT1	1.386834	no	no
IGHV3-74	1.386567	no	no
IGHV1-3	1.382369	no	no
DLGAP5	1.376917	no	no
# no_receptor_feature_count	500
