group	names	scores	logfoldchanges	pvals	pvals_adj	feature_name
donor12	ENSG00000129824	31.729239	2.278359	9.749963853081642e-215	1.1508502788037459e-211	RPS4Y1
donor12	ENSG00000198886	24.232193	2.8609002	1.3608642609421109e-127	3.0999055375565557e-125	MT-ND4
donor12	ENSG00000168229	17.39911	1.2450693	3.6337390367885754e-67	1.6971391242324772e-65	PTGDR
donor12	ENSG00000172543	17.061398	1.653171	9.706458317480933e-65	4.2721577896329635e-63	CTSW
donor12	ENSG00000143185	16.963335	1.7947114	6.485930849446112e-64	2.7885207334174943e-62	XCL2
donor12	ENSG00000203875	16.837465	0.7889048	4.1048034425776594e-63	1.6919608856643915e-61	SNHG5
donor12	ENSG00000255569	16.34295	3.0411348	2.1770271566917543e-59	7.984892825560942e-58	TRAV1-1
donor12	ENSG00000139187	14.824015	0.93498886	2.1523480326551587e-49	5.785939307659334e-48	KLRG1
donor12	ENSG00000187118	14.448059	0.9320977	5.115832804336966e-47	1.225534559621977e-45	CMC1
donor12	ENSG00000158525	14.2894	2.190614	5.785885425483002e-46	1.3272780276408356e-44	CPA5
donor12	ENSG00000271503	13.478127	2.9339879	3.3979231426362343e-41	6.584870758804309e-40	CCL5
donor12	ENSG00000077984	13.348593	1.2856612	1.908819785016441e-40	3.586702762467941e-39	CST7
donor12	ENSG00000067048	12.493956	0.7954256	1.1580692722539937e-35	1.777348868906129e-34	DDX3Y
donor12	ENSG00000251562	12.203192	16.037806	4.120111378742456e-34	5.89807344449747e-33	MALAT1
donor12	ENSG00000150045	11.724162	0.8638163	1.2707193064197166e-31	1.5956498524713345e-30	KLRF1
donor12	ENSG00000109943	11.520396	1.2057256	1.4004802843799275e-30	1.6766681551960005e-29	CRTAM
donor12	ENSG00000189190	11.320491	0.93623024	1.3472127264877941e-29	1.5479831894440283e-28	ZNF600
donor12	ENSG00000205810	11.23863	1.2980926	3.407366401590561e-29	3.840385881792695e-28	KLRC3
donor12	ENSG00000134539	11.210109	0.8121038	4.5761625106343916e-29	5.113329951641733e-28	KLRD1
donor12	ENSG00000111796	11.082678	0.880631	1.9117529903338647e-28	2.0702419371555378e-27	KLRB1
donor12	ENSG00000228649	10.84261	1.6709751	2.7934513924309123e-27	2.846952345315774e-26	SNHG26
donor12	ENSG00000180739	10.813404	0.80912375	3.662378466441709e-27	3.7179297895448905e-26	S1PR5
donor12	ENSG00000115523	10.49527	5.0320783	1.0885481773352317e-25	1.0131691422595447e-24	GNLY
donor12	ENSG00000276085	10.461611	1.6035887	1.5778459280114687e-25	1.4539923015827474e-24	CCL3L3
donor12	ENSG00000101474	10.341967	0.53019124	5.387452930113473e-25	4.807607480728064e-24	APMAP
donor24	ENSG00000198886	45.551464	6.6122184	0.0	0.0	MT-ND4
donor24	ENSG00000198840	44.95163	6.646575	0.0	0.0	MT-ND3
donor24	ENSG00000198899	43.575676	8.495681	0.0	0.0	MT-ATP6
donor24	ENSG00000212907	41.627663	7.549875	0.0	0.0	MT-ND4L
donor24	ENSG00000198786	38.357178	4.659159	1.0218267958720188e-307	2.2112331862670485e-304	MT-ND5
donor24	ENSG00000198763	32.551235	3.198165	8.881292654791464e-225	1.2812744869979152e-221	MT-ND2
donor24	ENSG00000179144	32.338764	1.9686671	4.253587746016037e-222	5.522858329427223e-219	GIMAP7
donor24	ENSG00000111796	28.385252	2.4623916	1.0147469199306843e-171	9.411052863128576e-169	KLRB1
donor24	ENSG00000251562	27.83651	38.641834	1.7377702016624303e-166	1.4102005186490622e-163	MALAT1
donor24	ENSG00000198727	27.416159	9.64038	2.569942946121918e-161	1.85378551180261e-158	MT-CYB
donor24	ENSG00000229807	26.356188	1.8504002	4.228019288296552e-149	2.386808801706193e-146	XIST
donor24	ENSG00000174718	25.262686	1.2539158	7.892891878859298e-138	3.795604005744782e-135	RESF1
donor24	ENSG00000198804	24.335915	18.143677	2.431372152524389e-128	1.0885840009785058e-125	MT-CO1
donor24	ENSG00000149311	22.898968	1.082785	5.043117557517678e-114	1.7697253612651226e-111	ATM
donor24	ENSG00000170989	22.654161	1.1783692	1.1445855201404113e-111	3.6247069252446585e-109	S1PR1
donor24	ENSG00000140030	22.517195	1.2056707	2.922692861980101e-110	9.035296219035626e-108	GPR65
donor24	ENSG00000198574	22.381855	1.9174778	8.778721987862514e-109	2.5905210520547017e-106	SH2D1B
donor24	ENSG00000228253	22.295162	1.5653836	2.0041839677252334e-108	5.536664816371156e-106	MT-ATP8
donor24	ENSG00000081237	22.242567	2.147143	6.21930099279758e-108	1.6823209185517453e-105	PTPRC
donor24	ENSG00000168685	21.957186	3.3146775	4.406805249157805e-105	1.1443591871012987e-102	IL7R
donor24	ENSG00000150045	21.806269	1.6831098	1.3926393920497367e-103	3.4117037483724114e-101	KLRF1
donor24	ENSG00000063046	21.444208	1.0483395	1.4980365134115783e-100	3.4733046589528455e-98	EIF4B
donor24	ENSG00000204475	20.931202	1.5151956	1.061272522676237e-95	2.1530566303794156e-93	NCR3
donor24	ENSG00000173762	20.867556	1.7287105	2.5523998750828637e-95	5.098516919703985e-93	CD7
donor24	ENSG00000100385	20.861485	1.6206151	4.8633213379767813e-95	9.567479432165231e-93	IL2RB
donor29	ENSG00000179144	54.763737	3.1098318	0.0	0.0	GIMAP7
donor29	ENSG00000129824	51.303772	3.598429	0.0	0.0	RPS4Y1
donor29	ENSG00000126353	49.911465	2.9500337	0.0	0.0	CCR7
donor29	ENSG00000100316	41.123016	8.1009245	0.0	0.0	RPL3
donor29	ENSG00000177954	41.082275	16.234795	0.0	0.0	RPS27
donor29	ENSG00000133112	40.00145	13.863919	0.0	0.0	TPT1
donor29	ENSG00000122026	39.457634	8.000213	0.0	0.0	RPL21
donor29	ENSG00000167526	38.453793	17.120863	0.0	0.0	RPL13
donor29	ENSG00000234741	37.947803	2.056032	8.545377884135274e-304	9.246098870634367e-301	GAS5
donor29	ENSG00000109475	37.131752	15.031137	3.788305909001154e-292	3.7836433786516146e-289	RPL34
donor29	ENSG00000170989	36.976727	1.6056024	7.264370425337909e-289	6.288039040172494e-286	S1PR1
donor29	ENSG00000156508	36.943436	38.970383	1.3721091497546005e-289	1.272533228600981e-286	EEF1A1
donor29	ENSG00000245164	36.327915	1.5769905	2.0266403366650612e-279	1.5478763606623032e-276	LINC00861
donor29	ENSG00000137154	35.613132	9.128163	6.4107630822230636e-270	4.380913045241277e-267	RPS6
donor29	ENSG00000161970	33.77084	3.2405882	1.7387511011344736e-243	1.0750449665300002e-240	RPL26
donor29	ENSG00000144713	33.707737	15.892128	1.2785337284948727e-242	7.545673604898831e-240	RPL32
donor29	ENSG00000143947	33.51061	13.880109	5.570825089085776e-240	3.013816373195405e-237	RPS27A
donor29	ENSG00000118181	32.990795	7.0247297	8.989348957017246e-233	4.322878031774516e-230	RPS25
donor29	ENSG00000081059	32.809048	1.8133401	1.0822680923728842e-229	4.845575486679149e-227	TCF7
donor29	ENSG00000163682	32.639782	5.1907907	4.819481553409518e-228	2.0858716163156392e-225	RPL9
donor29	ENSG00000009790	32.53483	1.3182415	1.4809949970285356e-226	6.202980335941454e-224	TRAF3IP3
donor29	ENSG00000172349	32.16458	1.2389457	2.5512539654639156e-221	1.0351712964869837e-218	IL16
donor29	ENSG00000162777	32.137436	1.4646318	5.754033436840352e-221	2.2639506104222763e-218	DENND2D
donor29	ENSG00000213741	32.01245	4.4055457	1.6909144382994634e-219	6.272809447680066e-217	RPS29
donor29	ENSG00000111678	31.66313	1.6802263	8.896424493958622e-215	3.208643767487743e-212	C12orf57
donor5	ENSG00000197728	62.57181	22.896313	0.0	0.0	RPS26
donor5	ENSG00000179144	30.423492	1.5484073	3.4283020320753707e-199	1.5897526280166648e-196	GIMAP7
donor5	ENSG00000235272	23.477552	4.8890104	3.493256429574355e-119	4.1611414203296724e-117	RAMACL
donor5	ENSG00000198034	17.303247	6.1627984	1.2449837277002654e-66	4.6584636082018e-65	RPS4X
donor5	ENSG00000257599	14.784608	2.575832	4.088354058449353e-49	8.687919655467495e-48	OVCH1-AS1
donor5	ENSG00000169583	14.752246	1.2332721	5.475485726623826e-49	1.1578779588678138e-47	CLIC3
donor5	ENSG00000184613	14.507832	0.99368477	1.8856193368152784e-47	3.77240084271334e-46	NELL2
donor5	ENSG00000271952	14.330908	2.4982867	2.8376241770587643e-46	5.442202705307385e-45	LINC01954
donor5	ENSG00000109475	13.5495825	4.901114	1.1685535659285304e-41	1.9352677933693926e-40	RPL34
donor5	ENSG00000133561	13.194602	0.6431304	1.341391866361891e-39	2.0808401425140733e-38	GIMAP6
donor5	ENSG00000237541	12.982571	1.457766	2.2503297874894245e-38	3.3392322240871644e-37	HLA-DQA2
donor5	ENSG00000161055	12.9629755	1.5768036	2.845870073250748e-38	4.194185815106438e-37	SCGB3A1
donor5	ENSG00000198574	12.77794	0.977371	3.0072970327054254e-37	4.2350048451895056e-36	SH2D1B
donor5	ENSG00000157978	11.876629	0.67902565	1.9944545453991556e-32	2.277572367410962e-31	LDLRAP1
donor5	ENSG00000111796	11.87388	0.81957334	2.0388004504836294e-32	2.326167403258299e-31	KLRB1
donor5	ENSG00000171940	11.610679	0.63328534	4.520181429512778e-31	4.9071936187954776e-30	ZNF217
donor5	ENSG00000197165	11.570559	1.3200942	7.43147876774672e-31	7.954684280331692e-30	SULT1A2
donor5	ENSG00000117318	11.079224	1.0546088	1.9017337290874676e-28	1.8236418566079527e-27	ID3
donor5	ENSG00000229807	10.654464	0.6872439	1.9295944656843815e-26	1.6548120569647297e-25	XIST
donor5	ENSG00000140092	10.606095	0.8796701	3.26783925538966e-26	2.762345370571572e-25	FBLN5
donor5	ENSG00000204475	10.576146	0.66097015	4.4602615607591706e-26	3.7266432499933763e-25	NCR3
donor5	ENSG00000213626	10.5633545	0.44268477	5.084225490007385e-26	4.234354314448742e-25	LBH
donor5	ENSG00000117281	10.533174	0.9371275	7.0736731052379e-26	5.849972713274452e-25	CD160
