#Genome	Organism	Status	Bundle	Databasedownloadlink
GRCh38.115	Homo_sapiens			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.115.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.115.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.115.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.115.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.115.zip]
GRCh38.86	GRCh38.86			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.86.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.86.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.86.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.86.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.86.zip]
GRCh38.99	Homo_sapiens			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.99.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.99.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.99.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.99.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.99.zip]
GRCh38.mane.0.95.ensembl	HumangenomeGRCh38,usingMANEtranscriptsv0.95,EnsemblIDs			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.mane.0.95.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.mane.0.95.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.mane.0.95.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.mane.0.95.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.mane.0.95.ensembl.zip]
GRCh38.mane.0.95.refseq	HumangenomeGRCh38,usingMANEtranscriptsv0.95,RefSeqIDs			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.mane.0.95.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.mane.0.95.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.mane.0.95.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.mane.0.95.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.mane.0.95.refseq.zip]
GRCh38.mane.1.0.ensembl	HumangenomeGRCh38,usingMANEtranscriptsv1.0,EnsemblIDs			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.mane.1.0.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.mane.1.0.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.mane.1.0.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.mane.1.0.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.mane.1.0.ensembl.zip]
GRCh38.mane.1.0.refseq	HumangenomeGRCh38,usingMANEtranscriptsv1.0,RefSeqIDs			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.mane.1.0.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.mane.1.0.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.mane.1.0.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.mane.1.0.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.mane.1.0.refseq.zip]
GRCh38.mane.1.2.ensembl	HumangenomeGRCh38,usingMANEtranscriptsv1.2,EnsemblIDs			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.mane.1.2.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.mane.1.2.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.mane.1.2.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.mane.1.2.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.mane.1.2.ensembl.zip]
GRCh38.mane.1.2.refseq	HumangenomeGRCh38,usingMANEtranscriptsv1.2,RefSeqIDs			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.mane.1.2.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.mane.1.2.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.mane.1.2.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.mane.1.2.refseq.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.mane.1.2.refseq.zip]
GRCh38.mane.1.5.ensembl	HumangenomeGRCh38,usingMANEtranscriptsv1.5,EnsemblIDs			[https://snpeff-public.s3.amazonaws.com/databases/v5_4/snpEff_v5_4_GRCh38.mane.1.5.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_3/snpEff_v5_3_GRCh38.mane.1.5.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_2/snpEff_v5_2_GRCh38.mane.1.5.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_1/snpEff_v5_1_GRCh38.mane.1.5.ensembl.zip,https://snpeff-public.s3.amazonaws.com/databases/v5_0/snpEff_v5_0_GRCh38.mane.1.5.ensembl.zip]
