signature	gate	sample1_count	sample2_count	sample1_fraction	sample2_fraction	sample2_to_sample1_ratio
RGC	at_least_1_markers	846	1478	0.13439237	0.29536371	2.1977712
RGC	at_least_2_markers	195	251	0.030976966	0.050159872	1.6192634
RGC	at_least_3_markers	99	93	0.015726767	0.018585132	1.1817515
bipolar	at_least_1_markers	3438	3960	0.54614774	0.79136691	1.4489979
bipolar	at_least_2_markers	1452	2001	0.23065925	0.3998801	1.7336399
bipolar	at_least_3_markers	660	500	0.10484512	0.099920064	0.95302546
cone	at_least_1_markers	605	956	0.096108022	0.19104716	1.9878377
cone	at_least_2_markers	249	269	0.039555203	0.053756994	1.3590372
cone	at_least_3_markers	90	179	0.014297061	0.035771383	2.5020085
horizontal_broad	at_least_1_markers	1221	1091	0.19396346	0.21802558	1.1240549
horizontal_broad	at_least_2_markers	311	177	0.049404289	0.035371703	0.71596426
horizontal_broad	at_least_3_markers	174	38	0.027640985	0.0075939249	0.2747345
horizontal_core	at_least_1_markers	379	158	0.060206513	0.03157474	0.52444068
horizontal_core	at_least_2_markers	192	22	0.030500397	0.0043964828	0.14414538
horizontal_core	at_least_3_markers	98	0	0.015567911	0	6.4234653e-07
horizontal_strict	ONECUT1_and_ONECUT2	179	20	0.028435266	0.0039968026	0.14055825
horizontal_strict	core_ge_1_and_broad_ge_2	260	80	0.041302621	0.01598721	0.3870751
muller_glia	at_least_1_markers	1914	1989	0.30405083	0.39748201	1.307288
muller_glia	at_least_2_markers	787	783	0.12501986	0.15647482	1.2515997
muller_glia	at_least_3_markers	537	471	0.085305798	0.0941247	1.1033799
rod	at_least_1_markers	5374	4949	0.85369341	0.98900879	1.1585058
rod	at_least_2_markers	4469	4739	0.70992851	0.94704237	1.3339968
rod	at_least_3_markers	3546	4257	0.56330421	0.85071942	1.5102309
