cell_type	gene_symbol	sample1_detected_cells	sample1_detected_fraction	sample2_detected_cells	sample2_detected_fraction	sample1_mean_counts	sample2_mean_counts
astrocyte	ALDH1L1	82	0.0130262112787927	77	0.0153876898481215	0.0157267672756156	0.018185451638689
astrocyte	SLC1A3	558	0.0886417791898332	478	0.0955235811350919	0.511358220810167	0.511590727418066
astrocyte	GJA1	0	0	3	0.000599520383693046	0	0.000599520383693046
astrocyte	CLDN10	18	0.0028594122319301	224	0.0447641886490807	0.0028594122319301	0.0765387689848122
astrocyte	GFAP	209	0.0332009531374106	116	0.0231814548361311	0.0687847498014297	0.0353717026378897
astrocyte	AQP4	182	0.0289118347895155	303	0.0605515587529976	0.0430500397140588	0.135291766586731
microglial cell	C1QA	13	0.00206513105639396	12	0.00239808153477218	0.00206513105639396	0.00239808153477218
microglial cell	C1QC	5	0.00079428117553614	5	0.000999200639488409	0.00079428117553614	0.000999200639488409
microglial cell	C1QB	31	0.00492454328832407	33	0.0065947242206235	0.00524225575853852	0.0065947242206235
microglial cell	CX3CR1	0	0	8	0.00159872102318145	0	0.00299760191846523
microglial cell	P2RY12	221	0.0351072279586974	173	0.034572342126299	0.0449563145353455	0.0469624300559552
microglial cell	LST1	3	0.000476568705321684	6	0.00119904076738609	0.000476568705321684	0.00119904076738609
microglial cell	AIF1	9	0.00142970611596505	21	0.00419664268585132	0.00142970611596505	0.00419664268585132
microglial cell	TMEM119	0	0	0	0	0	0
microglial cell	TYROBP	9	0.00142970611596505	17	0.00339728217426059	0.00158856235107228	0.00359712230215827
RPE cell	RPE65	102	0.0162033359809373	157	0.031374900079936	0.018109610802224	0.0491606714628297
RPE cell	MERTK	1250	0.198570293884035	540	0.107913669064748	0.305003971405878	0.142885691446843
RPE cell	MITF	294	0.046703733121525	270	0.0539568345323741	0.101667990468626	0.142885691446843
RPE cell	LRAT	82	0.0130262112787927	68	0.0135891286970424	0.0196981731532963	0.0197841726618705
RPE cell	ELOVL4	1416	0.224940428911835	2568	0.513189448441247	0.34440031771247	0.974820143884892
RPE cell	BEST1	104	0.0165210484511517	94	0.0187849720223821	0.0174741858617951	0.0299760191846523
RPE cell	RDH5	308	0.0489277204130262	630	0.12589928057554	0.0527402700555997	0.149280575539568
RPE cell	PMEL	18	0.0028594122319301	14	0.00279776179056755	0.00317712470214456	0.00319744204636291
RPE cell	RLBP1	626	0.0994440031771247	651	0.130095923261391	0.285146942017474	0.729016786570743
RPE cell	SERPINF1	241	0.0382843526608419	293	0.0585531574740208	0.043208895949166	0.0719424460431655
cone cell	GNAT2	40	0.00635424940428912	153	0.0305755395683453	0.00714853057982526	0.0523581135091926
cone cell	RXRG	199	0.0316123907863384	258	0.0515587529976019	0.0444797458300238	0.125699440447642
cone cell	THRB	2741	0.435424940428912	2922	0.583932853717026	1.04241461477363	1.66906474820144
cone cell	OPN1SW	32	0.00508339952343129	51	0.0101918465227818	0.0168387609213662	0.0381694644284572
cone cell	PDE6C	215	0.034154090548054	240	0.0479616306954436	0.0459094519459889	0.110911270983213
cone cell	GNB3	2137	0.339475774424146	2163	0.432254196642686	0.530262112787927	0.75779376498801
cone cell	CABP5	1469	0.233359809372518	2760	0.551558752997602	0.349642573471009	1.16906474820144
cone cell	ARR3	406	0.0644956314535346	582	0.116306954436451	0.153455123113582	0.685251798561151
cone cell	OPN1LW	232	0.0368546465448769	403	0.0805355715427658	0.0583002382843527	0.26638689048761
cone cell	OPN1MW	29	0.00460683081810961	79	0.0157873701039169	0.00555996822875298	0.0423661071143086
rod cell	SAG	3630	0.576648133439237	4286	0.856514788169464	2.46036536934075	12.7290167865707
rod cell	GNAT1	2183	0.346783161239079	3828	0.764988009592326	0.602382843526608	4.04536370903277
rod cell	RHO	2410	0.382843526608419	4222	0.843725019984013	0.708181096108022	5.17046362909672
rod cell	PDE6B	3496	0.555361397934869	2763	0.552158273381295	1.65258141382049	1.22482014388489
rod cell	PDE6A	4367	0.693725178713264	3676	0.734612310151878	7.7779189833201	12.4404476418865
rod cell	GNGT1	2998	0.476250992851469	4677	0.934652278177458	0.980301826846704	6.83792965627498
rod cell	ROM1	2843	0.451628276409849	4016	0.80255795363709	0.927879269261318	3.74720223820943
rod cell	NRL	2442	0.387926926131851	4194	0.838129496402878	0.626052422557585	4.10051958433253
rod cell	NR2E3	2183	0.346783161239079	2850	0.569544364508393	0.690230341540905	1.65207833733014
rod cell	CNGB1	4235	0.67275615567911	3486	0.696642685851319	3.49213661636219	3.36910471622702
horizontal cell	PROX1	829	0.131691818903892	639	0.127697841726619	0.276886417791898	0.304756195043965
horizontal cell	GAD1	157	0.0249404289118348	222	0.0443645083932854	0.0544876886417792	0.186450839328537
horizontal cell	CALB1	147	0.0233518665607625	277	0.0553557154276579	0.0343129467831612	0.113309352517986
horizontal cell	GAD2	139	0.0220810166799047	198	0.039568345323741	0.0513105639396346	0.155275779376499
horizontal cell	ONECUT1	275	0.0436854646544877	103	0.0205835331734612	0.169340746624305	0.0557553956834532
horizontal cell	LHX1	122	0.0193804606830818	4	0.000799360511590727	0.0401906274821287	0.000799360511590727
horizontal cell	VSX1	438	0.0695790309769658	407	0.0813349320543565	0.128196981731533	0.236410871302958
bipolar cell	LRIT3	211	0.0335186656076251	269	0.0537569944044764	0.0378077839555203	0.0635491606714628
bipolar cell	ISL1	501	0.0795869737887212	433	0.0865307753796962	0.149166004765687	0.224020783373301
bipolar cell	GRM6	662	0.105162827640985	520	0.103916866506795	0.276092136616362	0.423461231015188
bipolar cell	OTX2	1902	0.302144559173948	2982	0.595923261390887	0.481810961080222	1.27098321342926
bipolar cell	VSX2	786	0.124861000794281	674	0.134692246203038	0.24241461477363	0.254196642685851
bipolar cell	TRPM1	920	0.14614773629865	576	0.115107913669065	0.869579030976966	0.78876898481215
bipolar cell	GPR179	220	0.0349483717235902	180	0.0359712230215827	0.0443208895949166	0.0465627498001599
bipolar cell	PRKCA	2266	0.359968228752979	2452	0.490007993605116	1.68959491660048	1.63329336530775
bipolar cell	CABP5	1469	0.233359809372518	2760	0.551558752997602	0.349642573471009	1.16906474820144
bipolar cell	PCP4	1442	0.229070691024623	1662	0.332134292565947	0.605401111993646	1.03597122302158
RGC	SRGAP2	593	0.0942017474185862	627	0.125299760191847	0.134233518665608	0.202038369304556
RGC	POU4F2	13	0.00206513105639396	32	0.00639488409272582	0.00222398729150119	0.00799360511590727
RGC	ISL1	501	0.0795869737887212	433	0.0865307753796962	0.149166004765687	0.224020783373301
RGC	NEFM	304	0.0482922954725973	293	0.0585531574740208	0.192216044479746	0.344924060751399
RGC	NEFL	451	0.0716441620333598	574	0.114708233413269	0.310563939634631	0.661470823341327
RGC	RBPMS	210	0.0333598093725179	265	0.0529576338928857	0.212549642573471	0.410671462829736
RGC	SNCG	474	0.0752978554408261	972	0.194244604316547	0.132803812549643	0.449640287769784
RGC	THY1	232	0.0368546465448769	447	0.0893285371702638	0.0686258935663225	0.197641886490807
RGC	POU4F1	17	0.00270055599682288	36	0.00719424460431655	0.00349483717235902	0.00959232613908873
RGC	ELAVL3	199	0.0316123907863384	288	0.0575539568345324	0.0797458300238284	0.126099120703437
T cells	CD247	132	0.0209690230341541	54	0.0107913669064748	0.0262112787926926	0.0153876898481215
T cells	IL7R	1	0.000158856235107228	0	0	0.000158856235107228	0
T cells	LTB	1	0.000158856235107228	13	0.00259792166266986	0.000158856235107228	0.00279776179056755
T cells	TRBC1	0	0	1	0.000199840127897682	0	0.000199840127897682
T cells	TRBC2	0	0	14	0.00279776179056755	0	0.00299760191846523
T cells	MALAT1	6295	1	5004	1	134.222557585385	215.717226219025
T cells	CD3E	1	0.000158856235107228	0	0	0.000158856235107228	0
T cells	CD3D	1	0.000158856235107228	0	0	0.000158856235107228	0
T cells	CD3G	3	0.000476568705321684	1	0.000199840127897682	0.000476568705321684	0.000199840127897682
macrophage	CTSS	185	0.0293884034948372	191	0.0381694644284572	0.0333598093725179	0.047761790567546
macrophage	FCER1G	10	0.00158856235107228	13	0.00259792166266986	0.00158856235107228	0.00259792166266986
macrophage	CSTA	2	0.000317712470214456	0	0	0.000317712470214456	0
macrophage	LST1	3	0.000476568705321684	6	0.00119904076738609	0.000476568705321684	0.00119904076738609
macrophage	MS4A7	4	0.000635424940428912	11	0.0021982414068745	0.000635424940428912	0.0021982414068745
macrophage	CD163	8	0.00127084988085782	9	0.00179856115107914	0.00127084988085782	0.00199840127897682
