cell_type	gene
astrocyte	ALDH1L1
astrocyte	SLC1A3
astrocyte	GJA1
astrocyte	CLDN10
astrocyte	GFAP
astrocyte	AQP4
microglial cell	C1QA
microglial cell	C1QC
microglial cell	C1QB
microglial cell	CX3CR1
microglial cell	P2RY12
microglial cell	LST1
microglial cell	AIF1
microglial cell	TMEM119
microglial cell	TYROBP
RPE cell	RPE65
RPE cell	MERTK
RPE cell	MITF
RPE cell	LRAT
RPE cell	ELOVL4
RPE cell	BEST1
RPE cell	RDH5
RPE cell	PMEL
RPE cell	SERPINF1
cone cell	GNAT2
cone cell	RXRG
cone cell	THRB
cone cell	OPN1SW
cone cell	PDE6C
cone cell	GNB3
cone cell	ARR3
cone cell	OPN1LW
cone cell	OPN1MW
rod cell	SAG
rod cell	GNAT1
rod cell	RHO
rod cell	PDE6B
rod cell	PDE6A
rod cell	GNGT1
rod cell	ROM1
rod cell	NRL
rod cell	NR2E3
rod cell	CNGB1
horizontal cell	PROX1
horizontal cell	GAD1
horizontal cell	CALB1
horizontal cell	GAD2
horizontal cell	ONECUT1
horizontal cell	LHX1
horizontal cell	VSX1
bipolar cell	CACNA1S
bipolar cell	LRIT3
bipolar cell	GRM6
bipolar cell	VSX2
bipolar cell	TRPM1
bipolar cell	GPR179
bipolar cell	PRKCA
bipolar cell	PCP4
RGC	POU4F2
RGC	NEFM
RGC	NEFL
RGC	RBPMS
RGC	SNCG
RGC	THY1
RGC	POU4F1
RGC	ELAVL3
T cells	CD247
T cells	IL7R
T cells	LTB
T cells	TRBC1
T cells	TRBC2
T cells	CD3E
T cells	CD3D
T cells	CD3G
T cells	CCR7
macrophage	CTSS
macrophage	FCER1G
macrophage	CSTA
macrophage	MS4A7
macrophage	CD163
macrophage	LGALS3
macrophage	CD68
macrophage	LILRB1
Schwann cell	MPZ
Schwann cell	ERBB3
Schwann cell	PMP22
Schwann cell	MAG
Schwann cell	S100B
Schwann cell	SOX10
Schwann cell	PLP1
Pericyte	RGS5
Pericyte	DES
Pericyte	PDGFRB
Pericyte	MCAM
Pericyte	KCNJ8
Pericyte	ABCC9
Pericyte	COL4A1
Pericyte	COL4A2
Pericyte	CSPG4
Pericyte	NOTCH3
B cell	CD74
B cell	CD83
B cell	HLA-DRA
B cell	MS4A1
B cell	CD19
B cell	CD79B
B cell	CD22
B cell	CD79A
B cell	CD37
fibroblast	COL3A1
fibroblast	PDGFRA
fibroblast	C7
fibroblast	COL1A2
fibroblast	LUM
fibroblast	DCN
fibroblast	COL1A1
fibroblast	COL6A1
fibroblast	COL6A2
fibroblast	FBLN1
endothelial cell	KDR
endothelial cell	EMCN
endothelial cell	ENG
endothelial cell	ESAM
endothelial cell	VWF
endothelial cell	FLT1
endothelial cell	RAMP2
endothelial cell	CA4
endothelial cell	PECAM1
endothelial cell	PLVAP
muller glia cell	KCNJ10
muller glia cell	GLUL
muller glia cell	CLDN11
muller glia cell	SLC1A3
muller glia cell	VIM
muller glia cell	DIO2
muller glia cell	RLBP1
muller glia cell	SOX9
muller glia cell	RAX
