group	names	scores	logfoldchanges	pvals	pvals_adj
0	PDE6A	36.304836	2.5590322	1.3571448288947649e-288	4.9672857882377294e-284
0	ANO2	34.148697	2.1197286	1.3980545341064634e-255	2.5585097001415335e-251
0	PCDH15	33.95198	2.0289772	1.1403291452636704e-252	1.3912395681931867e-248
0	CADM2	33.71967	1.0448532	2.9768569067155924e-249	2.723898491067435e-245
0	SAG	33.20409	2.2103052	9.397720997949099e-242	6.8793197249187e-238
0	ABCA4	33.128933	1.9180211	1.1391051554959301e-240	6.948731299384423e-237
0	NTM	33.12366	1.6991744	1.3566283107071478e-240	7.093421828598903e-237
0	EXOC4	32.939472	1.4378076	5.986319871024668e-238	2.7388161699921734e-234
0	AC044810.2	32.801422	2.1249523	5.619320998625355e-236	2.2852529763409622e-232
0	TTC39C	32.655743	1.965976	6.641601225002709e-234	2.4308924643632417e-230
0	SYNE2	32.634216	1.8629212	1.3419733433357826e-233	4.465233303584816e-230
0	RP1	32.219048	1.9143078	9.549807062666385e-228	2.9127707358387696e-224
0	THSD7B	32.052197	2.052653	2.0458684861260246e-225	5.760064035438356e-222
0	BBS9	32.049496	1.5725299	2.231156523230319e-225	5.833039993339492e-222
0	PTPN13	31.951056	1.8655813	5.22313571718854e-224	1.274479935898785e-220
0	CNGB1	31.777761	1.9136969	1.3135109547390464e-221	3.00473840340024e-218
0	DMD	31.664562	1.7535615	4.780117644110627e-220	1.0291593287770181e-216
0	USH2A	31.554852	1.9617306	1.5383027953954382e-218	2.96333792706676e-215
0	PRPH2	31.47527	1.8491377	1.8939425701500353e-217	3.4660096005030723e-214
0	MARCH1	31.283218	1.5797205	7.893368183828342e-215	1.375738899506196e-211
0	HCN1	31.048634	1.7227373	1.190387857730675e-211	1.894321129600019e-208
0	DISC1	30.988525	1.8278787	7.695693646539369e-211	1.1736253464874476e-207
0	AC079362.1	30.830786	1.9331638	1.0137585932298966e-208	1.4841831308322979e-205
0	MAK	30.706577	1.6554306	4.649934091843555e-207	6.545855295983306e-204
