cells	leiden
s2_cell1	10
s2_cell2	7
s2_cell3	3
s2_cell4	6
s2_cell5	10
s2_cell6	10
s2_cell7	10
s2_cell8	10
s2_cell9	2
s2_cell10	10
s2_cell11	2
s2_cell12	10
s2_cell13	6
s2_cell14	10
s2_cell15	4
s2_cell16	10
s2_cell17	3
s2_cell18	3
s2_cell19	3
s2_cell20	10
s2_cell21	2
s2_cell22	7
s2_cell23	10
s2_cell24	16
s2_cell25	10
s2_cell26	10
s2_cell27	10
s2_cell28	6
s2_cell29	10
s2_cell30	4
s2_cell31	6
s2_cell32	10
s2_cell33	10
s2_cell34	10
s2_cell35	10
s2_cell36	6
s2_cell37	10
s2_cell38	10
s2_cell39	2
s2_cell40	10
s2_cell41	10
s2_cell42	10
s2_cell43	2
s2_cell44	2
s2_cell45	10
s2_cell46	3
s2_cell47	6
s2_cell48	10
s2_cell49	5
s2_cell50	3
s2_cell51	1
s2_cell52	10
s2_cell53	10
s2_cell54	2
s2_cell55	2
s2_cell56	10
s2_cell57	10
s2_cell58	6
s2_cell59	6
s2_cell60	6
s2_cell61	2
s2_cell62	10
s2_cell63	2
s2_cell64	11
s2_cell65	3
s2_cell66	1
s2_cell67	6
s2_cell68	10
s2_cell69	3
s2_cell70	1
s2_cell71	3
s2_cell72	10
s2_cell73	15
s2_cell74	6
s2_cell75	3
s2_cell76	10
s2_cell77	16
s2_cell78	8
s2_cell79	2
s2_cell80	2
s2_cell81	10
s2_cell82	3
s2_cell83	10
s2_cell84	10
s2_cell85	6
s2_cell86	2
s2_cell87	10
s2_cell88	10
s2_cell89	10
s2_cell90	2
s2_cell91	10
s2_cell92	10
s2_cell93	2
s2_cell94	3
s2_cell95	10
s2_cell96	2
s2_cell97	10
s2_cell98	2
s2_cell99	2
s2_cell100	1
s2_cell101	6
s2_cell102	6
s2_cell103	10
s2_cell104	10
s2_cell105	6
s2_cell106	6
s2_cell107	2
s2_cell108	10
s2_cell109	2
s2_cell110	6
s2_cell111	10
s2_cell112	2
s2_cell113	1
s2_cell114	10
s2_cell115	3
s2_cell116	3
s2_cell117	2
s2_cell118	5
s2_cell119	3
s2_cell120	5
s2_cell121	3
s2_cell122	1
s2_cell123	10
s2_cell124	10
s2_cell125	0
s2_cell126	1
s2_cell127	1
s2_cell128	10
s2_cell129	16
s2_cell130	10
s2_cell131	10
s2_cell132	5
s2_cell133	5
s2_cell134	10
s2_cell135	10
s2_cell136	2
s2_cell137	10
s2_cell138	3
s2_cell139	6
s2_cell140	3
s2_cell141	6
s2_cell142	2
s2_cell143	0
s2_cell144	1
s2_cell145	3
s2_cell146	6
s2_cell147	6
s2_cell148	1
s2_cell149	5
s2_cell150	2
s2_cell151	2
s2_cell152	3
s2_cell153	2
s2_cell154	5
s2_cell155	1
s2_cell156	10
s2_cell157	1
s2_cell158	3
s2_cell159	10
s2_cell160	2
s2_cell161	8
s2_cell162	1
s2_cell163	1
s2_cell164	2
s2_cell165	3
s2_cell166	11
s2_cell167	1
s2_cell168	1
s2_cell169	6
s2_cell170	2
s2_cell171	2
s2_cell172	1
s2_cell173	2
s2_cell174	2
s2_cell175	5
s2_cell176	2
s2_cell177	2
s2_cell178	0
s2_cell179	15
s2_cell180	7
s2_cell181	2
s2_cell182	6
s2_cell183	20
s2_cell184	1
s2_cell185	5
s2_cell186	6
s2_cell187	7
s2_cell188	1
s2_cell189	2
s2_cell190	7
s2_cell191	1
s2_cell192	1
s2_cell193	2
s2_cell194	2
s2_cell195	7
s2_cell196	1
s2_cell197	2
s2_cell198	3
s2_cell199	2
s2_cell200	3
s2_cell201	20
s2_cell202	6
s2_cell203	6
s2_cell204	6
s2_cell205	6
s2_cell206	8
s2_cell207	6
s2_cell208	13
s2_cell209	2
s2_cell210	5
s2_cell211	2
s2_cell212	6
s2_cell213	1
s2_cell214	1
s2_cell215	16
s2_cell216	6
s2_cell217	10
s2_cell218	3
s2_cell219	5
