metric	value
genes_read	31362
samples	9
variable_genes_used	5000
cluster_0_size	5
cluster_0_samples	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9
cluster_1_size	4
cluster_1_samples	Sample_2,Sample_3,Sample_5,Sample_7
farthest_pair_initial_distance	136.83168250

sample	cluster	mean_log2_tpm	sd_log2_tpm
Sample_1	0	2.14282950	2.46096047
Sample_2	1	2.25256387	2.41939413
Sample_3	1	2.29629691	2.44241580
Sample_4	0	2.15078784	2.46089350
Sample_5	1	2.34022764	2.38128859
Sample_6	0	2.10100331	2.46628627
Sample_7	1	2.34062704	2.43846895
Sample_8	0	2.13713238	2.44609574
Sample_9	0	2.18178692	2.47436600

sample_a	sample_b	pearson_r_on_log2_tpm
Sample_1	Sample_2	-0.65323802
Sample_1	Sample_3	-0.60269742
Sample_1	Sample_4	0.57096673
Sample_1	Sample_5	-0.59783841
Sample_1	Sample_6	0.32996475
Sample_1	Sample_7	-0.62418037
Sample_1	Sample_8	0.39873146
Sample_1	Sample_9	0.46588596
Sample_2	Sample_3	0.66214699
Sample_2	Sample_4	-0.76357007
Sample_2	Sample_5	0.69664032
Sample_2	Sample_6	-0.66006670
Sample_2	Sample_7	0.72607541
Sample_2	Sample_8	-0.68665063
Sample_2	Sample_9	-0.73742432
Sample_3	Sample_4	-0.68771397
Sample_3	Sample_5	0.57228672
Sample_3	Sample_6	-0.64954966
Sample_3	Sample_7	0.57908485
Sample_3	Sample_8	-0.60162119
Sample_3	Sample_9	-0.66758940
Sample_4	Sample_5	-0.71437289
Sample_4	Sample_6	0.58175805
Sample_4	Sample_7	-0.73852700
Sample_4	Sample_8	0.53651778
Sample_4	Sample_9	0.59730536
Sample_5	Sample_6	-0.63078445
Sample_5	Sample_7	0.69880199
Sample_5	Sample_8	-0.68818417
Sample_5	Sample_9	-0.75454440
Sample_6	Sample_7	-0.64858457
Sample_6	Sample_8	0.55677681
Sample_6	Sample_9	0.52893720
Sample_7	Sample_8	-0.73110334
Sample_7	Sample_9	-0.66748309
Sample_8	Sample_9	0.62214305
