section	metric	value
fastq	mix_read_count	1965
fastq	mix_unique_sequence_count	1684
fastq	mix_min_read_length	50
fastq	mix_median_read_length	50
fastq	mix_max_read_length	50
fastq	endo_read_count	395
fastq	endo_unique_sequence_count	385
fastq	endo_min_read_length	50
fastq	endo_median_read_length	50
fastq	endo_max_read_length	50
fastq	exo_read_count	777
fastq	exo_unique_sequence_count	685
fastq	exo_min_read_length	50
fastq	exo_median_read_length	50
fastq	exo_max_read_length	50
exact_mix_sequence_membership	exo_only	616
exact_mix_sequence_membership	endo_only	399
exact_mix_sequence_membership	both	94
exact_mix_sequence_membership	neither	856
exact_mix_sequence_membership	exo_fraction_among_exo_only_plus_endo_only	0.606897
kmer_15	exo_unique_kmers	701
kmer_15	endo_unique_kmers	2892
kmer_15	shared_kmers	2628
kmer_15_exo	read_count	777
kmer_15_exo	informative_reads	254
kmer_15_exo	informative_fraction	0.326898
kmer_15_exo	mean_frac_exo_informative	1
kmer_15_exo	median_frac_exo_informative	1
kmer_15_exo	exo_hit_rate	0.0828686
kmer_15_exo	endo_hit_rate	0
kmer_15_exo	discrim_rate	0.0828686
kmer_15_exo	frac_exo_hits	1
kmer_15_endo	read_count	395
kmer_15_endo	informative_reads	209
kmer_15_endo	informative_fraction	0.529114
kmer_15_endo	mean_frac_exo_informative	0
kmer_15_endo	median_frac_exo_informative	0
kmer_15_endo	exo_hit_rate	0
kmer_15_endo	endo_hit_rate	0.490577
kmer_15_endo	discrim_rate	-0.490577
kmer_15_endo	frac_exo_hits	0
kmer_15_mix	read_count	1965
kmer_15_mix	informative_reads	1036
kmer_15_mix	informative_fraction	0.527226
kmer_15_mix	mean_frac_exo_informative	0.30695
kmer_15_mix	median_frac_exo_informative	0
kmer_15_mix	exo_hit_rate	0.0434125
kmer_15_mix	endo_hit_rate	0.319847
kmer_15_mix	discrim_rate	-0.276435
kmer_15_mix	frac_exo_hits	0.119508
kmer_15_estimate	p_from_exo_unique_hit_rate	0.523872
kmer_15_estimate	p_from_discriminant_hit_rate	0.37343
kmer_15_estimate	p_from_fraction_exo_hits	0.119508
kmer_15_estimate	p_from_nearest_centroid_informative_reads	0.30695
kmer_15_estimate	control_mean_frac_exo_separation	1
kmer_21	exo_unique_kmers	895
kmer_21	endo_unique_kmers	2760
kmer_21	shared_kmers	2497
kmer_21_exo	read_count	777
kmer_21_exo	informative_reads	314
kmer_21_exo	informative_fraction	0.404118
kmer_21_exo	mean_frac_exo_informative	1
kmer_21_exo	median_frac_exo_informative	1
kmer_21_exo	exo_hit_rate	0.131832
kmer_21_exo	endo_hit_rate	0
kmer_21_exo	discrim_rate	0.131832
kmer_21_exo	frac_exo_hits	1
kmer_21_endo	read_count	395
kmer_21_endo	informative_reads	209
kmer_21_endo	informative_fraction	0.529114
kmer_21_endo	mean_frac_exo_informative	0
kmer_21_endo	median_frac_exo_informative	0
kmer_21_endo	exo_hit_rate	0
kmer_21_endo	endo_hit_rate	0.496962
kmer_21_endo	discrim_rate	-0.496962
kmer_21_endo	frac_exo_hits	0
kmer_21_mix	read_count	1965
kmer_21_mix	informative_reads	1100
kmer_21_mix	informative_fraction	0.559796
kmer_21_mix	mean_frac_exo_informative	0.355779
kmer_21_mix	median_frac_exo_informative	0
kmer_21_mix	exo_hit_rate	0.0675318
kmer_21_mix	endo_hit_rate	0.304105
kmer_21_mix	discrim_rate	-0.236573
kmer_21_mix	frac_exo_hits	0.181714
kmer_21_estimate	p_from_exo_unique_hit_rate	0.512257
kmer_21_estimate	p_from_discriminant_hit_rate	0.414108
kmer_21_estimate	p_from_fraction_exo_hits	0.181714
kmer_21_estimate	p_from_nearest_centroid_informative_reads	0.356364
kmer_21_estimate	control_mean_frac_exo_separation	1
kmer_31	exo_unique_kmers	1213
kmer_31	endo_unique_kmers	2407
kmer_31	shared_kmers	2141
kmer_31_exo	read_count	777
kmer_31_exo	informative_reads	440
kmer_31_exo	informative_fraction	0.566281
kmer_31_exo	mean_frac_exo_informative	1
kmer_31_exo	median_frac_exo_informative	1
kmer_31_exo	exo_hit_rate	0.254183
kmer_31_exo	endo_hit_rate	0
kmer_31_exo	discrim_rate	0.254183
kmer_31_exo	frac_exo_hits	1
kmer_31_endo	read_count	395
kmer_31_endo	informative_reads	217
kmer_31_endo	informative_fraction	0.549367
kmer_31_endo	mean_frac_exo_informative	0
kmer_31_endo	median_frac_exo_informative	0
kmer_31_endo	exo_hit_rate	0
kmer_31_endo	endo_hit_rate	0.509494
kmer_31_endo	discrim_rate	-0.509494
kmer_31_endo	frac_exo_hits	0
kmer_31_mix	read_count	1965
kmer_31_mix	informative_reads	1268
kmer_31_mix	informative_fraction	0.645293
kmer_31_mix	mean_frac_exo_informative	0.463056
kmer_31_mix	median_frac_exo_informative	0
kmer_31_mix	exo_hit_rate	0.132468
kmer_31_mix	endo_hit_rate	0.276285
kmer_31_mix	discrim_rate	-0.143817
kmer_31_mix	frac_exo_hits	0.324079
kmer_31_estimate	p_from_exo_unique_hit_rate	0.521153
kmer_31_estimate	p_from_discriminant_hit_rate	0.478837
kmer_31_estimate	p_from_fraction_exo_hits	0.324079
kmer_31_estimate	p_from_nearest_centroid_informative_reads	0.463722
kmer_31_estimate	control_mean_frac_exo_separation	1
final	median_usable_fraction	0.495547
final	rounded_percent_nearest_10	50
