metric	value
mix_reads	691
exo_control_reads	592
endo_control_reads	395
exo_reference_contigs	4
endo_reference_contigs	9
map_min_score	45
exo_mapped_reads	592
endo_mapped_reads	395
mix_mapped_reads	688
chosen_exo_marker_positions	0
chosen_endo_marker_positions	0
chosen_marker_criterion	none
exo_marker_reads	0
endo_marker_reads	0
mix_marker_reads	0
mix_marker_nonmarker_reads	688
mix_marker_unmapped_reads	3
mix_exo_marker_classified	0
mix_endo_marker_classified	0
mix_marker_ambiguous	0
mix_marker_uninformative	688
exo_marker_fraction	0.000000
endo_marker_fraction	0.000000
mix_marker_fraction	0.000000
calibrated_exo_fraction	NA
calibrated_exo_percent	NA
rounded_exo_percent	NA

marker_threshold	positions	exo_marker_reads	endo_marker_reads	mix_marker_reads
exo_cov3_endo_cov_le0	0	0	0	0
exo_cov5_endo_cov_le0	0	0	0	0
exo_cov3_endo_cov_le1	0	0	0	0
exo_cov5_endo_cov_le1	0	0	0	0

coverage_summary	length	exo_cov_ge1	exo_cov_ge3	exo_cov_ge5	endo_cov_ge1	endo_cov_ge3	endo_cov_ge5
NODE_1_length_1363_cov_4.226387_g0_i0	1363	1363	1346	1335	1349	1333	1217
NODE_2_length_693_cov_4.037651_g1_i0	693	693	679	648	685	618	551
NODE_3_length_596_cov_4.320988_g2_i0	596	596	585	570	596	571	481
NODE_4_length_342_cov_3.757188_g3_i0	342	342	331	304	342	307	228

exo_only_segments_min5	ref_index	start_0based	end_0based	length

endo_only_segments_min5	ref_index	start_0based	end_0based	length

score	exo_control	endo_control	mix
25	0	0	1
26	0	0	1
29	0	0	1
49	36	21	42
50	556	374	646
