window	start_0based	end_0based	mean_depth
left_100kb	35900000	36000000	3.25639000
right_100kb	36400000	36500000	4.09320000
left_500kb	35500000	36000000	3.06870400
right_500kb	36400000	36900000	3.78456400
left_1Mb	35000000	36000000	3.57549200
right_1Mb	36400000	37400000	3.99550900
left_2Mb	34000000	36000000	3.85479350
right_2Mb	36400000	38400000	4.04543700
event	36000000	36400000	5.53928500
100kb_flank_mean	NA	NA	3.67479500
100kb_factor	NA	NA	1.50737252
500kb_flank_mean	NA	NA	3.42663400
500kb_factor	NA	NA	1.61653827
1Mb_flank_mean	NA	NA	3.78550050
1Mb_factor	NA	NA	1.46328999
2Mb_flank_mean	NA	NA	3.95011525
2Mb_factor	NA	NA	1.40230972
