metric	value
target_features	28692
source_features	27998
target_feature_set_membership_in_source	27998/28692
target_feature_order_is_prefix_of_source	False
target_barcodes	20072
source_barcodes	16229
target_barcode_membership_in_source	6/20072
target_feature_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
target_barcode_sha256	d1514541c934b0c2c7f964cf859ed5433179ced30417767ab44c7fed81d0a5dd
source_feature_sha256	5a7eea6699f10935f927fdb52e3bc45c844e3a9c39086e698f9dbeb829124b9d
source_barcode_sha256	4d741e936ec35d10e709d32938d8cb329961712ebc9f614c99d7a5cc1dd69bd8
