key	value
version	#1.2
dimensions	56200	54
column_count	56
column_9	Brain - Amygdala
column_10	Brain - Anterior cingulate cortex (BA24)
column_11	Brain - Caudate (basal ganglia)
column_12	Brain - Cerebellar Hemisphere
column_13	Brain - Cerebellum
column_14	Brain - Cortex
column_15	Brain - Frontal Cortex (BA9)
column_16	Brain - Hippocampus
column_17	Brain - Hypothalamus
column_18	Brain - Nucleus accumbens (basal ganglia)
column_19	Brain - Putamen (basal ganglia)
column_20	Brain - Spinal cord (cervical c-1)
column_21	Brain - Substantia nigra
column_35	Kidney - Cortex
