                                 Started job on |	Aug 26 23:11:16
                             Started mapping on |	Aug 27 00:43:21
                                    Finished on |	Aug 27 00:44:02
       Mapping speed, Million of reads per hour |	10.54

                          Number of input reads |	120000
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	103844
                        Uniquely mapped reads % |	86.54%
                          Average mapped length |	149.27
                       Number of splices: Total |	60563
            Number of splices: Annotated (sjdb) |	59882
                       Number of splices: GT/AG |	59957
                       Number of splices: GC/AG |	434
                       Number of splices: AT/AC |	54
               Number of splices: Non-canonical |	118
                      Mismatch rate per base, % |	0.45%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.39
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.39
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	13903
             % of reads mapped to multiple loci |	11.59%
        Number of reads mapped to too many loci |	77
             % of reads mapped to too many loci |	0.06%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	5
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2163
                 % of reads unmapped: too short |	1.80%
                Number of reads unmapped: other |	8
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	1618
                            % of chimeric reads |	1.35%
