Scaffold L50	3
Scaffold N50	25286925
Scaffold L90	5
Scaffold N90	23513712
Scaffold len_max	32079331
Scaffold len_min	544
Scaffold len_mean	76858
Scaffold len_median	1576
Scaffold len_std	1381730
Scaffold num_A	41351050
Scaffold num_T	41332478
Scaffold num_C	29960668
Scaffold num_G	29928811
Scaffold num_N	1152978
Scaffold num_bp	143725985
Scaffold num_bp_not_N	142573007
Scaffold num_seq	1870
Scaffold GC content overall	41.67
Contig L50	3
Contig N50	21485538
Contig L90	17
Contig N90	666663
Contig len_max	27905053
Contig len_min	176
Contig len_mean	58383
Contig len_median	1525
Contig len_std	1000389
Contig num_bp	142573007
Contig num_seq	2442
Number of gaps	572
