ROWS_TOTAL	P_MISSING_ROWS	SAMPLED_NONMISSING
114873	26	72

GROUP	SAMPLE_ROWS	P_MISSING_ROWS	SAMPLED_NONMISSING	MISSING_EFFECT_ABSENT	MISSING_EFFECT_PRESENT	MISSING_UNKNOWN	NONMISSING_EFFECT_PRESENT	NONMISSING_EFFECT_ABSENT	NONMISSING_UNKNOWN	API_FAILURES	AGREEMENT
AFR	98	26	72	24	1	1	70	2	0	0	0.969072
AMR	98	26	72	25	0	1	68	4	0	0	0.958763
EAS	98	26	72	4	21	1	56	16	0	0	0.618557
EUR	98	26	72	24	1	1	60	12	0	0	0.865979
SAS	98	26	72	16	9	1	57	15	0	0	0.752577
FIN	98	26	72	24	1	1	54	18	0	0	0.804124
CEU	98	26	72	24	1	1	54	18	0	0	0.804124
TSI	98	26	72	24	1	1	58	14	0	0	0.845361
IBS	98	26	72	24	1	1	57	15	0	0	0.835052
GBR	98	26	72	25	0	1	55	17	0	0	0.824742
CLM	98	26	72	25	0	1	63	9	0	0	0.907216
MXL	98	26	72	25	0	1	58	14	0	0	0.855670
PEL	98	26	72	25	0	1	59	13	0	0	0.865979
PUR	98	26	72	25	0	1	67	5	0	0	0.948454
CHB	98	26	72	8	17	1	52	20	0	0	0.618557
GIH	98	26	72	24	1	1	54	18	0	0	0.804124
