metric	value
model_details	cell populations from scRNA-seq of five locations of the human lungs and airways
model_version	v4
model_cell_types	78
model_features	5112
query_features_matched	4675
query_cells	164616
label::AT1 	4427 cells; mean_max_probability=0.456373
label::AT2	5982 cells; mean_max_probability=0.606602
label::B_memory	6013 cells; mean_max_probability=0.938623
label::B_naive	642 cells; mean_max_probability=0.82924
label::B_plasma_IgA	941 cells; mean_max_probability=0.712384
label::B_plasma_IgG	3398 cells; mean_max_probability=0.732503
label::B_plasmablast	142 cells; mean_max_probability=0.512479
label::Basal	11971 cells; mean_max_probability=0.637171
label::CD4_EM/Effector	6408 cells; mean_max_probability=0.627342
label::CD4_TRM	12931 cells; mean_max_probability=0.729665
label::CD4_naive/CM	11187 cells; mean_max_probability=0.779652
label::CD8_EM	3643 cells; mean_max_probability=0.557983
label::CD8_EM/EMRA	1864 cells; mean_max_probability=0.612689
label::CD8_TRM	1013 cells; mean_max_probability=0.531007
label::CD8_TRM/EM	13565 cells; mean_max_probability=0.817876
label::Ciliated	933 cells; mean_max_probability=0.927964
label::DC_1	867 cells; mean_max_probability=0.914651
label::DC_2	5012 cells; mean_max_probability=0.81617
label::DC_activated	589 cells; mean_max_probability=0.851679
label::DC_plasmacytoid	1082 cells; mean_max_probability=0.973954
label::Deuterosomal	6 cells; mean_max_probability=0.597321
label::Dividing_AT2	6 cells; mean_max_probability=0.052912
label::Dividing_Basal	1939 cells; mean_max_probability=0.534292
label::Endothelia_Lymphatic	80 cells; mean_max_probability=0.913001
label::Endothelia_vascular_Cap_a	251 cells; mean_max_probability=0.642868
label::Endothelia_vascular_Cap_g	917 cells; mean_max_probability=0.521329
label::Endothelia_vascular_arterial_pulmonary	137 cells; mean_max_probability=0.678509
label::Endothelia_vascular_arterial_systemic	4 cells; mean_max_probability=0.63298
label::Endothelia_vascular_venous_pulmonary	89 cells; mean_max_probability=0.629151
label::Endothelia_vascular_venous_systemic	427 cells; mean_max_probability=0.472095
label::Erythrocyte	167 cells; mean_max_probability=0.361259
label::Fibro_adventitial	896 cells; mean_max_probability=0.416933
label::Fibro_alveolar	305 cells; mean_max_probability=0.47728
label::Fibro_immune_recruiting	1 cells; mean_max_probability=0.0423089
label::Fibro_myofibroblast	1771 cells; mean_max_probability=0.648145
label::Fibro_peribronchial	106 cells; mean_max_probability=0.389957
label::ILC	896 cells; mean_max_probability=0.729801
label::Ionocyte_n_Brush	5 cells; mean_max_probability=0.261284
label::MAIT	390 cells; mean_max_probability=0.602588
label::Macro_AW_CX3CR1	1176 cells; mean_max_probability=0.675992
label::Macro_CCL	529 cells; mean_max_probability=0.443595
label::Macro_CHIT1	2201 cells; mean_max_probability=0.638263
label::Macro_alveolar	5998 cells; mean_max_probability=0.690205
label::Macro_alveolar_metallothioneins	852 cells; mean_max_probability=0.644746
label::Macro_dividing	225 cells; mean_max_probability=0.418564
label::Macro_intermediate	8634 cells; mean_max_probability=0.691362
label::Macro_interstitial	2240 cells; mean_max_probability=0.714564
label::Macro_intravascular	8546 cells; mean_max_probability=0.726055
label::Mast_cell 	2375 cells; mean_max_probability=0.992145
label::Mesothelia	5 cells; mean_max_probability=0.985306
label::Monocyte_CD14	2328 cells; mean_max_probability=0.792814
label::Monocyte_CD16	1197 cells; mean_max_probability=0.825697
label::Muscle_pericyte_pulmonary	207 cells; mean_max_probability=0.659185
label::Muscle_pericyte_systemic	14 cells; mean_max_probability=0.186618
label::Muscle_perivascular_immune_recruiting	9 cells; mean_max_probability=0.253318
label::Muscle_smooth_arterial_systemic	2 cells; mean_max_probability=0.106389
label::Muscle_smooth_pulmonary	170 cells; mean_max_probability=0.407791
label::NKT	2531 cells; mean_max_probability=0.650968
label::NK_CD11d	218 cells; mean_max_probability=0.40712
label::NK_CD16hi	6010 cells; mean_max_probability=0.649087
label::NK_CD56bright	911 cells; mean_max_probability=0.629271
label::Neuroendocrine	5 cells; mean_max_probability=0.718884
label::SMG_Basal	75 cells; mean_max_probability=0.238898
label::SMG_Duct	274 cells; mean_max_probability=0.530542
label::SMG_Mucous	10 cells; mean_max_probability=0.0442387
label::SMG_Serous	1 cells; mean_max_probability=0.24065
label::Secretory_Club	2486 cells; mean_max_probability=0.414063
label::Secretory_Goblet	931 cells; mean_max_probability=0.261794
label::Suprabasal	1836 cells; mean_max_probability=0.41981
label::T_reg	10763 cells; mean_max_probability=0.846876
label::gdT	854 cells; mean_max_probability=0.570452
