modality	column	n_features	total	mean	nonzero_fraction	log1p_q01	log1p_q05	log1p_q10	log1p_q25	log1p_q50	log1p_q75	log1p_q90	log1p_q95	log1p_q99	max
RNA	0	29165	1000000	34.28767358	0.8282873307	0	0	0	0.01240683035	0.3089830739	2.587996692	3.866460259	4.616592831	6.150814215	13442.48236
RNA	1	29165	1000000	34.28767358	0.8420366878	0	0	0	0.01560476863	0.3918247293	2.66937823	3.899033444	4.604250782	6.144660404	15820.96347
RNA	2	29165	1000000	34.28767358	0.7439396537	0	0	0	0	0.413940636	2.574388095	3.859509361	4.590938763	6.215691842	17433.09998
RNA	3	29165	1000000	34.28767358	0.7711983542	0	0	0	0.02334552017	0.3707239195	2.561234843	3.888361747	4.612246478	6.153262726	16459.3541
RNA	4	29165	1000000	34.28767358	0.8096691239	0	0	0	0.01603241267	0.4379291534	2.612888458	3.816419629	4.50677557	6.101774325	16939.49638
RNA	5	29165	1000000	34.28767358	0.8501285788	0	0	0	0.01724114901	0.4141101299	2.544642952	3.797267195	4.512787964	6.142014166	16418.16854
RNA	6	29165	1000000	34.28767358	0.8600034288	0	0	0	0.02326409236	0.4224241344	2.489434391	3.800605483	4.504841523	6.076466471	15108.09924
RNA	7	29165	1000000	34.28767358	0.8419681125	0	0	0	0.04849604944	0.6389243619	2.620733264	3.838538583	4.561857237	6.048463357	12902.79862
ATAC	0	295420	1000000	3.385011171	0.9600399431	0	0.1370423691	0.2799992553	0.5674473529	1.026721015	1.578601433	2.182967114	2.597176156	3.260293038	176.5164656
ATAC	1	295420	1000000	3.385011171	0.9602701239	0	0.1117760448	0.1962362841	0.439474292	0.8752346703	1.447440207	2.210544828	2.74508806	3.476595136	129.7929752
ATAC	2	295420	1000000	3.385011171	0.9603682892	0	0.3020740796	0.5079278587	0.6907350551	0.9495556424	1.403070679	2.113877332	2.68361079	3.436023161	123.1416409
ATAC	3	295420	1000000	3.385011171	0.9602870489	0	0.2163491546	0.3542440866	0.6205052039	0.9753535934	1.50135744	2.179861655	2.663896171	3.332616103	111.3866455
ATAC	4	295420	1000000	3.385011171	0.9572202288	0	0.06133816015	0.2255675072	0.4901640664	0.871998101	1.410904494	2.193947997	2.756154948	3.491006937	187.6876877
ATAC	5	295420	1000000	3.385011171	0.960314129	0	0.07080174396	0.1326458824	0.3017094776	0.6993697608	1.345941738	2.243120893	2.847181088	3.626121003	161.0778832
ATAC	6	295420	1000000	3.385011171	0.9594272561	0	0.1934987707	0.4042232848	0.6549852962	0.996174593	1.45242873	2.11125368	2.640681837	3.402341849	114.9988127
ATAC	7	295420	1000000	3.385011171	0.9602328888	0	0.3719452232	0.5640340734	0.7640079452	1.023074612	1.462725702	2.127418722	2.627618974	3.283972344	108.0304469
