catalog	label	peaks	overlap_peaks	frac_peaks	overlap_bases	frac_bases_or_error
UCSC_ENCODE_DNase_cluster	S1	19750	19564	0.990582	6607849	0.669149
UCSC_ENCODE_DNase_cluster	S2	32863	32467	0.987950	11039442	0.671846
UCSC_ENCODE_DNase_cluster	S3	39006	38624	0.990207	11984767	0.614509
UCSC_ENCODE_DNase_cluster	S4	21137	20961	0.991673	7118400	0.673549
UCSC_ENCODE_DNase_cluster	S5	30214	12312	0.407493	2244946	0.148603
UCSC_ENCODE_DNase_cluster	S6	32573	30743	0.943818	8362665	0.513472
Meuleman_733_biosample_DHS_index	S1	19750	19476	0.986127	7389040	0.748257
Meuleman_733_biosample_DHS_index	S2	32863	32354	0.984511	11320913	0.688976
Meuleman_733_biosample_DHS_index	S3	39006	38576	0.988976	12138539	0.622393
Meuleman_733_biosample_DHS_index	S4	21137	20888	0.988220	7358181	0.696237
Meuleman_733_biosample_DHS_index	S5	30214	16716	0.553253	3496682	0.231461
Meuleman_733_biosample_DHS_index	S6	32573	31499	0.967028	9093935	0.558373

# catalog_sizes
catalog	raw_rows	merged_rows	merged_bases
UCSC_ENCODE_DNase_cluster	2074555	2074555	451087510
Meuleman_733_biosample_DHS_index	3591898	2742845	665569458
