index	reads	malformed	plus_fraction	mito_fraction	sex_fraction	read_length_mode	read_length_mode_fraction	distinct_read_lengths	adjacent_duplicate_fraction	sorted_violations	chromosomes	occupied_10kb_bins	top1pct_10kb_fraction	top5pct_10kb_fraction	gini_nonempty_10kb	mean_pairwise_corr_100kb	mean_pairwise_corr_1mb	md5_uncompressed
1	10000000	0	0.4995791	0.0	0.0320601	50	1.0	1	0.10105771010577101	0	24	284041	0.1115431	0.3041817	0.4918636553962279	0.7359672416534238	0.8441830857168013	7143351cbd497e8cd0c980f643c694a9
2	10000000	0	0.4996863	0.0	0.0271427	50	1.0	1	0.1199540119954012	0	24	284431	0.1537769	0.4007834	0.5942254897581489	0.7780850703053098	0.8436020189666249	6da55884a13ae4350a657a1135b97a82
3	10000000	0	0.4999913	0.0	0.0209173	50	1.0	1	0.08384160838416084	0	24	282912	0.119137	0.3481693	0.6143178012166326	0.8296877531313325	0.8811151537543336	0ea60ccfc9109beff9172dc43bfd8780
4	10000000	0	0.4999719	0.0	0.0273616	50	1.0	1	0.05284500528450053	0	129	282326	0.13167844485613917	0.36069065711866277	0.6011548112097884	0.7467745250919827	0.8381450524061967	8c29d4f5535986c60b964a2a35ae5181
5	10000000	0	0.5001548	0.0	0.0176792	50	1.0	1	0.0810915081091508	0	24	283462	0.1209419	0.3197269	0.48901357136829615	0.7601844483424272	0.8413081531962151	873b8679fb2c38281f80744d0a32695f
6	10000000	0	0.5000088	0.0	0.0174997	50	1.0	1	0.1498604149860415	0	24	280405	0.1987429	0.4963132	0.7051587087569766	0.8119080716295023	0.8656599422029319	86b3ec6e0248276a4af5c7f48f1732e0
7	10000000	0	0.5000614	0.0	0.0389914	50	1.0	1	0.1579940157994016	0	24	282141	0.1807416	0.4551677	0.6651744391931695	0.8168331334816239	0.88464227478445	adfd68fa986452ee37f292520bb40111
8	10000000	0	0.4997902	0.0	0.0295258	50	1.0	1	0.02895710289571029	0	24	283485	0.064179	0.2006861	0.3923355255509109	0.7914069961386567	0.8506681467755856	526c7e689a9ac44939f51b03a6449dc6
9	10000000	0	0.3992306	0.0	0.0182839	50	1.0	1	0.24631962463196247	0	24	280517	0.2958247	0.4302163	0.6181073111861315	0.7782975074840297	0.8579855116515647	be8c27300b8336c24dc044c1e1ba7251
10	10000000	0	0.4931343	0.0	0.0224049	50	1.0	1	0.08876160887616089	0	24	279879	0.1394052	0.3972438	0.6434919428474448	0.829790791088364	0.894955317858178	5c57e30b743c9d2707410481fc2b9b64
