lag	cross_corr	plus_count	minus_count
0	2136	501353	498647
1	4092	501353	498647
2	3264	501353	498647
3	3289	501353	498647
4	4343	501353	498647
5	3905	501353	498647
6	4033	501353	498647
7	5472	501353	498647
8	8283	501353	498647
9	6963	501353	498647
10	11876	501353	498647
11	9245	501353	498647
12	19301	501353	498647
13	11413	501353	498647
14	16379	501353	498647
15	17382	501353	498647
16	22447	501353	498647
17	17478	501353	498647
18	32124	501353	498647
19	18148	501353	498647
20	38595	501353	498647
21	29764	501353	498647
22	43902	501353	498647
23	31691	501353	498647
24	43484	501353	498647
25	48369	501353	498647
26	38255	501353	498647
27	39756	501353	498647
28	49569	501353	498647
29	43506	501353	498647
30	37812	501353	498647
31	56149	501353	498647
32	41702	501353	498647
33	45686	501353	498647
34	54203	501353	498647
35	71675	501353	498647
36	45866	501353	498647
37	55514	501353	498647
38	66727	501353	498647
39	60705	501353	498647
40	55376	501353	498647
41	75323	501353	498647
42	52548	501353	498647
43	60690	501353	498647
44	58515	501353	498647
45	61109	501353	498647
46	49906	501353	498647
47	64270	501353	498647
48	52240	501353	498647
49	56395	501353	498647
50	48962	501353	498647
51	74950	501353	498647
52	57588	501353	498647
53	58805	501353	498647
54	57984	501353	498647
55	65271	501353	498647
56	58213	501353	498647
57	71167	501353	498647
58	54774	501353	498647
59	62209	501353	498647
60	61944	501353	498647
61	67193	501353	498647
62	66859	501353	498647
63	60230	501353	498647
64	62872	501353	498647
65	71479	501353	498647
66	57219	501353	498647
67	76748	501353	498647
68	55441	501353	498647
69	93378	501353	498647
70	62283	501353	498647
71	63823	501353	498647
72	72625	501353	498647
73	85179	501353	498647
74	63030	501353	498647
75	62359	501353	498647
76	68633	501353	498647
77	55755	501353	498647
78	75109	501353	498647
79	59157	501353	498647
80	55327	501353	498647
81	53600	501353	498647
82	62577	501353	498647
83	48573	501353	498647
84	53533	501353	498647
85	47437	501353	498647
86	48112	501353	498647
87	49726	501353	498647
88	43149	501353	498647
89	38516	501353	498647
90	44333	501353	498647
91	51829	501353	498647
92	35881	501353	498647
93	41839	501353	498647
94	36541	501353	498647
95	41781	501353	498647
96	30584	501353	498647
97	30262	501353	498647
98	35263	501353	498647
99	28451	501353	498647
100	26046	501353	498647
101	23669	501353	498647
102	28259	501353	498647
103	26195	501353	498647
104	21573	501353	498647
105	22570	501353	498647
106	21226	501353	498647
107	23713	501353	498647
108	16500	501353	498647
109	20145	501353	498647
110	19856	501353	498647
111	19805	501353	498647
112	21564	501353	498647
113	19683	501353	498647
114	20690	501353	498647
115	14698	501353	498647
116	21276	501353	498647
117	14004	501353	498647
118	14084	501353	498647
119	14762	501353	498647
120	17943	501353	498647
121	13219	501353	498647
122	12625	501353	498647
123	14974	501353	498647
124	13609	501353	498647
125	12084	501353	498647
126	11686	501353	498647
127	11713	501353	498647
128	11782	501353	498647
129	13874	501353	498647
130	9243	501353	498647
131	14083	501353	498647
132	10108	501353	498647
133	9721	501353	498647
134	9184	501353	498647
135	10302	501353	498647
136	8543	501353	498647
137	7093	501353	498647
138	10073	501353	498647
139	6266	501353	498647
140	8736	501353	498647
141	6643	501353	498647
142	7486	501353	498647
143	6223	501353	498647
144	6237	501353	498647
145	6869	501353	498647
146	6215	501353	498647
147	6180	501353	498647
148	5634	501353	498647
149	6435	501353	498647
150	4930	501353	498647
151	5010	501353	498647
152	5116	501353	498647
153	4608	501353	498647
154	4927	501353	498647
155	4555	501353	498647
156	4762	501353	498647
157	3864	501353	498647
158	4520	501353	498647
159	3869	501353	498647
160	3729	501353	498647
161	3895	501353	498647
162	3507	501353	498647
163	3708	501353	498647
164	2828	501353	498647
165	3263	501353	498647
166	2958	501353	498647
167	3021	501353	498647
168	2770	501353	498647
169	2980	501353	498647
170	2720	501353	498647
171	2420	501353	498647
172	2910	501353	498647
173	2538	501353	498647
174	2678	501353	498647
175	2222	501353	498647
176	2426	501353	498647
177	2430	501353	498647
178	2225	501353	498647
179	2348	501353	498647
180	2194	501353	498647
181	2224	501353	498647
182	2182	501353	498647
183	2146	501353	498647
184	1964	501353	498647
185	2130	501353	498647
186	2120	501353	498647
187	1907	501353	498647
188	1916	501353	498647
189	1966	501353	498647
190	2026	501353	498647
191	1763	501353	498647
192	1780	501353	498647
193	1857	501353	498647
194	1887	501353	498647
195	1723	501353	498647
196	1677	501353	498647
197	1723	501353	498647
198	1662	501353	498647
199	1733	501353	498647
200	1507	501353	498647
201	1542	501353	498647
202	1660	501353	498647
203	1683	501353	498647
204	1628	501353	498647
205	1495	501353	498647
206	1700	501353	498647
207	1565	501353	498647
208	1507	501353	498647
209	1450	501353	498647
210	1462	501353	498647
211	1466	501353	498647
212	1423	501353	498647
213	1440	501353	498647
214	1463	501353	498647
215	1339	501353	498647
216	1336	501353	498647
217	1457	501353	498647
218	1455	501353	498647
219	1345	501353	498647
220	1373	501353	498647
221	1285	501353	498647
222	1262	501353	498647
223	1339	501353	498647
224	1411	501353	498647
225	1309	501353	498647
226	1300	501353	498647
227	1272	501353	498647
228	1295	501353	498647
229	1278	501353	498647
230	1263	501353	498647
231	1296	501353	498647
232	1209	501353	498647
233	1223	501353	498647
234	1192	501353	498647
235	1262	501353	498647
236	1219	501353	498647
237	1282	501353	498647
238	1214	501353	498647
239	1166	501353	498647
240	1273	501353	498647
241	1128	501353	498647
242	1133	501353	498647
243	1165	501353	498647
244	1240	501353	498647
245	1174	501353	498647
246	1169	501353	498647
247	1159	501353	498647
248	1149	501353	498647
249	1194	501353	498647
250	1223	501353	498647
251	1166	501353	498647
252	1112	501353	498647
253	1206	501353	498647
254	1030	501353	498647
255	1153	501353	498647
256	1149	501353	498647
257	1028	501353	498647
258	1136	501353	498647
259	1127	501353	498647
260	1116	501353	498647
261	1031	501353	498647
262	1078	501353	498647
263	1075	501353	498647
264	1221	501353	498647
265	1029	501353	498647
266	1093	501353	498647
267	1111	501353	498647
268	1127	501353	498647
269	1099	501353	498647
270	1104	501353	498647
271	1026	501353	498647
272	983	501353	498647
273	984	501353	498647
274	1047	501353	498647
275	986	501353	498647
276	1048	501353	498647
277	975	501353	498647
278	1042	501353	498647
279	979	501353	498647
280	963	501353	498647
281	1000	501353	498647
282	1023	501353	498647
283	940	501353	498647
284	1075	501353	498647
285	918	501353	498647
286	1136	501353	498647
287	978	501353	498647
288	1007	501353	498647
289	893	501353	498647
290	1002	501353	498647
291	975	501353	498647
292	869	501353	498647
293	926	501353	498647
294	924	501353	498647
295	969	501353	498647
296	880	501353	498647
297	911	501353	498647
298	926	501353	498647
299	875	501353	498647
300	929	501353	498647
301	838	501353	498647
302	930	501353	498647
303	835	501353	498647
304	878	501353	498647
305	880	501353	498647
306	823	501353	498647
307	888	501353	498647
308	784	501353	498647
309	881	501353	498647
310	896	501353	498647
311	976	501353	498647
312	837	501353	498647
313	885	501353	498647
314	836	501353	498647
315	888	501353	498647
316	869	501353	498647
317	833	501353	498647
318	798	501353	498647
319	922	501353	498647
320	813	501353	498647
321	872	501353	498647
322	808	501353	498647
323	878	501353	498647
324	847	501353	498647
325	855	501353	498647
326	864	501353	498647
327	793	501353	498647
328	888	501353	498647
329	839	501353	498647
330	868	501353	498647
331	841	501353	498647
332	838	501353	498647
333	877	501353	498647
334	821	501353	498647
335	817	501353	498647
336	777	501353	498647
337	762	501353	498647
338	816	501353	498647
339	777	501353	498647
340	749	501353	498647
341	902	501353	498647
342	815	501353	498647
343	789	501353	498647
344	837	501353	498647
345	733	501353	498647
346	743	501353	498647
347	759	501353	498647
348	820	501353	498647
349	777	501353	498647
350	728	501353	498647
351	801	501353	498647
352	755	501353	498647
353	866	501353	498647
354	937	501353	498647
355	937	501353	498647
356	876	501353	498647
357	786	501353	498647
358	875	501353	498647
359	805	501353	498647
360	739	501353	498647
361	875	501353	498647
362	835	501353	498647
363	845	501353	498647
364	868	501353	498647
365	829	501353	498647
366	710	501353	498647
367	815	501353	498647
368	717	501353	498647
369	783	501353	498647
370	789	501353	498647
371	738	501353	498647
372	815	501353	498647
373	833	501353	498647
374	830	501353	498647
375	786	501353	498647
376	765	501353	498647
377	886	501353	498647
378	679	501353	498647
379	796	501353	498647
380	720	501353	498647
381	837	501353	498647
382	770	501353	498647
383	819	501353	498647
384	715	501353	498647
385	720	501353	498647
386	792	501353	498647
387	736	501353	498647
388	786	501353	498647
389	693	501353	498647
390	940	501353	498647
391	744	501353	498647
392	771	501353	498647
393	833	501353	498647
394	809	501353	498647
395	773	501353	498647
396	925	501353	498647
397	687	501353	498647
398	706	501353	498647
399	698	501353	498647
400	727	501353	498647
401	658	501353	498647
402	780	501353	498647
403	714	501353	498647
404	721	501353	498647
405	732	501353	498647
406	817	501353	498647
407	726	501353	498647
408	724	501353	498647
409	676	501353	498647
410	733	501353	498647
411	649	501353	498647
412	750	501353	498647
413	626	501353	498647
414	813	501353	498647
415	609	501353	498647
416	823	501353	498647
417	675	501353	498647
418	882	501353	498647
419	692	501353	498647
420	595	501353	498647
421	785	501353	498647
422	743	501353	498647
423	709	501353	498647
424	698	501353	498647
425	643	501353	498647
426	609	501353	498647
427	668	501353	498647
428	700	501353	498647
429	597	501353	498647
430	655	501353	498647
431	651	501353	498647
432	728	501353	498647
433	664	501353	498647
434	703	501353	498647
435	622	501353	498647
436	881	501353	498647
437	639	501353	498647
438	614	501353	498647
439	726	501353	498647
440	818	501353	498647
441	578	501353	498647
442	716	501353	498647
443	550	501353	498647
