index_a	index_b	occupancy_cosine	occupancy_jaccard	occupancy_pearson	length_profile_total_variation
1	2	0.59421234	0.98456952	0.48314174	0.00000000
1	3	0.61806968	0.98068411	0.47157290	0.00000000
1	4	0.60202377	0.97695104	0.46207817	0.00000000
1	5	0.54483203	0.98807163	0.46045282	0.00000000
1	6	0.54985639	0.97592951	0.47601952	0.00000000
1	7	0.61066302	0.98566293	0.52129118	0.00000000
1	8	0.68014081	0.98471750	0.48456512	0.00000000
1	9	0.00728968	0.98361272	0.00270407	0.00000000
1	10	0.14780055	0.98139891	0.09340666	0.00000000
2	3	0.74730644	0.98348098	0.68579913	0.00000000
2	4	0.73888735	0.97532235	0.67757466	0.00000000
2	5	0.71202423	0.98407896	0.66975363	0.00000000
2	6	0.80720791	0.97143555	0.78377368	0.00000000
2	7	0.81723062	0.98149903	0.78443126	0.00000000
2	8	0.65157721	0.98914913	0.56531334	0.00000000
2	9	0.00719285	0.98087664	0.00378216	0.00000000
2	10	0.17719151	0.97857719	0.13793348	0.00000000
3	4	0.76269565	0.97271349	0.68786625	0.00000000
3	5	0.50375966	0.98029405	0.41367814	0.00000000
3	6	0.76874297	0.97108026	0.74492128	0.00000000
3	7	0.87188265	0.97987029	0.85264462	0.00000000
3	8	0.83082152	0.98449604	0.78638890	0.00000000
3	9	0.00968400	0.97834606	0.00589048	0.00000000
3	10	0.23339076	0.97670972	0.19734512	0.00000000
4	5	0.57242576	0.97853960	0.50014701	0.00000000
4	6	0.72544715	0.96763168	0.69032958	0.00000000
4	7	0.76897188	0.97686064	0.72391718	0.00000000
4	8	0.69935684	0.97638397	0.58475795	0.00000000
4	9	0.00750754	0.97579006	0.00359294	0.00000000
4	10	0.18952594	0.97408658	0.14754412	0.00000000
5	6	0.76286740	0.97617863	0.73559749	0.00000000
5	7	0.63661530	0.98609112	0.58564575	0.00000000
5	8	0.45600589	0.98446929	0.33318343	0.00000000
5	9	0.00479589	0.98415781	0.00188646	0.00000000
5	10	0.10777098	0.98190626	0.06996659	0.00000000
6	7	0.85731328	0.97593942	0.84033736	0.00000000
6	8	0.62770436	0.97190536	0.61877733	0.00000000
6	9	0.00722730	0.97287535	0.00460150	0.00000000
6	10	0.18056851	0.97099879	0.14917720	0.00000000
7	8	0.70430829	0.98255182	0.68232510	0.00000000
7	9	0.00764794	0.98336206	0.00454180	0.00000000
7	10	0.20212970	0.98153221	0.16752473	0.00000000
8	9	0.01101799	0.98430854	0.00636248	0.00000000
8	10	0.22491218	0.98230101	0.19547514	0.00000000
9	10	0.96570195	0.98521353	0.97258972	0.00000000
