candidate	motif_id	target_sites	background_sites	target_peaks_with_hit	background_peaks_with_hit	target_site_per_kb	background_site_per_kb	site_per_kb_fold	target_peak_fraction	background_peak_fraction	peak_fraction_fold
PAX7	dataset_4870f290-0163-41d8-951c-acf24399288b_MA0680.2_Pax7	16811	7276	11719	5576	0.6852716849	0.2439908861	2.808485957	0.2001058671	0.07962642981	2.512940271
PAX7	dataset_4870f290-0163-41d8-951c-acf24399288b_MA0680.1_PAX7	8158	3961	4787	2334	0.3325469279	0.1328268142	2.503450352	0.08173963527	0.03333000129	2.452165049
PAX7	dataset_4870f290-0163-41d8-951c-acf24399288b_MA0680.3_Pax7	12322	5803	9334	4656	0.5022852716	0.1945958098	2.581054431	0.1593811898	0.0664886401	2.39699011
FOXA1	dataset_c777947d-b555-4de8-9cb2-1a29504a374c_MA0148.4_FOXA1	15942	9240	13057	8201	0.649848385	0.3098509878	2.097245541	0.2229526672	0.1171119711	1.903713259
GATA3	dataset_aaf56600-399b-4ecd-9d86-f2c16afbaf5a_MA0037.4_Gata3	9267	5729	8207	5309	0.3777534176	0.1921143192	1.966229448	0.1401372857	0.07581361475	1.848383383
GATA3	dataset_aaf56600-399b-4ecd-9d86-f2c16afbaf5a_MA0037.2_GATA3	8257	5216	7498	4946	0.3365824937	0.1749115533	1.924233167	0.1280308722	0.0706298999	1.812638382
TCF7	dataset_c665b31b-1922-4f80-91c1-28f4b207a9b0_MA0769.3_TCF7	4965	3262	4659	3106	0.2023897398	0.1093867881	1.850123805	0.07955399221	0.04435432048	1.793505643
TCF7	dataset_c665b31b-1922-4f80-91c1-28f4b207a9b0_MA0769.2_TCF7	10963	7100	9662	6541	0.4468879592	0.2380889625	1.876932328	0.1649819001	0.09340682879	1.766228753
FOXA1	dataset_c777947d-b555-4de8-9cb2-1a29504a374c_MA0148.3_FOXA1	17144	10765	13831	9382	0.6988458608	0.3609898143	1.935882277	0.2361689775	0.1339768946	1.762728788
TCF7	dataset_c665b31b-1922-4f80-91c1-28f4b207a9b0_MA0769.1_Tcf7	12920	8523	11178	7756	0.5266617196	0.285807356	1.842678974	0.1908681101	0.1107572793	1.72326681
RUNX1	dataset_4e77caf8-2451-4607-a3fb-76050d9f3527_MA0002.1_RUNX1	8047	5507	7408	5174	0.3280222026	0.1846698474	1.776212021	0.1264940919	0.07388578691	1.711972102
GATA3	dataset_aaf56600-399b-4ecd-9d86-f2c16afbaf5a_MA0037.5_Gata3	5198	3558	4832	3425	0.2118875866	0.1193127505	1.775821883	0.08250802541	0.04890970626	1.686874139
FOXA1	dataset_c777947d-b555-4de8-9cb2-1a29504a374c_MA0148.5_FOXA1	9102	6342	8190	5910	0.3710274746	0.2126704507	1.744570551	0.139847005	0.08439601868	1.656994177
FOXA1	dataset_c777947d-b555-4de8-9cb2-1a29504a374c_MA0148.1_FOXA1	17633	12229	14516	10673	0.7187791101	0.4100830877	1.752742616	0.247865583	0.1524126408	1.626259525
FOXA1	dataset_c777947d-b555-4de8-9cb2-1a29504a374c_MA0148.2_FOXA1	17609	12227	14526	10682	0.7178007911	0.4100160204	1.750643351	0.2480363363	0.1525411627	1.626008742
GATA3	dataset_aaf56600-399b-4ecd-9d86-f2c16afbaf5a_MA0037.3_GATA3	3975	2856	3757	2776	0.1620340817	0.09577212351	1.691787667	0.0641520388	0.03964185243	1.618214546
SPI1	dataset_7f856374-0ee4-4929-b05a-bf39305283f4_MA0080.4_SPI1	10932	10203	9592	9175	0.4456242971	0.3421438992	1.30244275	0.1637866266	0.1310208919	1.250077268
KLF4	dataset_abc91b2b-fc4a-4ee6-8147-e72b81c5be6a_MA0039.1_Klf4	24980	23223	17612	17108	1.018267009	0.7787521094	1.307560461	0.3007308244	0.2443057678	1.230959775
SPI1	dataset_7f856374-0ee4-4929-b05a-bf39305283f4_MA0080.5_SPI1	28030	26993	19802	19336	1.142595047	0.9051739951	1.26229241	0.3381258111	0.2761220672	1.224551188
KLF4	dataset_abc91b2b-fc4a-4ee6-8147-e72b81c5be6a_MA0039.3_KLF4	15350	15191	12325	12599	0.6257165167	0.5094097788	1.228316239	0.2104535209	0.179916318	1.169731067
RUNX1	dataset_4e77caf8-2451-4607-a3fb-76050d9f3527_MA0002.3_Runx1	9005	10235	8197	9314	0.3670734354	0.3432169762	1.069515525	0.1399665323	0.1330058406	1.052341428
RUNX1	dataset_4e77caf8-2451-4607-a3fb-76050d9f3527_MA0002.2_Runx1	9521	10959	8598	9845	0.3881072935	0.3674953437	1.056094926	0.1468137422	0.1405886301	1.044286608
SPI1	dataset_7f856374-0ee4-4929-b05a-bf39305283f4_MA0080.6_Spi1	21735	27407	16151	18960	0.8859901297	0.9190569289	0.9640255351	0.2757837579	0.2707527097	1.018586381
SPI1	dataset_7f856374-0ee4-4929-b05a-bf39305283f4_MA0080.7_Spi1	17326	22698	13867	17292	0.7062647798	0.7611469396	0.9279017844	0.2367836896	0.2469333257	0.9589041088
SPI1	dataset_7f856374-0ee4-4929-b05a-bf39305283f4_MA0080.3_Spi1	16931	22910	13596	17430	0.6901632798	0.7682560748	0.8983574897	0.2321562735	0.2489039942	0.9327216793
SPI1	dataset_7f856374-0ee4-4929-b05a-bf39305283f4_MA0080.2_SPI1	4863	6565	4606	6145	0.1982318841	0.2201484562	0.9004703969	0.07864899939	0.08775186714	0.8962901875
KLF4	dataset_abc91b2b-fc4a-4ee6-8147-e72b81c5be6a_MA0039.4_KLF4	26630	68928	17136	28754	1.085526439	2.311407888	0.4696440433	0.2926029643	0.4106130493	0.7126086577
KLF4	dataset_abc91b2b-fc4a-4ee6-8147-e72b81c5be6a_MA0039.5_KLF4	23817	62770	16140	27493	0.9708593016	2.104907631	0.4612420686	0.2755959292	0.3926057092	0.7019751579
KLF4	dataset_abc91b2b-fc4a-4ee6-8147-e72b81c5be6a_MA0039.2_Klf4	21002	54687	14902	25442	0.8561106374	1.833855083	0.4668434269	0.2544566628	0.3633170063	0.7003806463
ASCL1	dataset_7badcaa3-8017-4899-8fb2-52842d2a2f99_MA1631.2_ASCL1	5768	15260	5114	11929	0.2351226624	0.5117236011	0.459496766	0.08732327027	0.1703485798	0.5126438253
ASCL1	dataset_7badcaa3-8017-4899-8fb2-52842d2a2f99_MA1100.2_ASCL1	6743	18829	3566	9180	0.2748668712	0.6314052218	0.4353463417	0.06089064955	0.131092293	0.4645267015
ASCL1	dataset_7badcaa3-8017-4899-8fb2-52842d2a2f99_MA1631.1_ASCL1	5551	17935	4783	12984	0.2262770283	0.6014261328	0.3762575136	0.08167133393	0.1854141974	0.4405095589
ASCL1	dataset_7badcaa3-8017-4899-8fb2-52842d2a2f99_MA1100.3_ASCL1	6154	18227	3487	9571	0.2508572928	0.6112179605	0.4104440785	0.05954169797	0.1366758536	0.4356813823
REST	dataset_9fd2319e-9e4e-4eb7-a7d1-42c3b1e4155f_MA0138.2_REST	3796	11513	3546	9783	0.1547374526	0.3860729895	0.4008338261	0.06054914282	0.1397032573	0.433451494
REST	dataset_9fd2319e-9e4e-4eb7-a7d1-42c3b1e4155f_MA0138.3_REST	3816	11944	3550	10035	0.1555527184	0.4005259955	0.3884057202	0.06061744416	0.1433018693	0.4230437576
ASCL1	dataset_7badcaa3-8017-4899-8fb2-52842d2a2f99_MA1100.1_ASCL1	7172	25158	5533	15739	0.292354323	0.843639735	0.3465565713	0.09447783621	0.2247561655	0.4203816706
REST	dataset_9fd2319e-9e4e-4eb7-a7d1-42c3b1e4155f_MA0138.1_REST	4873	16129	4430	12788	0.198639517	0.5408643488	0.3672893967	0.07564374018	0.182615277	0.4142551559
TFAP2A	dataset_49e09fbb-c532-4586-a98b-af877f946642_MA0003.4_TFAP2A	5361	20203	4143	13278	0.218532003	0.6774804661	0.3225878631	0.07074311864	0.189612578	0.3731239399
TFAP2A	dataset_49e09fbb-c532-4586-a98b-af877f946642_MA0003.2_TFAP2A	5093	20072	3991	13202	0.207607441	0.6730875571	0.3084630648	0.06814766751	0.1885272823	0.3615053649
TFAP2A	dataset_49e09fbb-c532-4586-a98b-af877f946642_MA0003.5_TFAP2A	4370	19937	3341	12850	0.1781355816	0.6685605135	0.2664702624	0.05704869886	0.1835006497	0.3109254194
TFAP2A	dataset_49e09fbb-c532-4586-a98b-af877f946642_MA0810.1_TFAP2A	3048	22322	2129	12229	0.1242465109	0.7485382847	0.1660090228	0.03635339116	0.1746326417	0.2082110299
TFAP2A	dataset_49e09fbb-c532-4586-a98b-af877f946642_MA0003.3_TFAP2A	2980	21546	2001	11675	0.1214746072	0.7225161671	0.1681514892	0.0341677481	0.1667214075	0.204981608
TFAP2A	dataset_49e09fbb-c532-4586-a98b-af877f946642_MA0810.2_TFAP2A	3119	27219	2327	14321	0.1271407046	0.9127526015	0.13931349	0.03973430777	0.2045068331	0.1943282643
TFAP2A	dataset_49e09fbb-c532-4586-a98b-af877f946642_MA0872.1_TFAP2A	2638	22596	1375	9587	0.1075335616	0.7577265066	0.1419398193	0.02347858753	0.1369043369	0.1715497175
TFAP2A	dataset_49e09fbb-c532-4586-a98b-af877f946642_MA0003.1_TFAP2A	2536	39805	1696	14904	0.103375706	1.334807205	0.07746046656	0.02895977051	0.2128321933	0.1361041106
