metric	value
ref_fragments	10117255
perturb_fragments	11228479
ref_cut_sites	20234510
perturb_cut_sites	22456958
ref_skipped_fragments	24593
perturb_skipped_fragments	28864
bin_size	500
top_n_requested	600
motif_threshold_relative_pwm	0.85
gained_pool_windows	173733
stable_pool_windows	48719
gained_selected	600
background_selected	600
lost_selected	600
gained_sequences_used	600
background_sequences_used	599
lost_sequences_used	600
jaspar_api	https://jaspar.elixir.no/api/v1/matrix/
ucsc_sequence_api	https://api.genome.ucsc.edu/getData/sequence
motif	FOXA1:MA0148.5:FOXA1:CORE
motif	ASCL1:MA1100.3:ASCL1:CORE
motif	ASCL1:MA1631.2:ASCL1:CORE
motif	TFAP2A:MA0003.5:TFAP2A:CORE
motif	TFAP2A:MA0810.2:TFAP2A:CORE
motif	TFAP2A:MA0872.1:TFAP2A:CORE
motif	RUNX1:MA0002.3:Runx1:CORE
motif	KLF4:MA0039.5:KLF4:CORE
motif	PAX7:MA0680.3:Pax7:CORE
motif	TCF7:MA0769.3:TCF7:CORE
motif	REST:MA0138.3:REST:CORE
motif	SPI1:MA0080.7:Spi1:CORE
motif	GATA3:MA0037.5:Gata3:CORE
