	1
# FIMO (Find Individual Motif Occurrences): Version 5.5.8 compiled on May 19 2025 at 00:20:33	1
# The format of this file is described at https://meme-suite.org/meme/doc/fimo-output-format.html#tsv_results.	1
# fimo -o ./out/ /corral4/main/objects/c/f/3/dataset_cf35834a-832d-4fab-9d72-d0e5446f5e1e.dat /corral4/main/objects/e/d/d/dataset_edddc585-20b5-4c48-aaf5-3a3da743f5bc.dat	1
MA0002.3_RUNX1	22687
MA0003.5_TFAP2A_MA0003	61948
MA0037.5_GATA3	4733
MA0039.5_KLF4	50406
MA0080.7_SPI1	46118
MA0138.3_REST	37092
MA0148.5_FOXA1	7847
MA0680.3_PAX7	3785
MA0769.3_TCF7	5398
MA0810.2_TFAP2A_MA0810	97904
MA0872.1_TFAP2A_MA0872	82445
MA1100.3_ASCL1_MA1100	45523
MA1631.2_ASCL1_MA1631	43009
motif_id	1
