query_guide	ref_target	correlation
guide1	PABPC1	0.15966509182690788
guide10	RPRD1B	0.15257568860957976
guide11	SCAF1	0.18261400264160732
guide12	CPSF6	0.36365627504005643
guide13	NUDT21	0.655553066497727
guide14	CTR9	0.3330770271000653
guide15	SCAF1	0.3493082102459059
guide16	SCAF1	0.4549257141230322
guide17	CPSF4	0.47803835182245097
guide18	PABPC1	0.5637146727621882
guide19	CPSF6	0.5498311471068634
guide2	CPSF7	0.2372908264534314
guide20	PCF11	0.5437786871698422
guide21	CPSF2	0.4704151118977066
guide22	CPSF4	0.5144284342523125
guide23	SCAF1	0.3153221950620136
guide24	PABPN1	0.40711572573470173
guide25	CPSF3	0.4383131839826094
guide26	SCAF1	0.38981151815413423
guide27	SCAF1	0.4031002112640779
guide28	RPRD1B	0.3669768275294343
guide29	CPSF4	0.5381735654082503
guide3	CPSF2	0.5227277873225895
guide30	RPRD1B	0.39467635138121515
guide31	CSTF1	0.20492665461449006
guide32	CSTF1	0.06626278997054791
guide4	CPSF1	0.6519761164668959
guide5	PCF11	0.4401708107281671
guide6	SCAF4	0.2789439358463541
guide7	PAPOLA	0.36051375000757047
guide8	CPSF2	0.27748380562886854
guide9	RBBP6	0.4637713936977312
