query_guide	ref_target	correlation
guide1	PABPC1	0.13839092675163708
guide10	CPSF6	0.1415268293730732
guide11	SCAF1	0.17528931965157282
guide12	CPSF6	0.33170883928435363
guide13	NUDT21	0.577529674141187
guide14	CTR9	0.3081604535424182
guide15	SCAF1	0.29951798993271966
guide16	SCAF1	0.3932296044331843
guide17	CPSF4	0.43821588389663546
guide18	PABPC1	0.4253394081815764
guide19	CPSF6	0.4745116348524655
guide2	CPSF7	0.17673576015743045
guide20	PCF11	0.4693848684073948
guide21	CPSF2	0.3978326626333066
guide22	CPSF1	0.4342304574652184
guide23	SCAF1	0.2913177933487118
guide24	PABPN1	0.285441223865649
guide25	CPSF3	0.3721617424384698
guide26	SCAF1	0.34066045391441824
guide27	SCAF1	0.3419381159495247
guide28	RPRD1B	0.30327984397119384
guide29	CPSF4	0.4442907385076296
guide3	CPSF2	0.44544154661766194
guide30	RPRD1B	0.3319735797429432
guide31	CPSF4	0.1844202342568094
guide32	CSTF1	0.050971207414848306
guide4	CPSF1	0.5920003520320142
guide5	PCF11	0.37023332536933307
guide6	SCAF4	0.2520430314257213
guide7	PAPOLA	0.22834526334181057
guide8	CPSF2	0.23090293480411744
guide9	RBBP6	0.38927860609914433
