metric	query_guide	assigned_target	score
pearson_all	guide1	CPSF3L	0.122089086255615
pearson_all	guide10	CDC73	0.1145310005284816
pearson_all	guide11	SCAF11	0.13515822677140155
pearson_all	guide12	PAF1	0.25985912290850566
pearson_all	guide13	NUDT21	0.635613518026643
pearson_all	guide14	LEO1	0.3142499229346322
pearson_all	guide15	RPAP2	0.19813662167593293
pearson_all	guide16	CSTF1	0.4682329916793556
pearson_all	guide17	FIP1L1	0.462931160969848
pearson_all	guide18	PABPC1	0.5319003985654137
pearson_all	guide19	CPSF6	0.5184400858432592
pearson_all	guide2	CPSF7	0.20294798972587977
pearson_all	guide20	PCF11	0.5591169866077815
pearson_all	guide21	CPSF2	0.4735364320479216
pearson_all	guide22	CSTF3	0.507163662355739
pearson_all	guide23	SF3A1	0.2241045927742117
pearson_all	guide24	PABPN1	0.39934320326344525
pearson_all	guide25	SYMPK	0.43469029917667706
pearson_all	guide26	SCAF1	0.4319174342989785
pearson_all	guide27	THOC5	0.28608789353782477
pearson_all	guide28	CTR9	0.3098558996729838
pearson_all	guide29	CPSF4	0.5514573027183585
pearson_all	guide3	CPSF3	0.5230476699327159
pearson_all	guide30	SRSF3	0.28959347941424385
pearson_all	guide31	CSTF2	0.10007831830561463
pearson_all	guide32	PHF3	-4.367747385116861e-05
pearson_all	guide4	CPSF1	0.671138403815888
pearson_all	guide5	RPRD1B	0.32828616702737995
pearson_all	guide6	SCAF4	0.2580558229752977
pearson_all	guide7	PAPOLA	0.33283049898043393
pearson_all	guide8	RPRD1A	0.11600194205722336
pearson_all	guide9	RBBP6	0.45302705988791553
pearson_var	guide1	PHF3	0.08867539330309995
pearson_var	guide10	CDC73	0.09714225575553333
pearson_var	guide11	SCAF11	0.13268789446967863
pearson_var	guide12	PAF1	0.22282473530136268
pearson_var	guide13	NUDT21	0.655553066497727
pearson_var	guide14	LEO1	0.2873874437660891
pearson_var	guide15	CSTF2	0.18429987856493144
pearson_var	guide16	CSTF1	0.415992063645385
pearson_var	guide17	FIP1L1	0.4520966793447231
pearson_var	guide18	PABPC1	0.5637146727621882
pearson_var	guide19	CPSF6	0.5498311471068634
pearson_var	guide2	CPSF7	0.2372908264534314
pearson_var	guide20	PCF11	0.5437786871698422
pearson_var	guide21	CPSF2	0.4704151118977066
pearson_var	guide22	CSTF3	0.5051059771244887
