target_gene	reference_guide	n_features	global_assignment	correlation	row_best	row_best_correlation	row_second	row_second_correlation	row_margin
PABPC1	PABPC1-I1	1000	guide18	0.60782502	guide18	0.60782502	guide16	0.22542232	0.3824027
PABPC1	PABPC1-I1	2000	guide18	0.60396122	guide18	0.60396122	guide16	0.29469951	0.30926172
PABPC1	PABPC1-I1	4000	guide18	0.58313206	guide18	0.58313206	guide16	0.3583592	0.22477286
PABPC1	PABPC1-I1	11858	guide18	0.5319004	guide18	0.5319004	guide16	0.33822252	0.19367788
NUDT21	NUDT21-I3	1000	guide13	0.72181764	guide13	0.72181764	guide19	0.60740099	0.11441665
NUDT21	NUDT21-I3	2000	guide13	0.70141801	guide13	0.70141801	guide19	0.58465401	0.116764
NUDT21	NUDT21-I3	4000	guide13	0.67564128	guide13	0.67564128	guide19	0.55989752	0.11574377
NUDT21	NUDT21-I3	11858	guide13	0.63561352	guide13	0.63561352	guide19	0.5126896	0.12292392
LEO1	LEO1-I2	1000	guide14	0.37900574	guide14	0.37900574	guide20	0.16510021	0.21390553
LEO1	LEO1-I2	2000	guide14	0.33825727	guide14	0.33825727	guide17	0.17154459	0.16671269
LEO1	LEO1-I2	4000	guide14	0.30157404	guide14	0.30157404	guide17	0.1691282	0.13244584
LEO1	LEO1-I2	11858	guide14	0.31424992	guide14	0.31424992	guide17	0.22322209	0.09102783
