section	field1	field2	field3	field4	field5	field6	field7	field8	field9
metadata	ref_shape	(4183, 11889)	query_shape	(3516, 11889)	common_genes	11858	selected_genes	4000
metadata	ref_perturb_guides	33	query_perturb_guides	32	ref_controls	10	query_controls	10
ref_guide	target	cells	mean_library
CDC73-I2	CDC73	77	17981.62
CPSF1-I3	CPSF1	306	14601.29
CPSF2-I1	CPSF2	151	17755.58
CPSF3-I3	CPSF3	125	15841.48
CPSF3L-I8	CPSF3L	33	22790.79
CPSF4-I8	CPSF4	63	13340.73
CPSF6-I5	CPSF6	107	23407.84
CPSF7-I1	CPSF7	156	28628.63
CSTF1-I5	CSTF1	31	19347.77
CSTF2-I4	CSTF2	93	27309.89
CSTF3-I5	CSTF3	116	18511.53
CTR9-I7	CTR9	108	17825.24
FIP1L1-I1	FIP1L1	74	16027.76
LEO1-I2	LEO1	246	24665.15
NUDT21-I3	NUDT21	178	23429.89
PABPC1-I1	PABPC1	67	20457.54
PABPN1-I2	PABPN1	29	26423.34
PAF1-I6	PAF1	28	15047.46
PAPOLA-I3	PAPOLA	164	26929.52
PCF11-I5	PCF11	43	16617.12
PHF3-I5	PHF3	158	29725.04
RBBP6-I4	RBBP6	83	19897.39
RPAP2-I2	RPAP2	5	24992.80
RPRD1A-I5	RPRD1A	89	27620.34
RPRD1B-I1	RPRD1B	120	24848.68
SCAF1-I2	SCAF1	61	23167.67
SCAF4-I4	SCAF4	139	27900.96
SCAF8-I3	SCAF8	199	28846.48
SCAF11-I3	SCAF11	144	28586.56
SF3A1-I5	SF3A1	12	12972.08
SRSF3-I1	SRSF3	27	40097.48
SYMPK-I3	SYMPK	8	12183.62
THOC5-I1	THOC5	21	27896.24

requested_target	rank	query_guide	blended	pearson	cosine	count_score	library_score	query_cells	query_mean_library
PABPC1	1	guide18	0.567498	0.571347	0.572371	0.600806	0.727823	97	8517.05
PABPC1	2	guide16	0.423966	0.344566	0.322030	0.891129	0.723790	40	4848.18
PABPC1	3	guide15	0.379982	0.267990	0.274784	0.762097	0.981855	55	6903.73
PABPC1	4	guide28	0.371468	0.245687	0.255342	0.850806	0.949597	16	6641.94
PABPC1	5	guide17	0.352180	0.247929	0.246744	0.979839	0.659274	27	4601.04
PABPC1	6	guide27	0.351606	0.249993	0.259083	0.689516	0.917339	10	6613.50
PABPC1	7	guide14	0.338346	0.207069	0.217363	0.794355	0.985887	55	7172.29
PABPC1	8	guide19	0.330524	0.199042	0.212063	0.955645	0.885081	32	6417.69
NUDT21	1	guide13	0.680645	0.660329	0.661094	0.835685	0.820565	86	8985.21
NUDT21	2	guide19	0.551417	0.545653	0.540214	0.513105	0.760081	32	6417.69
NUDT21	3	guide16	0.399094	0.357397	0.332964	0.577621	0.598790	40	4848.18
NUDT21	4	guide4	0.384981	0.323400	0.321259	0.771169	0.502016	68	4479.10
NUDT21	5	guide5	0.381606	0.227739	0.239406	0.996976	0.981855	178	8083.81
NUDT21	6	guide12	0.370353	0.338006	0.338574	0.351815	0.695565	20	6011.20
NUDT21	7	guide23	0.361919	0.232372	0.240968	0.803427	0.949597	83	8327.14
NUDT21	8	guide27	0.358667	0.338404	0.340920	0.158266	0.792339	10	6613.50
LEO1	1	guide14	0.373783	0.288708	0.414145	0.611895	0.857863	55	7172.29
LEO1	2	guide5	0.282525	0.107369	0.223733	0.934476	0.986895	178	8083.81
LEO1	3	guide20	0.273113	0.150570	0.320868	0.547379	0.954637	43	7588.44
LEO1	4	guide9	0.262946	0.142809	0.259342	0.579637	0.890121	48	7359.27
LEO1	5	guide13	0.248978	0.106127	0.166495	0.773185	0.851815	86	8985.21
LEO1	6	guide23	0.248056	0.088996	0.244570	0.740927	0.980847	83	8327.14
LEO1	7	guide8	0.234952	0.108708	0.187319	0.837702	0.658266	102	10315.85
LEO1	8	guide18	0.224032	0.065148	0.141110	0.805444	0.884073	97	8517.05

requested_target	best_blended	best_pearson	best_spearman	best_count	best_library
PABPC1	guide18	guide18	guide18	guide22	guide14
NUDT21	guide13	guide13	guide13	guide5	guide20
LEO1	guide14	guide14	guide14	guide2	guide5

all_target_assignment	ref_guide	target	query_guide	blended	pearson	spearman
all	CDC73-I2	CDC73	guide14	0.419800	0.312752	0.301875
all	CPSF1-I3	CPSF1	guide4	0.677271	0.651061	0.609081
all	CPSF2-I1	CPSF2	guide4	0.643158	0.596570	0.570736
all	CPSF3-I3	CPSF3	guide4	0.662042	0.600480	0.559677
all	CPSF3L-I8	CPSF3L	guide30	0.362001	0.257200	0.236490
all	CPSF4-I8	CPSF4	guide4	0.658102	0.627816	0.574905
all	CPSF6-I5	CPSF6	guide19	0.600263	0.558716	0.501073
all	CPSF7-I1	CPSF7	guide2	0.365563	0.248781	0.189838
all	CSTF1-I5	CSTF1	guide4	0.517583	0.512137	0.436082
all	CSTF2-I4	CSTF2	guide21	0.343912	0.204373	0.158354
all	CSTF3-I5	CSTF3	guide4	0.613871	0.575796	0.507796
all	CTR9-I7	CTR9	guide14	0.442109	0.329458	0.313905
all	FIP1L1-I1	FIP1L1	guide17	0.544564	0.451099	0.440592
all	LEO1-I2	LEO1	guide14	0.373783	0.288708	0.267910
all	NUDT21-I3	NUDT21	guide13	0.680645	0.660329	0.594113
all	PABPC1-I1	PABPC1	guide18	0.567498	0.571347	0.459135
all	PABPN1-I2	PABPN1	guide24	0.460207	0.416717	0.300885
all	PAF1-I6	PAF1	guide30	0.403547	0.270954	0.252755
all	PAPOLA-I3	PAPOLA	guide7	0.455117	0.377268	0.250133
all	PCF11-I5	PCF11	guide20	0.569770	0.546262	0.492320
all	PHF3-I5	PHF3	guide1	0.255796	0.099684	0.058557
all	RBBP6-I4	RBBP6	guide9	0.549705	0.471875	0.411529
all	RPAP2-I2	RPAP2	guide27	0.347818	0.237507	0.209532
all	RPRD1A-I5	RPRD1A	guide20	0.294497	0.155516	0.130435
all	RPRD1B-I1	RPRD1B	guide5	0.448669	0.346986	0.348052
all	SCAF1-I2	SCAF1	guide16	0.486817	0.433356	0.389056
all	SCAF4-I4	SCAF4	guide6	0.414084	0.289036	0.276899
all	SCAF8-I3	SCAF8	guide6	0.226096	0.059998	0.033148
all	SCAF11-I3	SCAF11	guide11	0.274107	0.137225	0.118133
all	SF3A1-I5	SF3A1	guide30	0.383301	0.263207	0.241300
all	SRSF3-I1	SRSF3	guide30	0.376277	0.329155	0.299162
all	SYMPK-I3	SYMPK	guide25	0.516512	0.416801	0.348788
all	THOC5-I1	THOC5	guide27	0.353647	0.261933	0.225883
